"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega_janssen","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
"AN",2021-03-14,"AN",8464411,17.838,7062213,17.598,820260,303300,73300,0,1196860,14.14,17.984,0,0,0,0,80730,94700,0,175430,2.073,1081281,390351,690930,12.774,90.343,19.491,17473,0.206,1.642,6050,11423,166041,1.962,-0.628,18.136,735816,345465,390351,8.693,4.081,10.419,4.892,6050,11423,0.071,0.135,72395,93646,0.855,1.106,1.025,1.326,0.829,-10.605,3.42,8.754,9.267,0.818,6.025,16.867,2021-07-07,2021-10-20,2022-02-03,2022-01-14,2022-09-03,2023-04-22,2021-11-22,2022-06-06,2022-12-18
"AR",2021-03-14,"AR",1329391,2.802,1132764,2.823,147735,47600,12600,0,207935,15.641,3.124,0,0,0,0,17550,14900,0,32450,2.441,178099,62996,115103,13.397,85.651,3.21,2294,0.173,1.305,1373,921,25759,1.938,5.917,2.814,120548,57551,62997,9.068,4.329,10.642,5.081,1373,921,0.103,0.069,18179,7580,1.367,0.57,1.605,0.669,1.152,4.231,1.626,10.19,14.561,11.492,10.599,23.969,2021-07-07,2021-10-20,2022-02-03,2022-01-14,2022-09-03,2023-04-22,2021-11-22,2022-06-06,2022-12-18
"AS",2021-03-14,"AS",1018784,2.147,901209,2.246,144815,36600,12700,0,194115,19.054,2.917,0,0,0,0,16380,11400,0,27780,2.727,159241,49744,109497,15.63,82.034,2.87,4252,0.417,2.743,2494,1758,27657,2.715,11.372,3.021,104493,54748,49745,10.257,5.374,11.595,6.075,2494,1758,0.245,0.173,17203,10454,1.689,1.026,1.909,1.16,2.445,8.639,3.318,16.181,33.675,35.864,25.101,53.895,2021-07-07,2021-10-20,2022-02-03,2022-01-14,2022-09-03,2023-04-22,2021-11-22,2022-06-06,2022-12-18
"IB",2021-03-14,"IB",1171543,2.469,986279,2.458,76410,41900,6500,0,124810,10.653,1.875,0,0,0,0,10530,13100,0,23630,2.017,106185,45476,60709,9.064,85.077,1.914,2299,0.196,2.213,1502,797,25182,2.149,-3.465,2.751,75831,30354,45477,6.473,2.591,7.689,3.078,1502,797,0.128,0.068,19090,6093,1.629,0.52,1.936,0.618,2.021,-7.447,2.696,11.614,-22.479,-24.058,-21.051,-25.802,2021-07-07,2021-10-20,2022-02-03,2022-01-14,2022-09-03,2023-04-22,2021-11-22,2022-06-06,2022-12-18
"CN",2021-03-14,"CN",2175952,4.586,1871033,4.662,167280,78000,14300,0,259580,11.929,3.9,0,0,0,0,18720,24300,0,43020,1.977,210491,85265,125226,9.674,81.089,3.794,4768,0.219,2.318,3719,1049,37710,1.733,6.432,4.119,147878,62613,85265,6.796,2.877,7.904,3.346,3719,1049,0.171,0.048,29914,7795,1.375,0.358,1.599,0.417,2.58,4.679,1.704,13.713,-17.27,-14.959,-17.112,-17.612,2021-07-07,2021-10-20,2022-02-03,2022-01-14,2022-09-03,2023-04-22,2021-11-22,2022-06-06,2022-12-18
"CB",2021-03-14,"CB",582905,1.228,501384,1.249,70935,20800,5900,0,97635,16.75,1.467,0,0,0,0,8190,6500,0,14690,2.52,76774,27657,49117,13.171,78.634,1.384,1013,0.174,1.337,520,493,9246,1.586,6.032,1.01,52216,24558,27658,8.958,4.213,10.414,4.898,520,493,0.089,0.085,5609,3637,0.962,0.624,1.119,0.725,1.006,2.075,2.049,12.775,12.704,19.463,9.257,20.647,2021-07-07,2021-10-20,2022-02-03,2022-01-14,2022-09-03,2023-04-22,2021-11-22,2022-06-06,2022-12-18
"CL",2021-03-14,"CL",2394918,5.047,2092873,5.215,324975,85800,27300,0,438075,18.292,6.582,0,0,0,0,39780,26800,0,66580,2.78,365124,126185,238939,15.246,83.347,6.582,5862,0.245,1.632,3605,2257,63015,2.631,2.761,6.883,245654,119470,126184,10.257,4.988,11.738,5.708,3605,2257,0.151,0.094,42571,20445,1.778,0.854,2.034,0.977,1.489,0.148,1.926,8.675,30.414,30.414,25.101,42.841,2021-07-07,2021-10-20,2022-02-03,2022-01-14,2022-09-03,2023-04-22,2021-11-22,2022-06-06,2022-12-18
"CM",2021-03-14,"CM",2045221,4.31,1719964,4.286,215145,73300,18600,0,307045,15.013,4.614,0,0,0,0,24570,22900,0,47470,2.321,234850,76782,158068,11.483,76.487,4.233,1801,0.088,0.773,1395,406,35301,1.726,-0.325,3.856,155816,79034,76782,7.619,3.864,9.059,4.595,1395,406,0.068,0.02,28661,6640,1.401,0.325,1.666,0.386,0.903,-1.05,0.516,2.93,-1.787,7.053,-7.074,10.653,2021-07-07,2021-10-20,2022-02-03,2022-01-14,2022-09-03,2023-04-22,2021-11-22,2022-06-06,2022-12-18
"CT",2021-03-14,"CT",7780479,16.397,6531658,16.276,735380,278900,63400,0,1077680,13.851,16.193,0,0,0,0,84240,87000,0,171240,2.201,877513,402982,474531,11.278,81.426,15.818,10239,0.132,1.181,5196,5043,116564,1.498,-2.377,12.732,640247,237265,402982,8.229,3.049,9.802,3.633,5194,5043,0.067,0.065,78930,37633,1.014,0.484,1.208,0.576,0.818,-5.461,2.172,4.786,-3.531,-1.244,0.366,-12.686,2021-07-07,2021-10-20,2022-02-03,2022-01-14,2022-09-03,2023-04-22,2021-11-22,2022-06-06,2022-12-18
"VC",2021-03-14,"VC",5057353,10.658,4269305,10.639,395650,181300,31700,0,608650,12.035,9.145,0,0,0,0,54990,56600,0,111590,2.206,475499,175538,299961,9.402,78.124,8.571,4955,0.098,1.053,1518,3437,81480,1.611,6.474,8.9,325519,149980,175539,6.437,2.966,7.625,3.513,1518,3437,0.03,0.068,44576,36904,0.881,0.73,1.044,0.864,0.469,3.523,2.345,10.27,-19.582,-14.196,-21.49,-15.063,2021-07-07,2021-10-20,2022-02-03,2022-01-14,2022-09-03,2023-04-22,2021-11-22,2022-06-06,2022-12-18
