"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
"AN",2021-03-02,"AN",8464411,17.838,7062213,17.598,662310,144200,36300,842810,9.957,18.692,0,0,0,0,93600,69700,0,163300,1.929,774701,317043,457658,9.152,91.919,19.82,4802,0.057,0.624,4712,90,148042,1.749,-8.811,19.91,545872,228829,317043,6.449,2.703,7.729,3.24,4712,90,0.056,0.001,135830,12212,1.605,0.144,1.923,0.173,0.871,-8.641,0.039,-10.659,11.111,4.788,15.823,1.236,2021-06-28,2021-10-03,2022-01-08,2025-06-04,2028-07-16,2031-08-28,2024-09-08,2027-04-25,2029-12-09
"AR",2021-03-02,"AR",1329391,2.802,1132764,2.823,112635,22600,6300,141535,10.647,3.139,0,0,0,0,16380,10900,0,27280,2.052,131441,37645,93796,9.887,92.868,3.363,1319,0.099,1.014,1243,76,20374,1.533,-2.067,2.74,84543,46898,37645,6.36,3.528,7.463,4.14,1243,76,0.094,0.006,17181,3193,1.292,0.24,1.517,0.282,1.492,2.013,0.162,-19.409,20.021,12.027,14.224,32.135,2021-06-28,2021-10-03,2022-01-08,2025-06-04,2028-07-16,2031-08-28,2024-09-08,2027-04-25,2029-12-09
"AS",2021-03-02,"AS",1018784,2.147,901209,2.246,112055,17400,6300,135755,13.325,3.011,0,0,0,0,14040,8400,0,22440,2.203,118737,39867,78870,11.655,87.464,3.038,1608,0.158,1.373,1388,220,19192,1.884,-7.749,2.581,79302,39435,39867,7.784,3.871,8.8,4.376,1388,220,0.136,0.022,17706,1486,1.738,0.146,1.965,0.165,1.781,-7.944,0.561,-5.35,41.5,40.242,39.799,44.981,2021-06-28,2021-10-03,2022-01-08,2025-06-04,2028-07-16,2031-08-28,2024-09-08,2027-04-25,2029-12-09
"IB",2021-03-02,"IB",1171543,2.469,986279,2.458,56520,19900,3200,79620,6.796,1.766,0,0,0,0,7020,9600,0,16620,1.419,61659,17337,44322,5.263,77.442,1.577,317,0.027,0.517,106,211,8858,0.756,2.749,1.191,39498,22161,17337,3.371,1.892,4.005,2.247,106,211,0.009,0.018,7257,1601,0.619,0.137,0.736,0.162,0.269,0.512,0.961,14.276,-36.128,-28.473,-39.458,-29.139,2021-06-28,2021-10-03,2022-01-08,2025-06-04,2028-07-16,2031-08-28,2024-09-08,2027-04-25,2029-12-09
"CN",2021-03-02,"CN",2175952,4.586,1871033,4.662,129840,37100,7000,173940,7.994,3.858,0,0,0,0,18720,17900,0,36620,1.683,148158,45200,102958,6.809,85.178,3.79,2038,0.094,1.395,2005,33,25854,1.188,-3.147,3.477,96679,51479,45200,4.443,2.366,5.167,2.751,2005,33,0.092,0.002,24301,1553,1.117,0.071,1.299,0.083,2.118,-2.796,0.064,-8.323,-17.357,-15.874,-20.205,-11.386,2021-06-28,2021-10-03,2022-01-08,2025-06-04,2028-07-16,2031-08-28,2024-09-08,2027-04-25,2029-12-09
"CB",2021-03-02,"CB",582905,1.228,501384,1.249,55725,9900,2900,68525,11.756,1.52,0,0,0,0,8190,4800,0,12990,2.228,59968,18800,41168,10.288,87.513,1.534,824,0.141,1.393,673,151,11033,1.893,-0.791,1.484,39384,20584,18800,6.757,3.531,7.855,4.105,673,151,0.115,0.026,10303,730,1.768,0.125,2.055,0.146,1.739,-1.857,0.739,17.175,24.919,23.779,21.354,32.247,2021-06-28,2021-10-03,2022-01-08,2025-06-04,2028-07-16,2031-08-28,2024-09-08,2027-04-25,2029-12-09
"CL",2021-03-02,"CL",2394918,5.047,2092873,5.215,246585,40800,13500,300885,12.563,6.673,0,0,0,0,35100,19700,0,54800,2.288,263681,82217,181464,11.01,87.635,6.746,6202,0.259,2.409,5416,786,40647,1.697,3.62,5.467,172949,90732,82217,7.221,3.789,8.264,4.335,5416,786,0.226,0.033,36367,4280,1.519,0.179,1.738,0.205,3.233,4.236,0.874,-1.337,33.664,32.217,29.688,41.91,2021-06-28,2021-10-03,2022-01-08,2025-06-04,2028-07-16,2031-08-28,2024-09-08,2027-04-25,2029-12-09
"CM",2021-03-02,"CM",2045221,4.31,1719964,4.286,167175,34800,9200,211175,10.325,4.684,0,0,0,0,23400,16800,0,40200,1.966,164826,26362,138464,8.059,78.052,4.217,1887,0.092,1.158,1387,500,18614,0.91,-5.006,2.503,95594,69232,26362,4.674,3.385,5.558,4.025,1387,500,0.068,0.024,12587,6027,0.615,0.295,0.732,0.35,1.472,0.898,0.727,-15.351,-2.158,8.677,-16.056,26.779,2021-06-28,2021-10-03,2022-01-08,2025-06-04,2028-07-16,2031-08-28,2024-09-08,2027-04-25,2029-12-09
"CT",2021-03-02,"CT",7780479,16.397,6531658,16.276,570410,132700,31400,734510,9.44,16.29,0,0,0,0,80730,64100,0,144830,1.861,657774,280138,377636,8.454,89.553,16.828,7447,0.096,1.145,6738,709,153504,1.973,-4.01,20.645,468956,188818,280138,6.027,2.427,7.18,2.891,6738,709,0.087,0.009,146521,6983,1.883,0.09,2.243,0.107,1.458,-3.543,0.377,-12.854,2.629,-0.653,8.244,-9.101,2021-06-28,2021-10-03,2022-01-08,2025-06-04,2028-07-16,2031-08-28,2024-09-08,2027-04-25,2029-12-09
"VC",2021-03-02,"VC",5057353,10.658,4269305,10.639,288010,86200,15700,389910,7.71,8.648,0,0,0,0,40950,41700,0,82650,1.634,323505,119473,204032,6.397,82.969,8.276,0,0,0,0,0,49527,0.979,-7.423,6.661,221489,102016,119473,4.38,2.017,5.188,2.39,0,0,0,0,46556,2971,0.921,0.059,1.09,0.07,0,-7.052,0,-12.874,-22.349,-18.859,-21.336,-24.457,2021-06-28,2021-10-03,2022-01-08,2025-06-04,2028-07-16,2031-08-28,2024-09-08,2027-04-25,2029-12-09
