"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_1dosis_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","personas_1dosis_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-01-25,"AN",8464411,17.838,7062213,17.598,244620,0,6800,251420,2.97,18.678,0,0,0,0,35100,0,0,35100,0.415,226309,175277,51032,2.674,90.012,18.286,5514,0.065,2.497,74905,0.885,2.209,22.054,200793,175277,25516,2.372,0.301,2.071,2.843,0.361,2.482,3958,1557,0.047,0.018,2401,49922,24983,0.59,0.295,0.707,0.354,24939,2.011,0.483,6.499,5.842,2.511,4.709,-2.024,60.963
"AR",2021-01-25,"AR",1329391,2.802,1132764,2.823,41265,0,1200,42465,3.194,3.155,0,0,0,0,5850,0,0,5850,0.44,42539,38095,4444,3.2,100.174,3.437,417,0.031,0.99,17406,1.309,-0.503,5.125,40317,38095,2222,3.033,0.167,2.866,3.559,0.196,3.363,398,19,0.03,0.001,379,15184,2222,1.142,0.167,1.34,0.196,12962,0.997,-0.7,0.862,0.862,22.662,12.598,25.279,-10.695
"AS",2021-01-25,"AS",1018784,2.147,901209,2.246,44195,0,1200,45395,4.456,3.372,0,0,0,0,8775,0,0,8775,0.861,43926,25866,18060,4.312,96.764,3.549,820,0.08,1.902,10354,1.016,0.437,3.048,34896,25866,9030,3.425,0.886,2.539,3.872,1.002,2.87,94,726,0.009,0.071,-632,1526,8828,0.15,0.867,0.169,0.98,-7302,0.27,-28.692,8.743,8.067,65.3,57.056,41.47,373.797
"IB",2021-01-25,"IB",1171543,2.469,986279,2.458,22590,0,600,23190,1.979,1.723,0,0,0,0,5850,0,0,5850,0.499,22083,16657,5426,1.885,95.226,1.784,528,0.045,2.45,8333,0.711,-10.069,2.453,19370,16657,2713,1.653,0.232,1.422,1.964,0.275,1.689,510,18,0.044,0.002,492,5775,2558,0.493,0.218,0.586,0.259,3217,2.704,-13.483,0.668,-1.312,-27.744,-30.215,-31.722,24.064
"CN",2021-01-25,"CN",2175952,4.586,1871033,4.662,46185,0,1300,47485,2.182,3.528,0,0,0,0,4875,0,0,4875,0.224,50110,42124,7986,2.303,105.528,4.049,1014,0.047,2.065,7997,0.368,-25.796,2.354,46117,42124,3993,2.119,0.184,1.936,2.465,0.213,2.251,638,376,0.029,0.017,262,4331,3666,0.199,0.168,0.231,0.196,665,1.403,-41.298,10.395,7.855,-11.71,-23.07,-12.474,-1.604
"CB",2021-01-25,"CB",582905,1.228,501384,1.249,20625,0,500,21125,3.624,1.569,0,0,0,0,2925,0,0,2925,0.502,20463,19981,482,3.511,96.866,1.653,0,0,0,2739,0.47,-27.29,0.806,20222,19981,241,3.469,0.041,3.428,4.033,0.048,3.985,0,0,0,0,0,2498,241,0.429,0.041,0.498,0.048,2257,0,-29.155,0,0,34.609,27.769,43.288,-78.075
"CL",2021-01-25,"CL",2394918,5.047,2092873,5.215,93315,0,2500,95815,4.001,7.118,0,0,0,0,16575,0,0,16575,0.692,94057,74871,19186,3.927,98.165,7.6,2562,0.107,2.8,26978,1.126,0.022,7.943,84464,74871,9593,3.527,0.401,3.126,4.036,0.458,3.577,1385,1178,0.058,0.049,207,17509,9469,0.731,0.395,0.837,0.452,8040,1.667,-6.063,13.999,13.646,50.585,41.034,45.684,114.439
"CM",2021-01-25,"CM",2045221,4.31,1719964,4.286,61875,0,1700,63575,3.108,4.723,0,0,0,0,8775,0,0,8775,0.429,61388,57372,4016,3.002,96.56,4.96,1452,0.071,2.423,23067,1.128,-0.225,6.791,59380,57372,2008,2.903,0.098,2.805,3.452,0.117,3.336,1314,138,0.064,0.007,1176,21059,2008,1.03,0.098,1.224,0.117,19051,2.263,-0.894,7.38,7.38,15.081,9.582,19.909,-47.594
"CT",2021-01-25,"CT",7780479,16.397,6531658,16.276,211220,0,5800,217020,2.789,16.122,0,0,0,0,31200,0,0,31200,0.401,184778,169834,14944,2.375,85.143,14.93,3877,0.05,2.143,39705,0.51,-8.36,11.69,177306,169834,7472,2.279,0.096,2.183,2.715,0.114,2.6,2753,1124,0.035,0.014,1629,32400,7305,0.416,0.094,0.496,0.112,25095,1.577,-12.645,17.706,17.124,-8.947,-1.677,-5.865,-48.663
"VC",2021-01-25,"VC",5057353,10.658,4269305,10.639,109000,0,2900,111900,2.213,8.313,0,0,0,0,17550,0,0,17550,0.347,104449,95385,9064,2.065,93.341,8.44,341,0.007,0.328,10754,0.213,-15.116,3.166,99917,95385,4532,1.976,0.09,1.886,2.34,0.106,2.234,210,131,0.004,0.003,79,6374,4380,0.126,0.087,0.149,0.103,1994,0.211,-23.838,2.977,1.86,-20.811,-22.002,-18.381,-51.872
