"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_1dosis_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","personas_1dosis_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-03-23,"AN",8464411,17.838,7062213,17.598,899820,343800,111200,1354820,16.006,17.631,0,0,0,0,79560,40500,37900,157960,1.866,1202553,357875,844678,14.207,88.761,18.763,17532,0.207,1.479,89139,1.053,3.33,13.365,780214,357875,422339,9.218,4.99,4.228,11.048,5.98,5.067,15360,2172,0.181,0.026,13188,29991,59148,0.354,0.699,0.425,0.838,-29157,2.008,30.469,0.517,-6.528,5.186,-1.16,2.857,9.791
"AR",2021-03-23,"AR",1329391,2.802,1132764,2.823,165285,54000,21700,240985,18.127,3.136,0,0,0,0,17550,6400,9100,33050,2.486,207118,62948,144170,15.58,85.946,3.232,630,0.047,0.305,24219,1.822,-7.189,3.631,135033,62948,72085,10.158,5.422,4.735,11.921,6.364,5.557,563,67,0.042,0.005,496,10928,13291,0.822,1,0.965,1.173,-2363,0.419,-12.924,0.093,-1.875,15.346,11.92,13.345,19.296
"AS",2021-03-23,"AS",1018784,2.147,901209,2.246,161195,41500,20700,223395,21.928,2.907,0,0,0,0,16380,4900,8000,29280,2.874,187429,39035,148394,18.397,83.9,2.924,1102,0.108,0.591,21357,2.096,-6.468,3.202,113232,39035,74197,11.114,7.283,3.832,12.564,8.233,4.331,415,687,0.041,0.067,-272,5503,15854,0.54,1.556,0.611,1.759,-10351,0.368,-5.625,0.935,-6.758,36.19,35.398,24.012,60.242
"IB",2021-03-23,"IB",1171543,2.469,986279,2.458,86940,47500,11100,145540,12.423,1.894,0,0,0,0,10530,5600,4600,20730,1.769,124791,52955,71836,10.652,85.743,1.947,254,0.022,0.204,14183,1.211,-11.649,2.126,88873,52955,35918,7.586,3.066,4.52,9.011,3.642,5.369,199,55,0.017,0.005,144,9587,4596,0.818,0.392,0.972,0.466,4991,0.224,-15.473,0.153,-2.441,-21.142,-23.289,-15.354,-32.541
"CN",2021-03-23,"CN",2175952,4.586,1871033,4.662,186000,88400,22900,297300,13.663,3.869,0,0,0,0,18720,10400,8600,37720,1.733,241508,77772,163736,11.099,81.234,3.768,3796,0.174,1.597,21914,1.007,-2.396,3.286,159640,77772,81868,7.337,3.762,3.574,8.532,4.376,4.157,1306,2490,0.06,0.114,-1184,5704,16210,0.262,0.745,0.305,0.866,-10506,0.825,-15.321,3.137,3.143,-17.837,-15.635,-18.132,-17.228
"CB",2021-03-23,"CB",582905,1.228,501384,1.249,79125,23600,9700,112425,19.287,1.463,0,0,0,0,8190,2800,3800,14790,2.537,91015,18009,73006,15.614,80.956,1.42,958,0.164,1.064,11732,2.013,-4.377,1.759,54512,18009,36503,9.352,6.262,3.09,10.872,7.28,3.592,605,353,0.104,0.061,252,1126,10606,0.193,1.82,0.225,2.115,-9480,1.122,-3.843,0.976,-4.433,15.635,19.137,4.352,37.778
"CL",2021-03-23,"CL",2394918,5.047,2092873,5.215,364755,97300,47700,509755,21.285,6.634,0,0,0,0,39780,11500,20400,71680,2.993,431153,116637,314516,18.003,84.58,6.727,5841,0.244,1.373,50925,2.126,-6.26,7.635,273895,116637,157258,11.437,6.566,4.87,13.087,7.514,5.573,1358,4483,0.057,0.187,-3125,18556,32369,0.775,1.352,0.887,1.547,-13813,0.498,-20.282,2.934,4.251,33.287,31.444,27.617,44.466
"CM",2021-03-23,"CM",2045221,4.31,1719964,4.286,239715,83100,31000,353815,17.3,4.604,0,0,0,0,24570,9800,12400,46770,2.287,271647,82145,189502,13.282,76.777,4.238,3705,0.181,1.383,32562,1.592,4.065,4.882,176896,82145,94751,8.649,4.633,4.016,10.285,5.509,4.776,2644,1061,0.129,0.052,1583,17925,14637,0.876,0.716,1.042,0.851,3288,1.517,5.194,1.132,2.716,-1.671,6.821,-3.493,1.936
"CT",2021-03-23,"CT",7780479,16.397,6531658,16.276,819620,316100,105400,1241120,15.952,16.151,0,0,0,0,84240,37200,42000,163440,2.101,1011890,318848,693042,13.005,81.53,15.788,5841,0.075,0.581,112635,1.448,-4.787,16.887,665369,318848,346521,8.552,4.454,4.098,10.187,5.305,4.882,1358,4483,0.017,0.058,-3125,12132,100503,0.156,1.292,0.186,1.539,-88371,0.205,-34.665,1.311,0.776,-3.714,-1.5,-4.575,-2.002
"VC",2021-03-23,"VC",5057353,10.658,4269305,10.639,450640,205400,57800,713840,14.115,9.29,0,0,0,0,54990,24100,26100,105190,2.08,569061,165965,403096,11.252,79.718,8.879,8794,0.174,1.57,82294,1.627,3.109,12.338,367513,165965,201548,7.267,3.985,3.282,8.608,4.721,3.887,5583,3211,0.11,0.063,2372,35478,46816,0.702,0.926,0.831,1.097,-11338,1.543,1.674,1.619,4.223,-16.692,-12.835,-18.913,-12.321
