"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
"AN",2021-04-01,"AN",8464411,17.838,7062213,17.598,1098720,381600,168000,1648320,19.474,17.011,0,0,0,0,99450,20000,56800,176250,2.082,1483868,454604,1029264,17.531,90.023,17.788,42454,0.502,2.945,35252,7202,189919,2.244,3.759,12.641,969236,514632,454604,11.451,6.08,13.724,7.287,35252,7202,0.416,0.085,147563,42356,1.743,0.5,2.089,0.6,3.774,12.663,1.419,-18.643,-0.28,-4.636,-2.011,3.138,2021-05-26,2021-07-25,2021-09-24,2021-10-15,2022-03-28,2022-09-09,2021-09-07,2022-01-24,2022-06-12
"AR",2021-04-01,"AR",1329391,2.802,1132764,2.823,209745,59900,35300,304945,22.939,3.147,0,0,0,0,22230,3100,13600,38930,2.928,258902,71648,187254,19.475,84.901,3.104,8563,0.644,3.421,4214,4349,38172,2.871,-1.904,2.541,165275,93627,71648,12.432,7.043,14.59,8.265,4214,4349,0.317,0.327,24325,13847,1.83,1.042,2.147,1.222,2.616,1.363,4.871,-7.161,10.778,12.313,6.384,19.474,2021-05-26,2021-07-25,2021-09-24,2021-10-15,2022-03-28,2022-09-09,2021-09-07,2022-01-24,2022-06-12
"AS",2021-04-01,"AS",1018784,2.147,901209,2.246,203315,46000,32700,282015,27.682,2.91,0,0,0,0,21060,2400,12000,35460,3.481,234491,55283,179208,23.017,83.148,2.811,8576,0.842,3.796,6065,2511,36766,3.609,10.814,2.447,144887,89604,55283,14.222,8.795,16.077,9.943,6065,2511,0.595,0.246,24925,11841,2.447,1.162,2.766,1.314,4.369,12.604,2.883,7.226,30.927,35.538,21.701,49.194,2021-05-26,2021-07-25,2021-09-24,2021-10-15,2022-03-28,2022-09-09,2021-09-07,2022-01-24,2022-06-12
"IB",2021-04-01,"IB",1171543,2.469,986279,2.458,112680,52700,18000,183380,15.653,1.892,0,0,0,0,12870,2800,6900,22570,1.927,160884,69866,91018,13.733,87.733,1.929,0,0,0,0,0,28717,2.451,-18.722,1.911,115375,45509,69866,9.848,3.885,11.698,4.614,0,0,0,0,20988,7729,1.791,0.66,2.128,0.784,0,-18.912,0,-18.203,-21.871,-23.37,-15.728,-34.097,2021-05-26,2021-07-25,2021-09-24,2021-10-15,2022-03-28,2022-09-09,2021-09-07,2022-01-24,2022-06-12
"CN",2021-04-01,"CN",2175952,4.586,1871033,4.662,232800,98100,35800,366700,16.852,3.784,0,0,0,0,23400,5100,12900,41400,1.903,315167,97981,217186,14.484,85.947,3.778,10938,0.503,3.595,7057,3881,60815,2.795,8.351,4.048,206574,108593,97981,9.493,4.991,11.041,5.804,7057,3881,0.324,0.178,43123,17692,1.982,0.813,2.305,0.946,3.537,12.469,3.706,-0.529,-17.619,-17.488,-18.766,-15.335,2021-05-26,2021-07-25,2021-09-24,2021-10-15,2022-03-28,2022-09-09,2021-09-07,2022-01-24,2022-06-12
"CB",2021-04-01,"CB",582905,1.228,501384,1.249,97845,26200,15300,139345,23.905,1.438,0,0,0,0,9360,1400,5600,16360,2.807,114080,25968,88112,19.571,81.869,1.368,0,0,0,0,0,16779,2.879,-15.798,1.117,70024,44056,25968,12.013,7.558,13.966,8.787,0,0,0,0,13054,3725,2.239,0.639,2.604,0.743,0,-12.277,0,-26.179,11.401,17.101,2.798,28.21,2021-05-26,2021-07-25,2021-09-24,2021-10-15,2022-03-28,2022-09-09,2021-09-07,2022-01-24,2022-06-12
"CL",2021-04-01,"CL",2394918,5.047,2092873,5.215,463035,108100,78300,649435,27.117,6.702,0,0,0,0,49140,5700,30600,85440,3.568,554254,139526,414728,23.143,85.344,6.644,20120,0.84,3.767,10820,9300,97945,4.09,5.801,6.519,346890,207364,139526,14.484,8.659,16.575,9.908,10820,9300,0.452,0.388,60912,37033,2.543,1.546,2.91,1.769,3.22,4.112,4.695,8.7,31.643,32.792,23.943,46.887,2021-05-26,2021-07-25,2021-09-24,2021-10-15,2022-03-28,2022-09-09,2021-09-07,2022-01-24,2022-06-12
"CM",2021-04-01,"CM",2045221,4.31,1719964,4.286,300555,92200,49600,442355,21.629,4.565,0,0,0,0,30420,4800,18600,53820,2.632,356085,110377,245708,17.411,80.498,4.269,0,0,0,0,0,64299,3.144,-16.997,4.28,233231,122854,110377,11.404,6.007,13.56,7.143,0,0,0,0,46204,18095,2.259,0.885,2.686,1.052,0,-12.77,0,-26.137,-0.951,5.916,-2.413,1.9,2021-05-26,2021-07-25,2021-09-24,2021-10-15,2022-03-28,2022-09-09,2021-09-07,2022-01-24,2022-06-12
"CT",2021-04-01,"CT",7780479,16.397,6531658,16.276,1027880,350800,168400,1547080,19.884,15.966,0,0,0,0,104130,18300,63000,185430,2.383,1353057,490039,863018,17.39,87.459,16.22,78113,1.004,6.127,67647,10466,290578,3.735,17.37,19.341,921548,431509,490039,11.844,5.546,14.109,6.606,67647,10466,0.869,0.135,238477,52101,3.065,0.67,3.651,0.798,7.922,30.104,2.486,-18.943,-1.079,-2.629,1.352,-5.92,2021-05-26,2021-07-25,2021-09-24,2021-10-15,2022-03-28,2022-09-09,2021-09-07,2022-01-24,2022-06-12
"VC",2021-04-01,"VC",5057353,10.658,4269305,10.639,586360,228100,96800,911260,18.019,9.404,0,0,0,0,67860,12000,39000,118860,2.35,821536,307250,514286,16.244,90.154,9.848,53319,1.054,6.941,47690,5629,209196,4.136,17.643,13.924,564393,257143,307250,11.16,5.085,13.22,6.023,47690,5629,0.943,0.111,179710,29486,3.553,0.583,4.209,0.691,9.23,27.131,2.238,-19.137,-7.6,-11.766,-4.501,-13.74,2021-05-26,2021-07-25,2021-09-24,2021-10-15,2022-03-28,2022-09-09,2021-09-07,2022-01-24,2022-06-12
