"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_primera","dosis_diarias_pauta_completa","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_primera","dosis_7D_pauta_completa","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-01-05,"AN",8464411,17.838,7062213,17.598,140295,0,0,140295,1.657,18.859,140295,0,0,140295,140295,0,0,140295,1.657,40263,40263,0,0.476,28.699,28.896,40263,40263,0,0.476,0,40263,40263,0,0.476,0,28.896,40263,40263,0,0.476,0,0.476,0.57,0,0.57,40263,0,0.476,0,40263,0,0.476,0,0.57,0,0,0,0,0,61.991,5.724,61.905,NA
"AR",2021-01-05,"AR",1329391,2.802,1132764,2.823,23715,0,0,23715,1.784,3.188,23715,0,0,23715,23715,0,0,23715,1.784,2985,2985,0,0.225,12.587,2.142,2985,2985,0,0.225,0,2985,2985,0,0.225,0,2.142,2985,2985,0,0.225,0,0.225,0.264,0,0.264,2985,0,0.225,0,2985,0,0.225,0,0.264,0,0,0,0,0,-23.555,13.776,-23.469,NA
"AS",2021-01-05,"AS",1018784,2.147,901209,2.246,23720,0,0,23720,2.328,3.188,23720,0,0,23720,23720,0,0,23720,2.328,12929,12929,0,1.269,54.507,9.279,12929,12929,0,1.269,0,12929,12929,0,1.269,0,9.279,12929,12929,0,1.269,0,1.269,1.435,0,1.435,12929,0,1.269,0,12929,0,1.269,0,1.435,0,0,0,0,0,332.184,48.486,331.633,NA
"IB",2021-01-05,"IB",1171543,2.469,986279,2.458,12840,0,0,12840,1.096,1.726,12840,0,0,12840,12840,0,0,12840,1.096,2656,2656,0,0.227,20.685,1.906,2656,2656,0,0.227,0,2656,2656,0,0.227,0,1.906,2656,2656,0,0.227,0,0.227,0.269,0,0.269,2656,0,0.227,0,2656,0,0.227,0,0.269,0,0,0,0,0,-22.803,-30.093,-22.789,NA
"CN",2021-01-05,"CN",2175952,4.586,1871033,4.662,27660,0,0,27660,1.271,3.718,27660,0,0,27660,27660,0,0,27660,1.271,5857,5857,0,0.269,21.175,4.203,5857,5857,0,0.269,0,5857,5857,0,0.269,0,4.203,5857,5857,0,0.269,0,0.269,0.313,0,0.313,5857,0,0.269,0,5857,0,0.269,0,0.313,0,0,0,0,0,-8.352,-18.927,-8.503,NA
"CB",2021-01-05,"CB",582905,1.228,501384,1.249,11850,0,0,11850,2.033,1.593,11850,0,0,11850,11850,0,0,11850,2.033,601,601,0,0.103,5.072,0.431,601,601,0,0.103,0,601,601,0,0.103,0,0.431,601,601,0,0.103,0,0.103,0.12,0,0.12,601,0,0.103,0,601,0,0.103,0,0.12,0,0,0,0,0,-64.902,29.723,-64.966,NA
"CL",2021-01-05,"CL",2394918,5.047,2092873,5.215,51390,0,0,51390,2.146,6.908,51390,0,0,51390,51390,0,0,51390,2.146,16430,16430,0,0.686,31.971,11.791,16430,16430,0,0.686,0,16430,16430,0,0.686,0,11.791,16430,16430,0,0.686,0,0.686,0.785,0,0.785,16430,0,0.686,0,16430,0,0.686,0,0.785,0,0,0,0,0,133.624,36.873,133.333,NA
"CM",2021-01-05,"CM",2045221,4.31,1719964,4.286,35550,0,0,35550,1.738,4.779,35550,0,0,35550,35550,0,0,35550,1.738,4092,4092,0,0.2,11.511,2.937,4092,4092,0,0.2,0,4092,4092,0,0.2,0,2.937,4092,4092,0,0.2,0,0.2,0.238,0,0.238,4092,0,0.2,0,4092,0,0.2,0,0.238,0,0,0,0,0,-31.856,10.882,-31.973,NA
"CT",2021-01-05,"CT",7780479,16.397,6531658,16.276,120545,0,0,120545,1.549,16.204,120545,0,0,120545,120545,0,0,120545,1.549,11191,11191,0,0.144,9.284,8.031,11191,11191,0,0.144,0,11191,11191,0,0.144,0,8.031,11191,11191,0,0.144,0,0.144,0.171,0,0.171,11191,0,0.144,0,11191,0,0.144,0,0.171,0,0,0,0,0,-51.022,-1.177,-51.02,NA
"VC",2021-01-05,"VC",5057353,10.658,4269305,10.639,61225,0,0,61225,1.211,8.23,61225,0,0,61225,61225,0,0,61225,1.211,8586,8586,0,0.17,14.024,6.162,8586,8586,0,0.17,0,8586,8586,0,0.17,0,6.162,8586,8586,0,0.17,0,0.17,0.201,0,0.201,8586,0,0.17,0,8586,0,0.17,0,0.201,0,0,0,0,0,-42.184,-22.781,-42.177,NA
"EX",2021-01-05,"EX",1063987,2.242,911213,2.271,21725,0,0,21725,2.042,2.92,21725,0,0,21725,21725,0,0,21725,2.042,1806,1806,0,0.17,8.313,1.296,1806,1806,0,0.17,0,1806,1806,0,0.17,0,1.296,1806,1806,0,0.17,0,0.17,0.198,0,0.198,1806,0,0.17,0,1806,0,0.17,0,0.198,0,0,0,0,0,-42.194,30.241,-42.177,NA
"GA",2021-01-05,"GA",2701819,5.694,2362643,5.887,37555,0,0,37555,1.39,5.048,37555,0,0,37555,37555,0,0,37555,1.39,12012,12012,0,0.445,31.985,8.621,12012,12012,0,0.445,0,12012,12012,0,0.445,0,8.621,12012,12012,0,0.445,0,0.445,0.508,0,0.508,12012,0,0.445,0,12012,0,0.445,0,0.508,0,0,0,0,0,51.405,-11.345,51.361,NA
"RI",2021-01-05,"RI",319914,0.674,270788,0.675,5915,0,0,5915,1.849,0.795,5915,0,0,5915,5915,0,0,5915,1.849,585,585,0,0.183,9.89,0.42,585,585,0,0.183,0,585,585,0,0.183,0,0.42,585,585,0,0.183,0,0.183,0.216,0,0.216,585,0,0.183,0,585,0,0.183,0,0.216,0,0,0,0,0,-37.685,17.953,-37.755,NA
"MD",2021-01-05,"MD",6779888,14.288,5695623,14.193,98790,0,0,98790,1.457,13.28,98790,0,0,98790,98790,0,0,98790,1.457,5335,5335,0,0.079,5.4,3.829,5335,5335,0,0.079,0,5335,5335,0,0.079,0,3.829,5335,5335,0,0.079,0,0.079,0.094,0,0.094,5335,0,0.079,0,5335,0,0.079,0,0.094,0,0,0,0,0,-73.201,-7.055,-73.129,NA
"MC",2021-01-05,"MC",1511251,3.185,1237479,3.084,25685,0,0,25685,1.7,3.453,25685,0,0,25685,25685,0,0,25685,1.7,4949,4949,0,0.327,19.268,3.552,4949,4949,0,0.327,0,4949,4949,0,0.327,0,3.552,4949,4949,0,0.327,0,0.327,0.4,0,0.4,4949,0,0.327,0,4949,0,0.327,0,0.4,0,0,0,0,0,11.523,8.414,11.224,NA
