"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-02-24,"AN",8464411,17.838,7062213,17.598,662310,144200,36300,842810,9.957,18.692,93600,69700,0,163300,93600,69700,0,163300,1.929,653919,215985,437934,7.726,77.588,19.908,27260,0.322,4.35,24910,2350,168246,1.988,6.704,28.314,434952,218967,215985,5.139,2.587,6.159,3.101,24910,2350,0.294,0.028,147593,20653,1.744,0.244,2.09,0.292,6.075,8.896,1.085,-6.716,11.604,4.788,18.165,0.505
"AR",2021-02-24,"AR",1329391,2.802,1132764,2.823,112635,22600,6300,141535,10.647,3.139,16380,10900,0,27280,16380,10900,0,27280,2.052,115419,27029,88390,8.682,81.548,3.514,4352,0.327,3.918,3862,490,18432,1.386,4.996,3.102,71224,44195,27029,5.358,3.324,6.288,3.902,3862,490,0.291,0.037,13911,4521,1.046,0.34,1.228,0.399,5.733,21.197,1.121,-25.605,25.41,12.027,23.201,29.138
"AS",2021-02-24,"AS",1018784,2.147,901209,2.246,112055,17400,6300,135755,13.325,3.011,14040,8400,0,22440,14040,8400,0,22440,2.203,104014,27168,76846,10.21,76.619,3.167,4469,0.439,4.489,3995,474,20886,2.05,18.643,3.515,65591,38423,27168,6.438,3.771,7.278,4.263,3995,474,0.392,0.047,17031,3855,1.672,0.378,1.89,0.428,6.486,23.458,1.249,1.208,47.508,40.242,48.034,46.503
"IB",2021-02-24,"IB",1171543,2.469,986279,2.458,56520,19900,3200,79620,6.796,1.766,7020,9600,0,16620,7020,9600,0,16620,1.419,54156,13004,41152,4.623,68.018,1.649,1355,0.116,2.566,1339,16,8808,0.752,7.049,1.482,33580,20576,13004,2.866,1.756,3.405,2.086,1339,16,0.114,0.001,7593,1215,0.648,0.104,0.77,0.123,4.153,13.447,0.078,-20.847,-33.212,-28.473,-34.1,-31.779
"CN",2021-02-24,"CN",2175952,4.586,1871033,4.662,129840,37100,7000,173940,7.994,3.858,18720,17900,0,36620,18720,17900,0,36620,1.683,127794,27660,100134,5.873,73.47,3.891,5490,0.252,4.489,5349,141,18743,0.861,20.48,3.154,77727,50067,27660,3.572,2.301,4.154,2.676,5349,141,0.246,0.006,13915,4828,0.639,0.222,0.744,0.258,7.39,42.703,0.282,-16.845,-15.155,-15.874,-17.866,-10.606
"CB",2021-02-24,"CB",582905,1.228,501384,1.249,55725,9900,2900,68525,11.756,1.52,8190,4800,0,12990,8190,4800,0,12990,2.228,51298,11372,39926,8.8,74.86,1.562,2363,0.405,4.829,2254,109,7385,1.267,29.086,1.243,31335,19963,11372,5.376,3.425,6.25,3.982,2254,109,0.387,0.019,6484,901,1.112,0.155,1.293,0.18,7.751,33.224,0.549,5.504,27.199,23.779,23.615,33.061
"CL",2021-02-24,"CL",2394918,5.047,2092873,5.215,246585,40800,13500,300885,12.563,6.673,35100,19700,0,54800,35100,19700,0,54800,2.288,229483,54795,174688,9.582,76.269,6.986,6449,0.269,2.891,5557,892,33287,1.39,1.942,5.602,142139,87344,54795,5.935,3.647,6.792,4.173,5557,892,0.232,0.037,27365,5922,1.143,0.247,1.308,0.283,4.069,4.081,1.032,-6.901,38.419,32.217,36.468,41.686
"CM",2021-02-24,"CM",2045221,4.31,1719964,4.286,167175,34800,9200,211175,10.325,4.684,23400,16800,0,40200,23400,16800,0,40200,1.966,150359,20519,129840,7.352,71.201,4.578,4147,0.203,2.836,2432,1715,17637,0.862,7.281,2.968,85439,64920,20519,4.177,3.174,4.967,3.774,2432,1715,0.119,0.084,8164,9473,0.399,0.463,0.475,0.551,2.93,34.697,2.713,-8.729,6.218,8.677,-3.955,23.31
"CT",2021-02-24,"CT",7780479,16.397,6531658,16.276,570410,132700,31400,734510,9.44,16.29,80730,64100,0,144830,80730,64100,0,144830,1.861,531016,164308,366708,6.825,72.295,16.166,26746,0.344,5.304,25227,1519,103491,1.33,17.463,17.416,347662,183354,164308,4.468,2.357,5.323,2.807,25227,1519,0.324,0.02,88391,15100,1.136,0.194,1.353,0.231,7.824,22.131,0.835,-4.011,-1.409,-0.653,2.736,-8.43
"VC",2021-02-24,"VC",5057353,10.658,4269305,10.639,288010,86200,15700,389910,7.71,8.648,40950,41700,0,82650,40950,41700,0,82650,1.634,286962,86544,200418,5.674,73.597,8.736,12984,0.257,4.739,11820,1164,58782,1.162,18.949,9.892,186753,100209,86544,3.693,1.981,4.374,2.347,11820,1164,0.234,0.023,54613,4169,1.08,0.082,1.279,0.098,6.757,18.9,1.175,19.593,-18.033,-18.859,-15.084,-23.038
