"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,400230,34500,16600,451330,18.708,390077,86.4,151577,17.999,4.875,1.791,2.146,2.203,1.305,2.686,2.908,4.608,0.9
"2","ARAGÓN","AR",1329391,1132764,1107658,2.802,2.823,2.827,68175,5400,2900,76475,3.17,75586,98.8,25222,3.488,13.129,1.897,2.227,2.277,7.33,6.527,6.365,5.686,24.487
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,69935,4200,2900,77035,3.193,72787,94.5,31944,3.359,48.723,3.136,3.545,3.607,77.379,69.583,68.482,7.144,56.426
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,35460,4800,1500,41760,1.731,36655,87.8,14072,1.691,-29.893,1.201,1.427,1.461,-32.05,-31.739,-31.741,3.129,-31.497
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,79530,8900,3200,91630,3.798,85250,93,29047,3.934,-17.182,1.335,1.552,1.59,-24.483,-25.726,-25.722,3.918,-14.221
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,33495,2400,1300,37195,1.542,35347,95,13470,1.631,25.548,2.311,2.687,2.746,30.727,28.533,28.254,6.064,32.767
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,149475,9800,6200,165475,6.859,161781,97.8,64568,7.465,35.901,2.696,3.085,3.146,52.518,47.602,46.968,6.755,47.902
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,101655,8300,4200,114155,4.732,106646,93.4,33207,4.921,9.784,1.624,1.931,1.979,-8.149,-7.631,-7.538,5.214,14.167
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,345770,31800,14300,391870,16.243,328789,83.9,129651,15.171,-0.94,1.666,1.985,2.035,-5.732,-5.033,-4.953,4.226,-7.478
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,175690,20600,7000,203290,8.426,196489,96.7,87353,9.066,-20.939,1.727,2.046,2.097,-2.288,-2.11,-2.061,3.885,-14.935
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,62675,4300,2500,69475,2.88,69271,99.7,27390,3.196,28.445,2.574,3.006,3.077,45.63,43.81,43.714,6.511,42.545
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,108925,11000,4500,124425,5.157,114111,91.7,54504,5.265,-9.424,2.017,2.307,2.351,14.121,10.369,9.805,4.223,-7.529
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,17615,1300,600,19515,0.809,18324,93.9,7777,0.845,20.014,2.431,2.872,2.94,37.522,37.404,37.343,5.728,25.407
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,280725,27700,11600,320025,13.265,282690,88.3,102204,13.044,-7.16,1.507,1.794,1.838,-14.721,-14.149,-14.131,4.17,-8.71
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,73265,6200,3000,82465,3.418,77602,94.1,25944,3.581,7.321,1.717,2.097,2.157,-2.883,0.304,0.758,5.135,12.428
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,33495,2700,1300,37495,1.554,35585,94.9,12509,1.642,11.569,1.892,2.262,2.321,7.025,8.235,8.401,5.382,17.834
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,91080,9100,3600,103780,4.302,75634,72.9,26299,3.49,-8.084,1.184,1.386,1.417,-32.999,-33.712,-33.822,3.406,-25.424
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,1980,400,200,2580,0.107,2218,86,964,0.102,-39.582,1.145,1.457,1.507,-35.234,-30.287,-29.622,2.634,-42.327
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,1980,400,200,2580,0.107,2399,93,1080,0.111,-41.88,1.24,1.632,1.691,-29.835,-21.922,-20.994,2.755,-39.679
"20","ESPAÑA","ES",47450795,40129822,39180773,100,84.571,82.571,2131155,193800,87600,2412555,100,2167241,89.832,838782,100,0,1.768,2.09,2.141,0,0,0,4.567,0
