"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-02-08,"AN",8464411,17.838,7062213,17.598,400230,0,16600,416830,4.925,18.787,0,0,0,0,76050,0,9800,85850,1.014,378943,91839,287104,4.477,90.911,18.002,5154,0.061,1.379,1201,3953,79151,0.935,-0.559,15.965,235391,143552,91839,2.781,1.696,3.333,2.033,1201,3953,0.014,0.047,14239,64912,0.168,0.767,0.202,0.919,0.513,-4.609,2.832,0.376,0.919,5.32,0.072,2.354
"AR",2021-02-08,"AR",1329391,2.802,1132764,2.823,68175,0,2900,71075,5.346,3.203,0,0,0,0,12870,0,1700,14570,1.096,74650,25890,48760,5.615,105.03,3.546,665,0.05,0.899,368,297,19358,1.456,1.113,3.905,50270,24380,25890,3.781,1.834,4.438,2.152,367,297,0.028,0.022,5342,14016,0.402,1.054,0.472,1.237,0.735,2.278,1.233,0.668,26.552,14.311,36.056,10.682
"AS",2021-02-08,"AS",1018784,2.147,901209,2.246,69935,0,2900,72835,7.149,3.283,0,0,0,0,11700,0,1700,13400,1.315,71784,8850,62934,7.046,98.557,3.41,1053,0.103,1.489,144,909,13672,1.342,-4.725,2.758,40317,31467,8850,3.957,3.089,4.474,3.492,144,909,0.014,0.089,1680,11992,0.165,1.177,0.186,1.331,0.358,-23.532,2.975,-1.325,58.826,52.911,42.389,86.421
"IB",2021-02-08,"IB",1171543,2.469,986279,2.458,35460,0,1500,36960,3.155,1.666,0,0,0,0,5850,0,900,6750,0.576,35683,8823,26860,3.046,96.545,1.695,1396,0.119,4.072,227,1169,10124,0.864,13.74,2.042,22253,13430,8823,1.899,1.146,2.256,1.362,226,1169,0.019,0.1,1476,8648,0.126,0.738,0.15,0.877,1.026,14.864,9.534,13.536,-31.349,-32.523,-31.666,-30.839
"CN",2021-02-08,"CN",2175952,4.586,1871033,4.662,79530,0,3200,82730,3.802,3.729,0,0,0,0,15210,0,1900,17110,0.786,84330,28014,56316,3.876,101.934,4.006,1497,0.069,1.807,127,1370,19855,0.912,0.328,4.005,56172,28158,28014,2.581,1.294,3.002,1.505,127,1370,0.006,0.063,3198,16657,0.147,0.766,0.171,0.89,0.227,-10.994,5.114,2.84,-12.647,-18.687,-7.125,-21.907
"CB",2021-02-08,"CB",582905,1.228,501384,1.249,33495,0,1300,34795,5.969,1.568,0,0,0,0,5850,0,800,6650,1.141,34215,9361,24854,5.87,98.333,1.625,1450,0.249,4.425,243,1207,10589,1.817,8.04,2.136,21788,12427,9361,3.738,2.132,4.346,2.479,243,1207,0.042,0.207,899,9690,0.154,1.662,0.179,1.933,1.128,26.087,10.758,6.636,32.329,27.687,34.509,28.666
"CL",2021-02-08,"CL",2394918,5.047,2092873,5.215,149475,0,6200,155675,6.5,7.016,0,0,0,0,28080,0,3700,31780,1.327,161020,35164,125856,6.723,103.433,7.649,3337,0.139,2.116,1249,2088,36795,1.536,0.481,7.422,98092,62928,35164,4.096,2.628,4.687,3.007,1250,2088,0.052,0.087,8313,28482,0.347,1.189,0.397,1.361,1.291,17.382,3.432,-3.569,51.555,39.013,47.391,58.6
"CM",2021-02-08,"CM",2045221,4.31,1719964,4.286,101655,0,4200,105855,5.176,4.771,0,0,0,0,18720,0,2500,21220,1.038,104988,40730,64258,5.133,99.181,4.987,985,0.048,0.947,390,595,20383,0.997,-5.974,4.111,72859,32129,40730,3.562,1.571,4.236,1.868,390,595,0.019,0.029,5714,14669,0.279,0.717,0.332,0.853,0.538,-3.902,1.887,-6.757,15.708,10.696,28.176,-5.19
"CT",2021-02-08,"CT",7780479,16.397,6531658,16.276,345770,0,14300,360070,4.628,16.228,0,0,0,0,65520,0,8500,74020,0.951,317222,75738,241484,4.077,88.1,15.07,2842,0.037,0.904,-1446,4288,60667,0.78,-12.271,12.237,196480,120742,75738,2.525,1.552,3.008,1.849,-1446,4288,-0.019,0.055,601,60066,0.008,0.772,0.009,0.92,-0.731,-87.876,3.682,-6.432,-8.093,-1.031,-9.14,-6.337
"VC",2021-02-08,"VC",5057353,10.658,4269305,10.639,175690,0,7000,182690,3.612,8.234,0,0,0,0,32760,0,4100,36860,0.729,190902,24560,166342,3.775,104.495,9.069,2892,0.057,1.538,361,2531,54793,1.083,-8.445,11.052,107731,83171,24560,2.13,1.645,2.523,1.948,361,2531,0.007,0.05,5017,49776,0.099,0.984,0.118,1.166,0.336,-4.292,3.139,-8.842,-14.909,-22.743,-23.354,-0.724
"EX",2021-02-08,"EX",1063987,2.242,911213,2.271,62675,0,2500,65175,6.126,2.937,0,0,0,0,11700,0,1500,13200,1.241,68006,14796,53210,6.392,104.344,3.231,2018,0.19,3.058,370,1648,20664,1.942,1.096,4.168,41401,26605,14796,3.891,2.501,4.544,2.92,370,1648,0.035,0.155,2705,17959,0.254,1.688,0.297,1.971,0.902,-1.025,6.603,1.429,44.112,30.999,40.014,50.935
"GA",2021-02-08,"GA",2701819,5.694,2362643,5.887,108925,0,4500,113425,4.198,5.112,0,0,0,0,21060,0,2700,23760,0.879,110996,8148,102848,4.108,97.858,5.273,4683,0.173,4.405,115,4568,25278,0.936,10.336,5.099,59572,51424,8148,2.205,1.903,2.521,2.177,115,4568,0.004,0.169,952,24326,0.035,0.9,0.04,1.03,0.193,8.676,9.749,10.397,-7.394,-10.221,-20.655,14.846
"RI",2021-02-08,"RI",319914,0.674,270788,0.675,17615,0,600,18215,5.694,0.821,0,0,0,0,3510,0,400,3910,1.222,17803,2681,15122,5.565,97.738,0.846,394,0.123,2.263,47,347,6013,1.88,1.195,1.213,10242,7561,2681,3.201,2.363,3.782,2.792,47,347,0.015,0.108,942,5071,0.294,1.585,0.348,1.873,0.461,2.503,4.81,0.956,25.519,21.81,15.185,42.607
"MD",2021-02-08,"MD",6779888,14.288,5695623,14.193,280725,0,11600,292325,4.312,13.175,0,0,0,0,52650,0,6900,59550,0.878,266831,93541,173290,3.936,91.279,12.676,6943,0.102,2.672,506,6437,75888,1.119,6.226,15.307,180186,86645,93541,2.658,1.278,3.164,1.521,506,6437,0.007,0.095,5080,70808,0.075,1.044,0.089,1.243,0.282,-4.547,8.025,7.093,-11.282,-7.79,-4.354,-22.873
"MC",2021-02-08,"MC",1511251,3.185,1237479,3.084,73265,0,3000,76265,5.046,3.437,0,0,0,0,14040,0,1800,15840,1.048,75792,27168,48624,5.015,99.38,3.601,1144,0.076,1.533,-164,1308,17055,1.129,-0.432,3.44,51480,24312,27168,3.406,1.609,4.16,1.965,-164,1308,-0.011,0.087,4036,13019,0.267,0.861,0.326,1.052,-0.318,-14.888,5.686,5.102,13.061,7.912,22.562,-2.897
"NC",2021-02-08,"NC",661197,1.393,552935,1.378,33495,0,1300,34795,5.262,1.568,0,0,0,0,5850,0,800,6650,1.006,34273,11395,22878,5.183,98.5,1.628,942,0.142,2.826,134,808,9157,1.385,0.516,1.847,22834,11439,11395,3.453,1.73,4.13,2.069,135,808,0.02,0.122,2999,6158,0.454,0.931,0.542,1.114,0.595,-5.603,7.6,3.81,16.87,12.563,24.253,4.406
"PV",2021-02-08,"PV",2220504,4.68,1898123,4.73,91080,0,3600,94680,4.264,4.267,0,0,0,0,16380,0,2200,18580,0.837,72979,24975,48004,3.287,77.08,3.467,1540,0.069,2.156,577,963,15717,0.708,2.605,3.17,48977,24002,24975,2.206,1.081,2.58,1.265,577,963,0.026,0.043,3992,11725,0.18,0.528,0.21,0.618,1.192,14.68,4.18,-0.946,-25.919,-8.825,-20.619,-34.762
"CE",2021-02-08,"CE",84202,0.177,66158,0.165,1980,0,200,2180,2.589,0.098,0,0,0,0,0,0,0,0,0,2218,290,1928,2.634,101.743,0.105,21,0.025,0.956,7,14,328,0.39,0,0.066,1254,964,290,1.489,1.145,1.895,1.457,6,14,0.007,0.017,52,276,0.062,0.328,0.079,0.417,0.481,10.638,1.474,-2.128,-40.678,-44.633,-46.42,-30.899
"ML",2021-02-08,"ML",87076,0.184,66178,0.165,1980,0,200,2180,2.504,0.098,0,0,0,0,0,0,0,0,0,2398,256,2142,2.754,110,0.114,2,0.002,0.083,3,-1,285,0.327,-16.91,0.057,1327,1071,256,1.524,1.23,2.005,1.618,3,-1,0.003,-0.001,20,265,0.023,0.304,0.03,0.4,0.227,11.111,-0.093,-18.21,-38.043,-46.739,-45.16,-25.769
