"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-01-22,"AN",8464411,17.838,7062213,17.598,244620,0,6800,251420,2.97,18.678,0,0,0,0,35100,0,0,35100,0.415,209766,168074,41692,2.478,83.433,17.993,15665,0.185,8.071,10012,5653,70048,0.828,-0.841,17.65,188920,20846,168074,2.232,0.246,2.675,0.295,10012,5653,0.118,0.067,49202,20846,0.581,0.246,0.697,0.295,5.596,-11.266,37.208,37.208,0.869,4.709,-3.502,70.833
"AR",2021-01-22,"AR",1329391,2.802,1132764,2.823,41265,0,1200,42465,3.194,3.155,0,0,0,0,5850,0,0,5850,0.44,41287,36957,4330,3.106,97.226,3.541,3117,0.234,8.166,2683,434,17668,1.329,2.033,4.452,39122,2165,36957,2.943,0.163,3.454,0.191,2683,434,0.202,0.033,15503,2165,1.166,0.163,1.369,0.191,7.363,-0.526,25.072,25.072,26.374,12.598,27.237,13.194
"AS",2021-01-22,"AS",1018784,2.147,901209,2.246,44195,0,1200,45395,4.456,3.372,0,0,0,0,8775,0,0,8775,0.861,41465,27763,13702,4.07,91.343,3.557,1454,0.143,3.634,267,1187,10218,1.003,-6.574,2.575,34614,6851,27763,3.398,0.672,3.841,0.76,267,1187,0.026,0.117,3367,6851,0.33,0.672,0.374,0.76,0.777,-36.146,20.957,20.957,65.673,57.056,46.909,366.667
"IB",2021-01-22,"IB",1171543,2.469,986279,2.458,22590,0,600,23190,1.979,1.723,0,0,0,0,9750,0,0,9750,0.832,20499,15179,5320,1.75,88.396,1.758,2394,0.204,13.223,1248,1146,11133,0.95,5.496,2.805,17839,2660,15179,1.523,0.227,1.809,0.27,1248,1146,0.107,0.098,8473,2660,0.723,0.227,0.859,0.27,7.522,-6.262,75.694,75.694,-28.797,-30.215,-34.155,57.639
"CN",2021-01-22,"CN",2175952,4.586,1871033,4.662,46185,0,1300,47485,2.182,3.528,0,0,0,0,4875,0,0,4875,0.224,47068,41338,5730,2.163,99.122,4.037,1586,0.073,3.487,465,1121,16336,0.751,-19.618,4.116,44203,2865,41338,2.031,0.132,2.362,0.153,465,1121,0.021,0.052,13471,2865,0.619,0.132,0.72,0.153,1.063,-27.493,64.278,64.278,-11.971,-23.07,-12.192,-8.333
"CB",2021-01-22,"CB",582905,1.228,501384,1.249,20625,0,500,21125,3.624,1.569,0,0,0,0,2925,0,0,2925,0.502,20462,19980,482,3.51,96.862,1.755,482,0.083,2.412,482,0,5823,0.999,-19.136,1.467,20221,241,19980,3.469,0.041,4.033,0.048,482,0,0.083,0,5582,241,0.958,0.041,1.113,0.048,2.442,-19.799,0,0,42.915,27.769,49.978,-71.528
"CL",2021-01-22,"CL",2394918,5.047,2092873,5.215,93315,0,2500,95815,4.001,7.118,0,0,0,0,16575,0,0,16575,0.692,86370,74250,12120,3.606,90.142,7.408,4208,0.176,5.122,3444,764,26959,1.126,11.433,6.793,80310,6060,74250,3.353,0.253,3.837,0.29,3444,764,0.144,0.032,20899,6060,0.873,0.253,0.999,0.29,4.481,10.594,14.426,14.426,46.78,41.034,44.963,75.694
"CM",2021-01-22,"CM",2045221,4.31,1719964,4.286,61875,0,1700,63575,3.108,4.723,0,0,0,0,8775,0,0,8775,0.429,57031,53845,3186,2.789,89.707,4.892,3151,0.154,5.848,2760,391,23222,1.135,-0.193,5.851,55438,1593,53845,2.711,0.078,3.223,0.093,2760,391,0.135,0.019,21629,1593,1.058,0.078,1.258,0.093,5.239,-1.976,32.529,32.529,13.503,9.582,17.207,-45.833
"CT",2021-01-22,"CT",7780479,16.397,6531658,16.276,211220,0,5800,217020,2.789,16.122,0,0,0,0,31200,0,0,31200,0.401,173147,164945,8202,2.225,79.784,14.852,5093,0.065,3.031,3590,1503,50570,0.65,-19.045,12.742,169046,4101,164945,2.173,0.053,2.588,0.063,3590,1503,0.046,0.019,46469,4101,0.597,0.053,0.711,0.063,2.17,-22.382,57.852,57.852,-9.422,-1.677,-6.053,-63.194
"VC",2021-01-22,"VC",5057353,10.658,4269305,10.639,109000,0,2900,111900,2.213,8.313,0,0,0,0,17550,0,0,17550,0.347,103426,95148,8278,2.045,92.427,8.871,1989,0.039,1.961,806,1183,16499,0.326,-21.463,4.157,99287,4139,95148,1.963,0.082,2.326,0.097,806,1183,0.016,0.023,12360,4139,0.244,0.082,0.29,0.097,0.818,-31.531,40.02,40.02,-16.767,-22.002,-15.132,-43.056
"EX",2021-01-22,"EX",1063987,2.242,911213,2.271,39275,0,1000,40275,3.785,2.992,0,0,0,0,6825,0,0,6825,0.641,32979,31703,1276,3.1,81.885,2.829,940,0.088,2.934,940,0,10657,1.002,-24.829,2.685,32341,638,31703,3.04,0.06,3.549,0.07,940,0,0.088,0,10019,638,0.942,0.06,1.1,0.07,2.994,-25.999,0,0,26.182,33.452,31.431,-58.333
