"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
"AN",2021-03-04,"AN",8464411,17.838,7062213,17.598,739530,208600,73300,1021430,12.067,18.292,0,0,0,0,77220,64400,37000,178620,2.11,834477,358177,476300,9.859,81.697,19.732,37547,0.444,4.711,32831,4716,146384,1.729,2.359,18.461,596327,238150,358177,7.045,2.814,8.444,3.372,32831,4716,0.388,0.056,129791,16593,1.533,0.196,1.838,0.235,5.826,0.97,2.02,14.696,10.618,2.545,14.478,2.03,2021-06-22,2021-09-23,2021-12-25,2024-05-16,2026-09-22,2029-01-28,2023-11-03,2025-11-01,2027-11-01
"AR",2021-03-04,"AR",1329391,2.802,1132764,2.823,130185,32700,12600,175485,13.2,3.143,0,0,0,0,17550,10100,6300,33950,2.554,141997,46323,95674,10.681,80.917,3.358,7957,0.599,5.936,7245,712,21577,1.623,15.875,2.721,94160,47837,46323,7.083,3.598,8.312,4.223,7245,712,0.545,0.054,18474,3103,1.39,0.233,1.631,0.274,8.336,17.736,1.511,5.904,19.843,12.17,15.096,30.457,2021-06-22,2021-09-23,2021-12-25,2024-05-16,2026-09-22,2029-01-28,2023-11-03,2025-11-01,2027-11-01
"AS",2021-03-04,"AS",1018784,2.147,901209,2.246,128435,25200,12700,166335,16.327,2.979,0,0,0,0,16380,7800,6400,30580,3.002,124940,40340,84600,12.264,75.113,2.954,3233,0.317,2.656,2129,1104,15748,1.546,-10.993,1.986,82640,42300,40340,8.112,4.152,9.17,4.694,2129,1104,0.209,0.108,12164,3584,1.194,0.352,1.35,0.398,2.644,-18.472,2.68,29.246,37.587,38.752,31.817,50.544,2021-06-22,2021-09-23,2021-12-25,2024-05-16,2026-09-22,2029-01-28,2023-11-03,2025-11-01,2027-11-01
"IB",2021-03-04,"IB",1171543,2.469,986279,2.458,65880,28800,6500,101180,8.636,1.812,0,0,0,0,9360,8900,3300,21560,1.84,73188,26614,46574,6.247,72.334,1.731,11155,0.952,17.982,10294,861,17354,1.481,120.312,2.189,49901,23287,26614,4.259,1.988,5.06,2.361,10294,861,0.879,0.073,15042,2312,1.284,0.197,1.525,0.234,25.99,149.577,3.839,24.973,-29.891,-26.61,-30.793,-27.919,2021-06-22,2021-09-23,2021-12-25,2024-05-16,2026-09-22,2029-01-28,2023-11-03,2025-11-01,2027-11-01
"CN",2021-03-04,"CN",2175952,4.586,1871033,4.662,148560,53700,14300,216560,9.952,3.878,0,0,0,0,18720,16600,7300,42620,1.959,162363,54121,108242,7.462,74.974,3.839,5326,0.245,3.392,4787,539,28739,1.321,-1.723,3.624,108242,54121,54121,4.974,2.487,5.785,2.893,4787,539,0.22,0.025,25741,2998,1.183,0.138,1.376,0.16,4.627,0.051,1.006,-14.708,-16.289,-15.438,-19.175,-9.826,2021-06-22,2021-09-23,2021-12-25,2024-05-16,2026-09-22,2029-01-28,2023-11-03,2025-11-01,2027-11-01
"CB",2021-03-04,"CB",582905,1.228,501384,1.249,62745,14300,5900,82945,14.23,1.485,0,0,0,0,7020,4400,3000,14420,2.474,64535,23295,41240,11.071,77.805,1.526,1692,0.29,2.692,1656,36,10829,1.858,-6.202,1.366,43915,20620,23295,7.534,3.537,8.759,4.113,1656,36,0.284,0.006,10227,602,1.754,0.103,2.04,0.12,3.919,-6.38,0.175,-3.06,24.267,20.928,22.424,28.245,2021-06-22,2021-09-23,2021-12-25,2024-05-16,2026-09-22,2029-01-28,2023-11-03,2025-11-01,2027-11-01
"CL",2021-03-04,"CL",2394918,5.047,2092873,5.215,285195,59000,27300,371495,15.512,6.653,0,0,0,0,38610,18200,13800,70610,2.948,281825,91859,189966,11.768,75.862,6.664,9273,0.387,3.402,7314,1959,44924,1.876,4.307,5.666,186842,94983,91859,7.802,3.966,8.928,4.538,7314,1959,0.305,0.082,38012,6912,1.587,0.289,1.816,0.33,4.074,1.666,2.106,21.69,32.039,31.821,26.779,43.8,2021-06-22,2021-09-23,2021-12-25,2024-05-16,2026-09-22,2029-01-28,2023-11-03,2025-11-01,2027-11-01
"CM",2021-03-04,"CM",2045221,4.31,1719964,4.286,190575,50400,18600,259575,12.692,4.649,0,0,0,0,23400,15600,9400,48400,2.366,176604,34242,142362,8.635,68.036,4.176,7438,0.364,4.397,6389,1049,22352,1.093,18.849,2.819,105423,71181,34242,5.155,3.48,6.129,4.139,6389,1049,0.312,0.051,16937,5415,0.828,0.265,0.985,0.315,6.451,24.583,1.496,3.895,-3.109,7.865,-16.233,26.178,2021-06-22,2021-09-23,2021-12-25,2024-05-16,2026-09-22,2029-01-28,2023-11-03,2025-11-01,2027-11-01
"CT",2021-03-04,"CT",7780479,16.397,6531658,16.276,651140,191900,63400,906440,11.65,16.233,0,0,0,0,80730,59200,32000,171930,2.21,676590,296792,379798,8.696,74.643,15.998,0,0,0,0,0,104476,1.343,-28.232,13.176,486691,189899,296792,6.255,2.441,7.451,2.907,0,0,0,0,98957,5519,1.272,0.071,1.515,0.084,0,-28.823,0,-15.676,-2.433,-1,1.641,-11.494,2021-06-22,2021-09-23,2021-12-25,2024-05-16,2026-09-22,2029-01-28,2023-11-03,2025-11-01,2027-11-01
"VC",2021-03-04,"VC",5057353,10.658,4269305,10.639,340660,124700,31700,497060,9.828,8.902,0,0,0,0,52650,38500,16000,107150,2.119,370712,151894,218818,7.33,74.581,8.766,21320,0.422,6.102,17628,3692,69340,1.371,11.068,8.745,261303,109409,151894,5.167,2.163,6.121,2.563,17628,3692,0.349,0.073,60724,8616,1.201,0.17,1.422,0.202,7.234,6.679,3.492,56.427,-17.752,-16.476,-16.038,-21.574,2021-06-22,2021-09-23,2021-12-25,2024-05-16,2026-09-22,2029-01-28,2023-11-03,2025-11-01,2027-11-01
"EX",2021-03-04,"EX",1063987,2.242,911213,2.271,115325,26200,10900,152425,14.326,2.73,0,0,0,0,12870,8100,5500,26470,2.488,121286,37960,83326,11.399,79.571,2.868,4894,0.46,4.205,3748,1146,18524,1.741,5.532,2.336,79623,41663,37960,7.483,3.916,8.738,4.572,3748,1146,0.352,0.108,15372,3152,1.445,0.296,1.687,0.346,4.94,-0.195,2.828,46.536,27.921,21.766,21.596,41.987,2021-06-22,2021-09-23,2021-12-25,2024-05-16,2026-09-22,2029-01-28,2023-11-03,2025-11-01,2027-11-01
"GA",2021-03-04,"GA",2701819,5.694,2362643,5.887,222415,66700,19900,309015,11.437,5.534,0,0,0,0,43290,20600,10100,73990,2.739,244212,120046,124166,9.039,79.029,5.775,10867,0.402,4.657,7917,2950,54243,2.008,0.072,6.841,182129,62083,120046,6.741,2.298,7.709,2.628,7917,2950,0.293,0.109,50514,3729,1.87,0.138,2.138,0.158,4.544,-5.245,4.989,317.114,1.423,-2.81,9.539,-16.679,2021-06-22,2021-09-23,2021-12-25,2024-05-16,2026-09-22,2029-01-28,2023-11-03,2025-11-01,2027-11-01
"RI",2021-03-04,"RI",319914,0.674,270788,0.675,31655,7800,2700,42155,13.177,0.755,0,0,0,0,3510,2400,1300,7210,2.254,30675,11189,19486,9.589,72.767,0.725,826,0.258,2.767,378,448,4758,1.487,7.21,0.6,20932,9743,11189,6.543,3.046,7.73,3.598,378,448,0.118,0.14,4219,539,1.319,0.168,1.558,0.199,1.839,-2.698,4.82,428.431,7.567,12.018,6.321,10.442,2021-06-22,2021-09-23,2021-12-25,2024-05-16,2026-09-22,2029-01-28,2023-11-03,2025-11-01,2027-11-01
"MD",2021-03-04,"MD",6779888,14.288,5695623,14.193,529935,167200,51300,748435,11.039,13.403,0,0,0,0,65520,51600,25900,143020,2.109,572673,218943,353730,8.447,76.516,13.541,33301,0.491,6.174,32835,466,180307,2.659,17.326,22.739,395808,176865,218943,5.838,2.609,6.949,3.105,32835,466,0.484,0.007,174801,5506,2.578,0.081,3.069,0.097,9.046,18.213,0.264,-5.232,-5.228,-6.194,-5.135,-5.402,2021-06-22,2021-09-23,2021-12-25,2024-05-16,2026-09-22,2029-01-28,2023-11-03,2025-11-01,2027-11-01
"MC",2021-03-04,"MC",1511251,3.185,1237479,3.084,134105,37200,13400,184705,12.222,3.308,0,0,0,0,12870,11500,6800,31170,2.063,130138,27902,102236,8.611,70.457,3.077,3354,0.222,2.645,3247,107,16189,1.071,-0.191,2.042,79020,51118,27902,5.229,3.382,6.386,4.131,3247,107,0.215,0.007,14427,1762,0.955,0.117,1.166,0.142,4.285,5.023,0.21,-29.037,-3.391,3.862,-15.031,22.625,2021-06-22,2021-09-23,2021-12-25,2024-05-16,2026-09-22,2029-01-28,2023-11-03,2025-11-01,2027-11-01
"NC",2021-03-04,"NC",661197,1.393,552935,1.378,62745,16200,5900,84845,12.832,1.519,0,0,0,0,7020,5000,3000,15020,2.272,66248,20460,45788,10.019,78.081,1.566,2558,0.387,4.016,2050,508,10821,1.637,2.617,1.365,43354,22894,20460,6.557,3.463,7.841,4.14,2050,508,0.31,0.077,8769,2052,1.326,0.31,1.586,0.371,4.963,2.191,2.269,4.481,12.419,9.045,6.549,25.562,2021-06-22,2021-09-23,2021-12-25,2024-05-16,2026-09-22,2029-01-28,2023-11-03,2025-11-01,2027-11-01
