"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,1098720,381600,168000,1648320,17.109,1483868,90,514632,17.874,-4.088,6.08,7.287,7.48,3.33,4.738,4.965,17.531,0.197
"2","ARAGÓN","AR",1329391,1132764,1107658,2.802,2.823,2.827,209745,59900,35300,304945,3.165,258902,84.9,93627,3.119,12.961,7.043,8.265,8.453,19.694,18.798,18.618,19.475,11.312
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,203315,46000,32700,282015,2.927,234491,83.1,89604,2.824,36.338,8.795,9.943,10.117,49.475,42.906,41.978,23.017,31.553
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,112680,52700,18000,183380,1.903,160884,87.7,45509,1.938,-22.909,3.885,4.614,4.726,-33.982,-33.68,-33.682,13.733,-21.51
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,232800,98100,35800,366700,3.806,315167,85.9,108593,3.796,-17.005,4.991,5.804,5.945,-15.184,-16.58,-16.576,14.484,-17.215
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,97845,26200,15300,139345,1.446,114080,81.9,44056,1.374,17.779,7.558,8.787,8.98,28.449,26.294,26.019,19.571,11.859
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,463035,108100,78300,649435,6.741,554254,85.3,207364,6.676,33.56,8.659,9.908,10.105,47.152,42.409,41.798,23.143,32.274
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,300555,92200,49600,442355,4.591,356085,80.5,122854,4.289,6.529,6.007,7.143,7.323,2.088,2.664,2.767,17.411,-0.489
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,1027880,350800,168400,1547080,16.058,1353057,87.5,431509,16.298,-2.068,5.546,6.606,6.772,-5.744,-5.046,-4.965,17.39,-0.604
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,586360,228100,96800,911260,9.458,821536,90.2,257143,9.896,-11.255,5.085,6.023,6.172,-13.588,-13.43,-13.387,16.244,-7.154
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,178505,47900,28100,254505,2.642,231560,91,76693,2.789,17.825,7.208,8.417,8.615,22.502,20.972,20.891,21.763,24.39
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,427165,121900,73600,622665,6.463,498870,80.1,162397,6.009,13.504,6.011,6.874,7.004,2.152,-1.207,-1.712,18.464,5.533
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,50375,14400,7800,72575,0.753,65886,90.8,21980,0.794,11.764,6.871,8.117,8.31,16.767,16.667,16.615,20.595,17.711
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,838815,305800,136100,1280715,13.293,1092992,85.3,376909,13.165,-6.963,5.559,6.618,6.779,-5.52,-4.886,-4.866,16.121,-7.859
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,197285,68100,29400,294785,3.06,246425,83.6,87958,2.968,-3.934,5.82,7.108,7.313,-1.085,2.161,2.624,16.306,-6.802
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,95505,29800,15400,140705,1.46,121389,86.3,39638,1.462,4.842,5.995,7.169,7.354,1.884,3.035,3.194,18.359,4.932
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,314550,100200,52900,467650,4.854,370971,79.3,105534,4.468,3.717,4.753,5.56,5.685,-19.227,-20.087,-20.219,16.707,-4.513
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,7830,3900,1300,13030,0.135,11226,86.2,3601,0.135,-23.591,4.277,5.443,5.628,-27.318,-21.767,-21.021,13.332,-23.799
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,7830,3900,1200,12930,0.134,10413,80.5,2423,0.125,-27.062,2.783,3.661,3.795,-52.709,-47.376,-46.75,11.959,-31.651
"20","ESPAÑA","ES",47450795,40129822,39180773,100,84.571,82.571,6450795,2139600,1044000,9634395,100,8302056,86.171,2792024,100,0,5.884,6.957,7.126,0,0,0,17.496,0
