"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,475110,34500,36300,545910,18.729,468983,85.9,194477,17.869,4.996,2.298,2.754,2.827,-0.611,0.744,0.962,5.541,0.174
"2","ARAGÓN","AR",1329391,1132764,1107658,2.802,2.823,2.827,81045,5400,6300,92745,3.182,93512,100.8,37628,3.563,13.559,2.83,3.322,3.397,22.441,21.524,21.34,7.034,27.177
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,83975,4200,6300,94475,3.241,81941,86.7,34140,3.122,50.967,3.351,3.788,3.855,44.96,38.589,37.689,8.043,45.417
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,42480,4800,3200,50480,1.732,44573,88.3,19025,1.698,-29.855,1.624,1.929,1.976,-29.752,-29.431,-29.432,3.805,-31.213
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,93570,8900,7000,109470,3.756,106747,97.5,44120,4.067,-18.105,2.028,2.358,2.415,-12.289,-13.733,-13.728,4.906,-11.305
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,39345,2400,2900,44645,1.532,43214,96.8,19000,1.647,24.73,3.26,3.79,3.873,41.001,38.636,38.334,7.414,34.036
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,177555,9800,13500,200855,6.891,190381,94.8,80091,7.254,36.536,3.344,3.827,3.903,44.664,40.001,39.4,7.949,43.724
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,120375,8300,9200,137875,4.73,129772,94.1,52826,4.945,9.75,2.583,3.071,3.149,11.731,12.362,12.475,6.345,14.719
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,410120,31800,31400,473320,16.239,416165,87.9,166104,15.857,-0.965,2.135,2.543,2.607,-7.649,-6.965,-6.886,5.349,-3.294
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,207280,20600,15700,243580,8.357,224560,92.2,95559,8.556,-21.591,1.89,2.238,2.294,-18.263,-18.115,-18.074,4.44,-19.721
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,74375,4300,5400,84075,2.884,80044,95.2,32353,3.05,28.656,3.041,3.551,3.634,31.536,29.893,29.806,7.523,36.015
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,128815,11000,9800,149615,5.133,137656,92,57383,5.245,-9.852,2.124,2.429,2.475,-8.126,-11.146,-11.601,5.095,-7.884
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,19955,1300,1400,22655,0.777,21676,95.7,8523,0.826,15.319,2.664,3.147,3.222,15.246,15.148,15.096,6.776,22.501
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,333375,27700,25400,386475,13.259,346408,89.6,156682,13.199,-7.2,2.311,2.751,2.818,-0.031,0.64,0.661,5.109,-7.624
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,87305,6200,6600,100105,3.434,92527,92.4,38970,3.525,7.831,2.579,3.149,3.24,11.548,15.208,15.73,6.123,10.695
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,39345,2700,2900,44945,1.542,41235,91.7,16062,1.571,10.695,2.429,2.905,2.98,5.084,6.272,6.435,6.236,12.754
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,107460,9100,7900,124460,4.27,98289,79,41758,3.745,-8.761,1.881,2.2,2.25,-18.65,-19.517,-19.649,4.426,-19.971
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,4320,400,400,5120,0.176,3759,73.4,969,0.143,-0.758,1.151,1.465,1.514,-50.218,-46.416,-45.905,4.464,-19.287
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,3150,400,400,3950,0.136,3070,77.7,1252,0.117,-26.349,1.438,1.892,1.961,-37.802,-30.788,-29.965,3.526,-36.257
"20","FUERZAS ARMADAS","FFAA",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","ESPAÑA","ES",47450795,40129822,39180773,100,84.571,82.571,2528955,193800,192000,2914755,100,2624512,90.042,1096922,100,0,2.312,2.733,2.8,0,0,0,5.531,0
