"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
"AN",2021-04-17,"AN",8464411,17.838,7062213,17.598,1468440,589600,219200,2277240,26.904,16.618,0,0,0,0,184860,24800,51200,260860,3.082,2144167,985184,1158983,25.332,94.156,17.146,27538,0.325,1.301,21197,6341,337941,3.992,-0.573,16.179,1564675,579492,985183,18.485,6.846,22.156,8.206,21197,6341,0.25,0.075,295795,42146,3.495,0.498,4.188,0.597,1.373,-2.273,1.106,13.253,-3.879,-6.839,-4.123,-3.223,2021-05-06,2021-06-12,2021-07-18,2022-01-21,2022-09-22,2023-05-24,2021-11-26,2022-06-20,2023-01-13
"AR",2021-04-17,"AR",1329391,2.802,1132764,2.823,291645,92600,45800,430045,32.349,3.138,0,0,0,0,40950,3900,10500,55350,4.164,380985,162806,218179,28.659,88.592,3.047,5288,0.398,1.408,4067,1221,74556,5.608,3.085,3.569,271895,109090,162805,20.453,8.206,24.003,9.63,4067,1221,0.306,0.092,67297,7259,5.062,0.546,5.941,0.641,1.519,1.769,1.132,17.118,8.744,11.991,6.084,16.002,2021-05-06,2021-06-12,2021-07-18,2022-01-21,2022-09-22,2023-05-24,2021-11-26,2022-06-20,2023-01-13
"AS",2021-04-17,"AS",1018784,2.147,901209,2.246,280535,71000,42200,393735,38.648,2.873,0,0,0,0,38610,3000,9500,51110,5.017,352663,130848,221815,34.616,89.569,2.82,9493,0.932,2.766,8044,1449,63535,6.236,5.337,3.042,241756,110907,130849,23.73,10.886,26.826,12.306,8044,1449,0.79,0.142,48901,14633,4.8,1.436,5.426,1.624,3.442,4.81,1.324,7.131,31.346,33.815,23.081,53.887,2021-05-06,2021-06-12,2021-07-18,2022-01-21,2022-09-22,2023-05-24,2021-11-26,2022-06-20,2023-01-13
"IB",2021-04-17,"IB",1171543,2.469,986279,2.458,162990,81400,24300,268690,22.935,1.961,0,0,0,0,22230,3400,6300,31930,2.725,251769,127126,124643,21.49,93.702,2.013,4076,0.348,1.646,3374,702,45809,3.91,-4.425,2.193,189447,62322,127125,16.171,5.32,19.208,6.319,3374,702,0.288,0.06,39164,6645,3.343,0.567,3.971,0.674,1.813,-5.332,1.139,1.296,-18.469,-20.575,-16.126,-24.795,2021-05-06,2021-06-12,2021-07-18,2022-01-21,2022-09-22,2023-05-24,2021-11-26,2022-06-20,2023-01-13
"CN",2021-04-17,"CN",2175952,4.586,1871033,4.662,319380,151600,47800,518780,23.842,3.786,0,0,0,0,43290,6400,12000,61690,2.835,461603,223047,238556,21.214,88.979,3.691,9461,0.435,2.092,8804,657,87009,3.999,3.513,4.165,342325,119278,223047,15.732,5.482,18.296,6.375,8804,657,0.405,0.03,82493,4516,3.791,0.208,4.409,0.241,2.64,3.244,0.554,8.688,-19.516,-17.444,-18.402,-22.505,2021-05-06,2021-06-12,2021-07-18,2022-01-21,2022-09-22,2023-05-24,2021-11-26,2022-06-20,2023-01-13
"CB",2021-04-17,"CB",582905,1.228,501384,1.249,132945,40500,19900,193345,33.169,1.411,0,0,0,0,17550,1700,4600,23850,4.092,161612,65173,96439,27.725,83.587,1.292,2509,0.43,1.577,2204,305,25698,4.409,-0.054,1.23,113392,48219,65173,19.453,8.272,22.616,9.617,2203,305,0.378,0.052,22611,3086,3.879,0.529,4.51,0.615,1.981,-0.938,0.637,6.893,5.212,14.902,0.897,16.935,2021-05-06,2021-06-12,2021-07-18,2022-01-21,2022-09-22,2023-05-24,2021-11-26,2022-06-20,2023-01-13
"CL",2021-04-17,"CL",2394918,5.047,2092873,5.215,647895,166900,100800,915595,38.231,6.682,0,0,0,0,92430,7000,22500,121930,5.091,802084,304705,497379,33.491,87.602,6.414,14356,0.599,1.822,12982,1374,132289,5.524,1.295,6.333,553394,248690,304704,23.107,10.384,26.442,11.883,12982,1374,0.542,0.057,114536,17753,4.782,0.741,5.473,0.848,2.402,1.298,0.556,1.272,27.085,32.395,19.85,46.791,2021-05-06,2021-06-12,2021-07-18,2022-01-21,2022-09-22,2023-05-24,2021-11-26,2022-06-20,2023-01-13
"CM",2021-04-17,"CM",2045221,4.31,1719964,4.286,412875,142400,63800,619075,30.269,4.518,0,0,0,0,56160,6000,14200,76360,3.734,549518,219947,329571,26.868,88.764,4.394,6457,0.316,1.189,5522,935,79420,3.883,-0.194,3.802,384732,164786,219946,18.811,8.057,22.369,9.581,5522,935,0.27,0.046,65328,14092,3.194,0.689,3.798,0.819,1.456,-0.504,0.571,1.272,1.949,4.826,-2.433,13.896,2021-05-06,2021-06-12,2021-07-18,2022-01-21,2022-09-22,2023-05-24,2021-11-26,2022-06-20,2023-01-13
"CT",2021-04-17,"CT",7780479,16.397,6531658,16.276,1413980,541900,221100,2176980,27.98,15.887,0,0,0,0,193050,22800,52700,268550,3.452,2024964,1050938,974026,26.026,93.017,16.193,22520,0.289,1.125,17555,4965,337225,4.334,-0.163,16.144,1537951,487013,1050938,19.767,6.259,23.546,7.456,17555,4965,0.226,0.064,304278,32947,3.911,0.423,4.659,0.504,1.155,-1.167,1.03,10.165,-1.244,-3.11,2.526,-11.521,2021-05-06,2021-06-12,2021-07-18,2022-01-21,2022-09-22,2023-05-24,2021-11-26,2022-06-20,2023-01-13
"VC",2021-04-17,"VC",5057353,10.658,4269305,10.639,836740,352300,131600,1320640,26.113,9.638,0,0,0,0,125190,14800,34800,174790,3.456,1247842,636011,611831,24.674,94.488,9.979,11563,0.229,0.935,10179,1384,211999,4.192,5.769,10.149,941927,305915,636012,18.625,6.049,22.063,7.165,10179,1384,0.201,0.027,190191,21809,3.761,0.431,4.455,0.511,1.092,5.655,0.454,6.776,-6.371,-9.57,-3.397,-14.49,2021-05-06,2021-06-12,2021-07-18,2022-01-21,2022-09-22,2023-05-24,2021-11-26,2022-06-20,2023-01-13
"EX",2021-04-17,"EX",1063987,2.242,911213,2.271,244025,74000,36200,354225,33.292,2.585,0,0,0,0,32760,3100,8100,43960,4.132,344799,144678,200121,32.406,97.339,2.757,3569,0.335,1.046,3169,400,54967,5.166,-1.838,2.631,244738,100061,144677,23.002,9.404,26.858,10.981,3169,400,0.298,0.038,40939,14028,3.848,1.318,4.493,1.539,1.312,-3.14,0.401,2.17,22.971,15.299,19.305,32.938,2021-05-06,2021-06-12,2021-07-18,2022-01-21,2022-09-22,2023-05-24,2021-11-26,2022-06-20,2023-01-13
"GA",2021-04-17,"GA",2701819,5.694,2362643,5.887,637765,188300,98800,924865,34.231,6.749,0,0,0,0,105300,8000,25200,138500,5.126,833665,409686,423979,30.856,90.139,6.667,16087,0.595,1.968,13963,2124,150920,5.586,-5.559,7.225,621676,211990,409686,23.01,7.846,26.313,8.973,13964,2124,0.517,0.079,124579,26343,4.611,0.975,5.273,1.115,2.298,-7.979,1.012,7.861,17.088,18.528,19.346,10.913,2021-05-06,2021-06-12,2021-07-18,2022-01-21,2022-09-22,2023-05-24,2021-11-26,2022-06-20,2023-01-13
"RI",2021-04-17,"RI",319914,0.674,270788,0.675,69095,22200,10200,101495,31.726,0.741,0,0,0,0,9360,900,2400,12660,3.957,93775,41649,52126,29.313,92.394,0.75,1289,0.403,1.394,1220,69,13789,4.31,1.824,0.66,67712,26063,41649,21.166,8.147,25.006,9.625,1220,69,0.381,0.022,12491,1298,3.904,0.406,4.613,0.479,1.835,1.809,0.265,1.964,11.276,9.941,9.782,15.168,2021-05-06,2021-06-12,2021-07-18,2022-01-21,2022-09-22,2023-05-24,2021-11-26,2022-06-20,2023-01-13
"MD",2021-04-17,"MD",6779888,14.288,5695623,14.193,1154715,472500,179300,1806515,26.645,13.183,0,0,0,0,157950,20000,43200,221150,3.262,1634894,742988,891906,24.114,90.5,13.074,22134,0.326,1.372,18823,3311,276526,4.079,-2.972,13.238,1188941,445953,742988,17.536,6.578,20.875,7.83,18823,3311,0.278,0.049,258626,17901,3.815,0.264,4.541,0.314,1.609,-3.72,0.748,9.312,-8.497,-7.734,-9.046,-7.012,2021-05-06,2021-06-12,2021-07-18,2022-01-21,2022-09-22,2023-05-24,2021-11-26,2022-06-20,2023-01-13
"MC",2021-04-17,"MC",1511251,3.185,1237479,3.084,260465,105200,37700,403365,26.691,2.944,0,0,0,0,31590,4400,8300,44290,2.931,323678,119947,203731,21.418,80.244,2.588,5436,0.36,1.708,5330,106,42962,2.843,7.472,2.057,221812,101866,119946,14.677,6.741,17.925,8.232,5330,106,0.353,0.007,40058,2904,2.651,0.192,3.237,0.235,2.462,8.397,0.104,-3.841,-18.744,-7.567,-23.874,-4.707,2021-05-06,2021-06-12,2021-07-18,2022-01-21,2022-09-22,2023-05-24,2021-11-26,2022-06-20,2023-01-13
"NC",2021-04-17,"NC",661197,1.393,552935,1.378,130605,46000,20100,196705,29.75,1.435,0,0,0,0,17550,1900,4700,24150,3.652,181056,72061,108995,27.383,92.044,1.448,4024,0.609,2.273,3599,425,31101,4.704,0.442,1.489,126558,54498,72060,19.141,8.242,22.888,9.856,3599,425,0.544,0.064,23619,7482,3.572,1.132,4.272,1.353,2.927,1.561,0.786,-2.932,3.948,3.015,-0.721,16.511,2021-05-06,2021-06-12,2021-07-18,2022-01-21,2022-09-22,2023-05-24,2021-11-26,2022-06-20,2023-01-13
"PV",2021-04-17,"PV",2220504,4.68,1898123,4.73,454950,154700,70900,680550,30.648,4.966,0,0,0,0,70200,6500,18000,94700,4.265,612576,279197,333379,27.587,90.012,4.899,8083,0.364,1.337,6141,1942,115186,5.187,-8.811,5.514,445887,166689,279198,20.08,7.507,23.491,8.782,6141,1942,0.277,0.087,79366,35820,3.574,1.613,4.181,1.887,1.396,-12.217,1.179,-0.234,4.679,6.111,4.149,6.121,2021-05-06,2021-06-12,2021-07-18,2022-01-21,2022-09-22,2023-05-24,2021-11-26,2022-06-20,2023-01-13
"CE",2021-04-17,"CE",84202,0.177,66158,0.165,10170,6100,1600,17870,21.223,0.13,0,0,0,0,1170,300,300,1770,2.102,17787,10204,7583,21.124,99.536,0.142,37,0.044,0.208,37,0,2203,2.616,-3.08,0.105,13996,3791,10205,16.622,4.502,21.155,5.73,37,0,0.044,0,2053,150,2.438,0.178,3.103,0.227,0.265,-3.297,0,0,-19.774,-26.554,-13.786,-36.358,2021-05-06,2021-06-12,2021-07-18,2022-01-21,2022-09-22,2023-05-24,2021-11-26,2022-06-20,2023-01-13
"ML",2021-04-17,"ML",87076,0.184,66178,0.165,10170,6100,1500,17770,20.407,0.13,0,0,0,0,1170,300,300,1770,2.033,15752,7165,8587,18.09,88.644,0.126,231,0.265,1.488,231,0,2471,2.838,1.105,0.118,11459,4293,7166,13.16,4.93,17.315,6.487,231,0,0.265,0,1277,1193,1.467,1.37,1.93,1.803,2.057,17.696,0,-12.215,-31.522,-29.348,-31.743,-30.308,2021-05-06,2021-06-12,2021-07-18,2022-01-21,2022-09-22,2023-05-24,2021-11-26,2022-06-20,2023-01-13
"FFAA",2021-04-17,"FFAA",NA,NA,NA,NA,19500,66100,0,85600,NA,0.625,0,0,0,0,0,0,0,0,NA,69848,58801,11047,NA,81.598,0.559,131,NA,0.188,102,29,3215,NA,-19.745,0.154,64325,5524,58801,NA,NA,NA,NA,103,29,NA,NA,2998,218,NA,NA,NA,NA,0.16,-21.25,0.528,9.548,NA,NA,NA,NA,2021-05-06,2021-06-12,2021-07-18,2022-01-21,2022-09-22,2023-05-24,2021-11-26,2022-06-20,2023-01-13
