"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
"AN",2021-01-17,"AN",8464411,17.838,7062213,17.598,209520,0,6800,216320,2.556,18.942,0,0,0,0,69225,0,6800,76025,0.898,147509,146798,711,1.743,68.19,17.254,3896,0.046,2.713,3719,177,70103,0.828,-0.12,14.261,147153,355,146798,1.738,0.004,2.084,0.005,3717,177,0.044,0.002,69747,355,0.824,0.004,0.988,0.005,2.591,-0.376,99.438,99.438,-3.274,6.189,-3.337,33.333,2021-07-27,2021-12-09,2022-04-24,2212-09-06,2340-06-13,2468-03-20,2164-10-07,2260-08-05,2356-06-03
"AR",2021-01-17,"AR",1329391,2.802,1132764,2.823,35415,0,1200,36615,2.754,3.206,0,0,0,0,11700,0,1200,12900,0.97,24628,24628,0,1.853,67.262,2.881,504,0.038,2.089,504,0,13981,1.052,1.099,2.844,24628,0,24628,1.853,0,2.174,0,504,0,0.038,0,13981,0,1.052,0,1.234,0,2.089,1.099,NA,NA,2.819,14.418,3.059,-100,2021-07-27,2021-12-09,2022-04-24,2212-09-06,2340-06-13,2468-03-20,2164-10-07,2260-08-05,2356-06-03
"AS",2021-01-17,"AS",1018784,2.147,901209,2.246,35420,0,1200,36620,3.594,3.207,0,0,0,0,11700,0,1200,12900,1.266,32797,32528,269,3.219,89.56,3.836,775,0.076,2.42,707,68,14221,1.396,2.961,2.893,32662,135,32527,3.206,0.013,3.624,0.015,707,68,0.069,0.007,14086,135,1.383,0.013,1.563,0.015,2.212,2.481,101.493,101.493,78.668,49.371,78.309,333.333,2021-07-27,2021-12-09,2022-04-24,2212-09-06,2340-06-13,2468-03-20,2164-10-07,2260-08-05,2356-06-03
"IB",2021-01-17,"IB",1171543,2.469,986279,2.458,15440,0,600,16040,1.369,1.405,1300,0,0,1300,2600,0,600,3200,0.273,12289,12082,207,1.049,76.615,1.437,1462,0.125,13.503,1411,51,7769,0.663,20.674,1.58,12185,103,12082,1.04,0.009,1.235,0.01,1409,51,0.12,0.004,7665,103,0.654,0.009,0.777,0.01,13.075,20.009,98.077,98.077,-41.798,-43.094,-42.158,200,2021-07-27,2021-12-09,2022-04-24,2212-09-06,2340-06-13,2468-03-20,2164-10-07,2260-08-05,2356-06-03
"CN",2021-01-17,"CN",2175952,4.586,1871033,4.662,41310,0,1300,42610,1.958,3.731,0,0,0,0,13650,0,1300,14950,0.687,38319,37883,436,1.761,89.93,4.482,3793,0.174,10.986,3684,109,26057,1.197,10.369,5.301,38101,218,37883,1.751,0.01,2.036,0.012,3684,109,0.169,0.005,25839,218,1.187,0.01,1.381,0.012,10.704,9.953,100,100,-2.268,-18.644,-2.614,233.333,2021-07-27,2021-12-09,2022-04-24,2212-09-06,2340-06-13,2468-03-20,2164-10-07,2260-08-05,2356-06-03
"CB",2021-01-17,"CB",582905,1.228,501384,1.249,17700,0,500,18200,3.122,1.594,0,0,0,0,5850,0,500,6350,1.089,16696,16696,0,2.864,91.736,1.953,1029,0.177,6.568,1029,0,10269,1.762,-9.011,2.089,16696,0,16696,2.864,0,3.33,0,1029,0,0.177,0,10269,0,1.762,0,2.048,0,6.568,-9.011,NA,NA,59.039,29.805,59.288,-100,2021-07-27,2021-12-09,2022-04-24,2212-09-06,2340-06-13,2468-03-20,2164-10-07,2260-08-05,2356-06-03
"CL",2021-01-17,"CL",2394918,5.047,2092873,5.215,76740,0,2500,79240,3.309,6.939,0,0,0,0,25350,0,2500,27850,1.163,64523,64358,165,2.694,81.427,7.547,2556,0.107,4.125,2514,42,30945,1.292,-0.226,6.295,64440,83,64357,2.691,0.003,3.079,0.004,2514,42,0.105,0.002,30862,83,1.289,0.003,1.475,0.004,4.06,-0.362,102.439,102.439,49.534,37.488,49.666,0,2021-07-27,2021-12-09,2022-04-24,2212-09-06,2340-06-13,2468-03-20,2164-10-07,2260-08-05,2356-06-03
"CM",2021-01-17,"CM",2045221,4.31,1719964,4.286,53100,0,1700,54800,2.679,4.799,0,0,0,0,17550,0,1700,19250,0.941,36817,36817,0,1.8,67.184,4.306,1504,0.074,4.259,1504,0,19884,0.972,-3.742,4.045,36817,0,36817,1.8,0,2.141,0,1504,0,0.074,0,19884,0,0.972,0,1.156,0,4.259,-3.742,NA,NA,-0.093,11.346,0.111,-100,2021-07-27,2021-12-09,2022-04-24,2212-09-06,2340-06-13,2468-03-20,2164-10-07,2260-08-05,2356-06-03
"CT",2021-01-17,"CT",7780479,16.397,6531658,16.276,180020,0,5800,185820,2.388,16.271,0,0,0,0,59475,0,5800,65275,0.839,137574,137351,223,1.768,74.036,16.092,7498,0.096,5.764,7443,55,79029,1.016,-2.901,16.077,137463,111,137352,1.767,0.001,2.105,0.002,7443,55,0.096,0.001,78918,111,1.014,0.001,1.208,0.002,5.725,-2.97,98.214,98.214,-1.86,-0.768,-1.724,-66.667,2021-07-27,2021-12-09,2022-04-24,2212-09-06,2340-06-13,2468-03-20,2164-10-07,2260-08-05,2356-06-03
"VC",2021-01-17,"VC",5057353,10.658,4269305,10.639,91450,0,2900,94350,1.866,8.262,0,0,0,0,30225,0,2900,33125,0.655,91439,91236,203,1.808,96.915,10.695,2256,0.045,2.53,2206,50,55668,1.101,-12.078,11.325,91338,101,91237,1.806,0.002,2.139,0.002,2206,50,0.044,0.001,55567,101,1.099,0.002,1.302,0.002,2.475,-12.166,98.039,98.039,0.347,-22.481,0.445,-33.333,2021-07-27,2021-12-09,2022-04-24,2212-09-06,2340-06-13,2468-03-20,2164-10-07,2260-08-05,2356-06-03
