"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,324180,0,6800,330980,18.709,282995,85.5,67511,19.197,4.885,0.798,0.956,0.981,50.263,52.311,52.641,3.343,7.615
"2","ARAGÓN","AR",1329391,1132764,1107658,2.802,2.823,2.827,55305,0,1200,56505,3.194,53937,95.5,9752,3.659,13.993,0.734,0.861,0.88,38.202,37.168,36.959,4.057,30.594
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,58235,0,1200,59435,3.36,52919,89,16266,3.59,56.484,1.597,1.805,1.837,200.796,187.576,185.709,5.194,67.194
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,29610,0,600,30210,1.708,25041,82.9,4369,1.699,-30.835,0.373,0.443,0.454,-29.742,-29.42,-29.422,2.137,-31.201
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,64320,0,1300,65620,3.709,60180,91.7,8772,4.082,-19.116,0.403,0.469,0.48,-24.051,-25.301,-25.297,2.766,-10.979
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,27645,0,500,28145,1.591,21641,76.9,924,1.468,29.557,0.159,0.184,0.188,-70.136,-70.637,-70.701,3.713,19.501
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,121395,0,2500,123895,7.003,114743,92.6,25020,7.783,38.765,1.045,1.195,1.219,96.821,90.477,89.659,4.791,54.215
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,82935,0,1700,84635,4.784,77765,91.9,12486,5.275,11.002,0.61,0.726,0.744,15.016,15.665,15.781,3.802,22.387
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,280250,0,5800,286050,16.17,222572,77.8,35424,15.098,-1.387,0.455,0.542,0.556,-14.224,-13.588,-13.515,2.861,-7.922
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,142930,0,2900,145830,8.243,112272,77,11317,7.616,-22.655,0.224,0.265,0.272,-57.842,-57.765,-57.744,2.22,-28.544
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,50975,0,1000,51975,2.938,41961,80.7,4460,2.846,31.044,0.419,0.489,0.501,-21.028,-22.015,-22.067,3.944,26.94
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,87865,0,1800,89665,5.069,78772,87.9,20268,5.343,-10.985,0.75,0.858,0.874,41.328,36.682,35.983,2.916,-6.156
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,14105,0,200,14305,0.809,10820,75.6,1592,0.734,19.974,0.498,0.588,0.602,-6.247,-6.328,-6.369,3.382,8.864
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,228075,0,4700,232775,13.158,183458,78.8,10595,12.445,-7.908,0.156,0.186,0.191,-70.559,-70.361,-70.355,2.706,-12.903
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,59225,0,1200,60425,3.416,55082,91.2,9264,3.736,7.242,0.613,0.749,0.77,15.488,19.277,19.818,3.645,17.318
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,27645,0,500,28145,1.591,22430,79.7,3535,1.522,14.211,0.535,0.639,0.656,0.724,1.862,2.019,3.392,9.191
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,74700,0,1400,76100,4.302,53839,70.7,9052,3.652,-8.083,0.408,0.477,0.488,-23.199,-24.017,-24.142,2.425,-21.957
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,1980,0,200,2180,0.123,1828,83.9,628,0.124,-30.379,0.746,0.949,0.982,40.511,51.243,52.686,2.171,-30.121
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,1980,0,200,2180,0.123,1934,88.7,631,0.131,-33.027,0.725,0.953,0.988,36.523,51.919,53.725,2.221,-28.51
"20","FUERZAS ARMADAS","FFAA",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","ESPAÑA","ES",47450795,40129822,39180773,100,84.571,82.571,1733355,0,35700,1769055,100,1474189,83.332,251866,100,0,0.531,0.628,0.643,0,0,0,3.107,0
