"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega_janssen","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
"AN",2021-02-02,"AN",8464411,17.838,7062213,17.598,324180,0,6800,0,330980,3.91,18.709,0,0,0,0,79560,0,0,79560,0.94,313286,131758,181528,3.701,94.654,18.725,13494,0.159,4.501,1370,12124,62114,0.734,-15.472,16.267,222522,90764,131758,2.629,1.072,3.151,1.285,1370,12124,0.016,0.143,9328,52786,0.11,0.624,0.132,0.747,0.619,-54.182,15.417,-0.636,4.973,4.883,-0.567,21.542,2023-12-15,2026-01-18,2028-02-22,2021-12-27,2022-08-09,2023-03-23,2021-11-04,2022-05-14,2022-11-20
"AR",2021-02-02,"AR",1329391,2.802,1132764,2.823,55305,0,1200,0,56505,4.25,3.194,0,0,0,0,14040,0,0,14040,1.056,56482,34244,22238,4.249,99.959,3.376,1190,0.09,2.152,435,755,12951,0.974,1.553,3.392,45363,11119,34244,3.412,0.836,4.005,0.982,435,755,0.033,0.057,4777,8174,0.359,0.615,0.422,0.722,0.968,3.6,7.285,0.393,20.485,13.99,29.047,-5.215,2023-12-15,2026-01-18,2028-02-22,2021-12-27,2022-08-09,2023-03-23,2021-11-04,2022-05-14,2022-11-20
"AS",2021-02-02,"AS",1018784,2.147,901209,2.246,58235,0,1200,0,59435,5.834,3.36,0,0,0,0,14040,0,0,14040,1.378,58177,19171,39006,5.71,97.883,3.477,65,0.006,0.112,37,28,14090,1.383,-0.677,3.69,38674,19503,19171,3.796,1.914,4.291,2.164,37,28,0.004,0.003,5281,8809,0.518,0.865,0.586,0.977,0.096,41.165,0.144,-15.663,61.947,56.497,43.57,117.007,2023-12-15,2026-01-18,2028-02-22,2021-12-27,2022-08-09,2023-03-23,2021-11-04,2022-05-14,2022-11-20
"IB",2021-02-02,"IB",1171543,2.469,986279,2.458,29610,0,600,0,30210,2.579,1.708,0,0,0,0,7020,0,0,7020,0.599,25963,15911,10052,2.216,85.942,1.552,404,0.034,1.581,160,244,3591,0.307,3.308,0.94,20937,5026,15911,1.787,0.429,2.123,0.51,160,244,0.014,0.021,1444,2147,0.123,0.183,0.146,0.218,0.77,2.63,5.102,3.77,-37.141,-30.822,-32.413,-51.361,2023-12-15,2026-01-18,2028-02-22,2021-12-27,2022-08-09,2023-03-23,2021-11-04,2022-05-14,2022-11-20
"CN",2021-02-02,"CN",2175952,4.586,1871033,4.662,64320,0,1300,0,65620,3.016,3.709,0,0,0,0,18135,0,0,18135,0.833,67783,38489,29294,3.115,103.296,4.051,3308,0.152,5.131,162,3146,15015,0.69,4.525,3.932,53136,14647,38489,2.442,0.673,2.84,0.783,162,3146,0.007,0.145,5517,9498,0.254,0.436,0.295,0.508,0.306,-19.542,27.354,26.505,-11.666,-19.123,-7.64,-23.696,2023-12-15,2026-01-18,2028-02-22,2021-12-27,2022-08-09,2023-03-23,2021-11-04,2022-05-14,2022-11-20
"CB",2021-02-02,"CB",582905,1.228,501384,1.249,27645,0,500,0,28145,4.828,1.591,0,0,0,0,7020,0,0,7020,1.204,25067,16545,8522,4.3,89.064,1.498,1441,0.247,6.099,-83,1524,4324,0.742,36.706,1.132,20806,4261,16545,3.569,0.731,4.15,0.85,-83,1524,-0.014,0.261,363,3961,0.062,0.68,0.072,0.79,-0.397,-45.577,55.681,58.694,21.987,29.56,34.985,-17.12,2023-12-15,2026-01-18,2028-02-22,2021-12-27,2022-08-09,2023-03-23,2021-11-04,2022-05-14,2022-11-20
"CL",2021-02-02,"CL",2394918,5.047,2092873,5.215,121395,0,2500,0,123895,5.173,7.003,0,0,0,0,28080,0,0,28080,1.172,126362,56260,70102,5.276,101.991,7.553,2137,0.089,1.72,1532,605,26826,1.12,-11.078,7.025,91311,35051,56260,3.813,1.464,4.363,1.675,1532,605,0.064,0.025,5020,21806,0.21,0.911,0.24,1.042,1.706,-5.55,1.756,-12.26,49.653,38.756,44.213,65.986,2023-12-15,2026-01-18,2028-02-22,2021-12-27,2022-08-09,2023-03-23,2021-11-04,2022-05-14,2022-11-20
"CM",2021-02-02,"CM",2045221,4.31,1719964,4.286,82935,0,1700,0,84635,4.138,4.784,0,0,0,0,21060,0,0,21060,1.03,88888,46168,42720,4.346,105.025,5.313,4283,0.209,5.062,383,3900,24539,1.2,5.694,6.427,67528,21360,46168,3.302,1.044,3.926,1.242,383,3900,0.019,0.191,6802,17737,0.333,0.867,0.395,1.031,0.57,-12.402,22.337,14.788,23.271,10.998,24.887,18.367,2023-12-15,2026-01-18,2028-02-22,2021-12-27,2022-08-09,2023-03-23,2021-11-04,2022-05-14,2022-11-20
"CT",2021-02-02,"CT",7780479,16.397,6531658,16.276,280250,0,5800,0,286050,3.677,16.17,0,0,0,0,69030,0,0,69030,0.887,261562,122700,138862,3.362,91.439,15.634,5007,0.064,1.952,-3748,8755,78849,1.013,9.853,20.65,192131,69431,122700,2.469,0.892,2.942,1.063,-3748,8755,-0.048,0.113,19038,59811,0.245,0.769,0.291,0.916,-1.913,2.504,14.429,12.418,-4.653,-1.384,-6.619,1.134,2023-12-15,2026-01-18,2028-02-22,2021-12-27,2022-08-09,2023-03-23,2021-11-04,2022-05-14,2022-11-20
"VC",2021-02-02,"VC",5057353,10.658,4269305,10.639,142930,0,2900,0,145830,2.884,8.243,0,0,0,0,33930,0,0,33930,0.671,147945,57987,89958,2.925,101.45,8.843,11836,0.234,8.696,252,11584,42455,0.839,34.097,11.119,102966,44979,57987,2.036,0.889,2.412,1.054,252,11584,0.005,0.229,2869,39586,0.057,0.783,0.067,0.927,0.245,2.574,34.688,37.151,-17.029,-22.659,-22.995,0.794,2023-12-15,2026-01-18,2028-02-22,2021-12-27,2022-08-09,2023-03-23,2021-11-04,2022-05-14,2022-11-20
