"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_1dosis_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","personas_1dosis_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-01-08,"AN",8464411,17.838,7062213,17.598,140295,0,0,140295,1.657,18.859,0,0,0,0,140295,0,0,140295,1.657,69445,69445,0,0.82,49.499,24.982,15511,0.183,28.759,69445,0.82,28.759,24.982,69445,69445,0,0.82,0,0.82,0.983,0,0.983,15511,0,0.183,0,15511,69445,0,0.82,0,0.983,0,69445,28.759,28.759,NA,NA,40.049,5.724,39.932,NA
"AR",2021-01-08,"AR",1329391,2.802,1132764,2.823,23715,0,0,23715,1.784,3.188,0,0,0,0,23715,0,0,23715,1.784,9944,9944,0,0.748,41.931,3.577,3758,0.283,60.75,9944,0.748,60.75,3.577,9944,9944,0,0.748,0,0.748,0.878,0,0.878,3758,0,0.283,0,3758,9944,0,0.748,0,0.878,0,9944,60.75,60.75,NA,NA,27.659,13.776,27.645,NA
"AS",2021-01-08,"AS",1018784,2.147,901209,2.246,23720,0,0,23720,2.328,3.188,0,0,0,0,23720,0,0,23720,2.328,17843,17843,0,1.751,75.223,6.419,3437,0.337,23.858,17843,1.751,23.858,6.419,17843,17843,0,1.751,0,1.751,1.98,0,1.98,3437,0,0.337,0,3437,17843,0,1.751,0,1.98,0,17843,23.858,23.858,NA,NA,198.975,48.486,198.805,NA
"IB",2021-01-08,"IB",1171543,2.469,986279,2.458,12840,0,0,12840,1.096,1.726,0,0,0,0,12840,0,0,12840,1.096,4257,4257,0,0.363,33.154,1.531,1067,0.091,33.448,4257,0.363,33.448,1.531,4257,4257,0,0.363,0,0.363,0.432,0,0.432,1067,0,0.091,0,1067,4257,0,0.363,0,0.432,0,4257,33.448,33.448,NA,NA,-37.991,-30.093,-38.055,NA
"CN",2021-01-08,"CN",2175952,4.586,1871033,4.662,27660,0,0,27660,1.271,3.718,0,0,0,0,27660,0,0,27660,1.271,9572,9572,0,0.44,34.606,3.443,2242,0.103,30.587,9572,0.44,30.587,3.443,9572,9572,0,0.44,0,0.44,0.512,0,0.512,2242,0,0.103,0,2242,9572,0,0.44,0,0.512,0,9572,30.587,30.587,NA,NA,-24.924,-18.927,-24.915,NA
"CB",2021-01-08,"CB",582905,1.228,501384,1.249,11850,0,0,11850,2.033,1.593,0,0,0,0,11850,0,0,11850,2.033,2334,2334,0,0.4,19.696,0.84,770,0.132,49.233,2334,0.4,49.233,0.84,2334,2334,0,0.4,0,0.4,0.466,0,0.466,770,0,0.132,0,770,2334,0,0.4,0,0.466,0,2334,49.233,49.233,NA,NA,-31.596,29.723,-31.741,NA
"CL",2021-01-08,"CL",2394918,5.047,2092873,5.215,51390,0,0,51390,2.146,6.908,0,0,0,0,51390,0,0,51390,2.146,28325,28325,0,1.183,55.118,10.19,6222,0.26,28.15,28325,1.183,28.15,10.19,28325,28325,0,1.183,0,1.183,1.353,0,1.353,6222,0,0.26,0,6222,28325,0,1.183,0,1.353,0,28325,28.15,28.15,NA,NA,101.902,36.873,101.877,NA
"CM",2021-01-08,"CM",2045221,4.31,1719964,4.286,35550,0,0,35550,1.738,4.779,0,0,0,0,35550,0,0,35550,1.738,12380,12380,0,0.605,34.824,4.454,4714,0.23,61.492,12380,0.605,61.492,4.454,12380,12380,0,0.605,0,0.605,0.72,0,0.72,4714,0,0.23,0,4714,12380,0,0.605,0,0.72,0,12380,61.492,61.492,NA,NA,3.341,10.882,3.242,NA
"CT",2021-01-08,"CT",7780479,16.397,6531658,16.276,120545,0,0,120545,1.549,16.204,0,0,0,0,120545,0,0,120545,1.549,38826,38826,0,0.499,32.209,13.967,14311,0.184,58.377,38826,0.499,58.377,13.967,38826,38826,0,0.499,0,0.499,0.594,0,0.594,14311,0,0.184,0,14311,38826,0,0.499,0,0.594,0,38826,58.377,58.377,NA,NA,-14.82,-1.177,-14.846,NA
"VC",2021-01-08,"VC",5057353,10.658,4269305,10.639,61225,0,0,61225,1.211,8.23,0,0,0,0,61225,0,0,61225,1.211,15965,15965,0,0.316,26.076,5.743,4288,0.085,36.722,15965,0.316,36.722,5.743,15965,15965,0,0.316,0,0.316,0.374,0,0.374,4288,0,0.085,0,4288,15965,0,0.316,0,0.374,0,15965,36.722,36.722,NA,NA,-46.116,-22.781,-46.075,NA
