"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_primera","dosis_diarias_pauta_completa","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_primera","dosis_7D_pauta_completa","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-03-30,"AN",8464411,17.838,7062213,17.598,999270,361600,111200,1472070,17.391,17.301,0,0,0,0,99450,17800,0,117250,1.385,1400384,895971,1008826,16.544,95.13,18.101,25359,22778,5162,0.3,1.844,197831,115757,164148,2.337,4.119,14.903,895971,391558,504413,10.585,5.959,4.626,12.687,7.142,5.544,22778,2581,0.269,0.03,115757,82074,1.368,0.97,1.639,1.162,2.609,6.847,0.514,0.501,1.474,-3.01,-1.37,6.945
"AR",2021-03-30,"AR",1329391,2.802,1132764,2.823,187515,56800,21700,266015,20.01,3.126,0,0,0,0,22230,2800,0,25030,1.883,241002,155124,171756,18.129,90.597,3.115,4459,4180,558,0.335,1.885,33884,20091,27586,2.549,12.74,2.553,155124,69246,85878,11.669,6.46,5.209,13.694,7.581,6.113,4180,279,0.314,0.021,20091,13793,1.511,1.038,1.774,1.218,2.769,21.956,0.326,1.561,11.171,11.563,8.731,15.937
"AS",2021-03-30,"AS",1018784,2.147,901209,2.246,182255,43600,20700,246555,24.201,2.898,0,0,0,0,21060,2100,0,23160,2.273,216223,133444,165558,21.224,87.698,2.795,3759,2204,3110,0.369,1.769,28794,20212,17164,2.826,10.166,2.169,133444,50665,82779,13.098,8.125,4.973,14.807,9.185,5.622,2204,1555,0.216,0.153,20212,8582,1.984,0.842,2.243,0.952,1.679,9.711,1.914,11.252,30.182,34.979,22.046,45.818
"IB",2021-03-30,"IB",1171543,2.469,986279,2.458,99810,49900,11100,160810,13.726,1.89,0,0,0,0,12870,2400,0,15270,1.303,154339,110007,88664,13.174,95.976,1.995,4045,3318,1454,0.345,2.691,29548,21134,16828,2.522,14.718,2.226,110007,65675,44332,9.39,3.784,5.606,11.154,4.495,6.659,3318,727,0.283,0.062,21134,8414,1.804,0.718,2.143,0.853,3.11,17.313,1.667,8.68,-19.198,-23.451,-12.505,-32.089
"CN",2021-03-30,"CN",2175952,4.586,1871033,4.662,209400,93000,22900,325300,14.95,3.823,0,0,0,0,23400,4600,0,28000,1.287,292317,191673,201288,13.434,89.861,3.778,8873,6100,5546,0.408,3.13,50809,32033,37552,2.335,11.102,3.828,191673,91029,100644,8.809,4.625,4.183,10.244,5.379,4.865,6100,2773,0.28,0.127,32033,18776,1.472,0.863,1.712,1.004,3.287,17.6,2.833,1.53,-17.619,-16.638,-17.918,-16.996
"CB",2021-03-30,"CB",582905,1.228,501384,1.249,88485,24800,9700,122985,21.099,1.445,0,0,0,0,9360,1200,0,10560,1.812,109864,66629,86470,18.848,89.331,1.42,2797,2593,408,0.48,2.612,18849,12117,13464,3.234,10.811,1.42,66629,23394,43235,11.431,7.417,4.013,13.289,8.623,4.666,2593,204,0.445,0.035,12117,6732,2.079,1.155,2.417,1.343,4.049,19.627,0.474,-2.165,15.635,17.671,6.513,33.112
"CL",2021-03-30,"CL",2394918,5.047,2092873,5.215,413895,102400,47700,563995,23.55,6.629,0,0,0,0,49140,5100,0,54240,2.265,507762,319374,376776,21.202,90.03,6.563,68,38,60,0.003,0.013,76609,45479,62260,3.199,-7.008,5.771,319374,130986,188388,13.335,7.866,5.469,15.26,9.001,6.259,38,30,0.002,0.001,45479,31130,1.899,1.3,2.173,1.487,0.012,-2.821,0.016,-12.514,30.038,31.345,24.255,41.17
"CM",2021-03-30,"CM",2045221,4.31,1719964,4.286,270135,87400,31000,388535,18.997,4.566,0,0,0,0,30420,4300,0,34720,1.698,340556,223029,235054,16.651,87.651,4.402,8351,5656,5390,0.408,2.514,68909,46133,45552,3.369,7.23,5.191,223029,105502,117527,10.905,5.746,5.158,12.967,6.833,6.134,5656,2695,0.277,0.132,46133,22776,2.256,1.114,2.682,1.324,2.602,6.985,2.347,7.729,2.135,5.94,1.612,3.123
"CT",2021-03-30,"CT",7780479,16.397,6531658,16.276,923750,332500,105400,1361650,17.501,16.004,0,0,0,0,104130,16400,0,120530,1.549,1219567,805710,827714,15.675,89.565,15.764,27376,25069,4614,0.352,2.296,207677,140341,134672,2.669,11.569,15.645,805710,391853,413857,10.356,5.319,5.036,12.335,6.336,5.999,25069,2307,0.322,0.03,140341,67336,1.804,0.865,2.149,1.031,3.211,20.33,0.561,-3.13,-3.86,-2.397,-3.504,-4.541
"VC",2021-03-30,"VC",5057353,10.658,4269305,10.639,518500,216100,57800,792400,15.668,9.313,0,0,0,0,67860,10700,0,78560,1.553,742020,495997,492046,14.672,93.642,9.591,7127,6430,1394,0.141,0.97,172959,128484,88950,3.42,-0.955,13.03,495997,249974,246023,9.807,4.865,4.943,11.618,5.763,5.855,6430,697,0.127,0.014,128484,44475,2.541,0.879,3.009,1.042,1.313,0.664,0.284,-5.35,-10.011,-12.62,-8.619,-12.688
