"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega_janssen","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
"AN",2021-03-19,"AN",8464411,17.838,7062213,17.598,899820,343800,111200,0,1354820,16.006,17.631,0,0,0,0,79560,40500,37900,157960,1.866,1168842,348620,820222,13.809,86.273,19.239,5393,0.064,0.464,2041,3352,122508,1.447,-24.588,16.951,758731,410111,348620,8.964,4.845,10.744,5.807,2041,3352,0.024,0.04,35016,87492,0.414,1.034,0.496,1.239,0.27,-27.702,0.824,-23.265,7.854,-1.16,2.928,18.344,2021-09-29,2022-03-31,2022-09-30,2021-11-13,2022-05-16,2022-11-17,2021-10-01,2022-03-06,2022-08-10
"AR",2021-03-19,"AR",1329391,2.802,1132764,2.823,165285,54000,21700,0,240985,18.127,3.136,0,0,0,0,17550,6400,9100,33050,2.486,197826,61431,136395,14.881,82.091,3.256,2888,0.217,1.481,1614,1274,24315,1.829,-14.944,3.364,129628,68198,61430,9.751,5.13,11.444,6.02,1614,1274,0.121,0.096,11825,12490,0.89,0.94,1.044,1.103,1.261,-20.59,1.904,-8.805,16.203,11.92,11.965,25.305,2021-09-29,2022-03-31,2022-09-30,2021-11-13,2022-05-16,2022-11-17,2021-10-01,2022-03-06,2022-08-10
"AS",2021-03-19,"AS",1018784,2.147,901209,2.246,161195,41500,20700,0,223395,21.928,2.907,0,0,0,0,16380,4900,8000,29280,2.874,179432,40522,138910,17.612,80.321,2.953,2298,0.226,1.297,946,1352,28695,2.817,-8.326,3.97,109978,69455,40523,10.795,6.817,12.203,7.707,947,1352,0.093,0.133,10472,18224,1.028,1.789,1.162,2.022,0.869,-8.205,1.985,-8.39,37.541,35.398,23.952,66.512,2021-09-29,2022-03-31,2022-09-30,2021-11-13,2022-05-16,2022-11-17,2021-10-01,2022-03-06,2022-08-10
"IB",2021-03-19,"IB",1171543,2.469,986279,2.458,86940,47500,11100,0,145540,12.423,1.894,0,0,0,0,10530,5600,4600,20730,1.769,118910,51711,67199,10.15,81.703,1.957,1875,0.16,1.602,1120,755,17323,1.479,-19.801,2.397,85311,33600,51711,7.282,2.868,8.65,3.407,1121,755,0.096,0.064,12483,4841,1.066,0.413,1.266,0.491,1.332,-18.144,2.299,-23.764,-20.737,-23.289,-16.385,-29.946,2021-09-29,2022-03-31,2022-09-30,2021-11-13,2022-05-16,2022-11-17,2021-10-01,2022-03-06,2022-08-10
"CN",2021-03-19,"CN",2175952,4.586,1871033,4.662,186000,88400,22900,0,297300,13.663,3.869,0,0,0,0,18720,10400,8600,37720,1.733,230714,81434,149280,10.603,77.603,3.797,2332,0.107,1.021,753,1579,29760,1.368,-12.517,4.118,156074,74640,81434,7.173,3.43,8.342,3.989,753,1579,0.035,0.073,15635,14125,0.719,0.649,0.836,0.755,0.485,-19.569,2.161,-3.114,-17.205,-15.635,-17.637,-16.219,2021-09-29,2022-03-31,2022-09-30,2021-11-13,2022-05-16,2022-11-17,2021-10-01,2022-03-06,2022-08-10
"CB",2021-03-19,"CB",582905,1.228,501384,1.249,79125,23600,9700,0,112425,19.287,1.463,0,0,0,0,8190,2800,3800,14790,2.537,86344,21202,65142,14.813,76.801,1.421,1238,0.212,1.455,45,1193,11597,1.99,-7.733,1.605,53773,32571,21202,9.225,5.588,10.725,6.496,45,1193,0.008,0.205,2597,9000,0.446,1.544,0.518,1.795,0.084,-31.927,3.802,2.81,15.717,19.137,5.925,36.492,2021-09-29,2022-03-31,2022-09-30,2021-11-13,2022-05-16,2022-11-17,2021-10-01,2022-03-06,2022-08-10
"CL",2021-03-19,"CL",2394918,5.047,2092873,5.215,364755,97300,47700,0,509755,21.285,6.634,0,0,0,0,39780,11500,20400,71680,2.993,398308,127280,271028,16.631,78.137,6.556,9001,0.376,2.312,3247,5754,44908,1.875,-8.936,6.214,262794,135514,127280,10.973,5.658,12.557,6.475,3247,5754,0.136,0.24,24351,20557,1.017,0.858,1.164,0.982,1.251,-17.714,4.434,4.234,29.899,31.444,25.996,38.202,2021-09-29,2022-03-31,2022-09-30,2021-11-13,2022-05-16,2022-11-17,2021-10-01,2022-03-06,2022-08-10
"CM",2021-03-19,"CM",2045221,4.31,1719964,4.286,239715,83100,31000,0,353815,17.3,4.604,0,0,0,0,24570,9800,12400,46770,2.287,257851,81117,176734,12.607,72.877,4.244,3364,0.164,1.322,1590,1774,26604,1.301,-12.934,3.681,169484,88367,81117,8.287,4.321,9.854,5.138,1590,1774,0.078,0.087,16459,10145,0.805,0.496,0.957,0.59,0.947,-17.618,2.049,-4.084,-1.531,6.821,-4.846,5.545,2021-09-29,2022-03-31,2022-09-30,2021-11-13,2022-05-16,2022-11-17,2021-10-01,2022-03-06,2022-08-10
"CT",2021-03-19,"CT",7780479,16.397,6531658,16.276,819620,316100,105400,0,1241120,15.952,16.151,0,0,0,0,84240,37200,42000,163440,2.101,937922,375616,562306,12.055,75.571,15.438,22709,0.292,2.481,2414,20295,80886,1.04,2.023,11.192,656769,281153,375616,8.441,3.614,10.055,4.304,2414,20295,0.031,0.261,26911,53975,0.346,0.694,0.412,0.826,0.369,-27.34,7.78,27.767,-5.849,-1.5,-3.077,-11.724,2021-09-29,2022-03-31,2022-09-30,2021-11-13,2022-05-16,2022-11-17,2021-10-01,2022-03-06,2022-08-10
"VC",2021-03-19,"VC",5057353,10.658,4269305,10.639,450640,205400,57800,0,713840,14.115,9.29,0,0,0,0,54990,24100,26100,105190,2.08,537876,173512,364364,10.636,75.35,8.853,7463,0.148,1.407,2078,5385,72287,1.429,-11.863,10.002,355694,182182,173512,7.033,3.602,8.331,4.267,2078,5385,0.041,0.106,33210,39077,0.657,0.773,0.778,0.915,0.588,-6.732,3.046,-15.8,-16.936,-12.835,-19.244,-12.018,2021-09-29,2022-03-31,2022-09-30,2021-11-13,2022-05-16,2022-11-17,2021-10-01,2022-03-06,2022-08-10
