"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_1dosis_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","personas_1dosis_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-04-02,"AN",8464411,17.838,7062213,17.598,1098720,381600,168000,1648320,19.474,NA,0,0,0,0,99450,20000,56800,176250,2.082,1493718,457176,1036542,17.647,NA,17.687,9850,0.116,0.664,163482,1.931,-13.92,11.864,975446,457175,518271,NA,NA,5.401,NA,NA,6.474,6210,3639,0.073,0.043,2571,134516,28965,1.589,0.342,1.905,0.41,105551,0.641,-8.842,0.707,-31.615,-0.847,NA,NA,NA
"AR",2021-04-02,"AR",1329391,2.802,1132764,2.823,209745,59900,35300,304945,22.939,NA,0,0,0,0,22230,3100,13600,38930,2.928,262260,71841,190419,19.728,NA,3.105,3358,0.253,1.297,32377,2.435,-15.181,2.35,167051,71841,95210,NA,NA,5.404,NA,NA,6.342,1776,1583,0.134,0.119,193,21631,10747,1.627,0.808,1.91,0.949,10884,1.075,-11.075,1.691,-22.388,10.814,NA,NA,NA
"AS",2021-04-02,"AS",1018784,2.147,901209,2.246,203315,46000,32700,282015,27.682,NA,0,0,0,0,21060,2400,12000,35460,3.481,238272,57013,181259,23.388,NA,2.821,3781,0.371,1.612,35968,3.53,-2.17,2.61,147642,57012,90630,NA,NA,5.596,NA,NA,6.326,2755,1026,0.27,0.101,1729,24522,11446,2.407,1.123,2.721,1.27,13076,1.901,-1.617,1.145,-3.336,31.393,NA,NA,NA
"IB",2021-04-02,"IB",1171543,2.469,986279,2.458,112680,52700,18000,183380,15.653,NA,0,0,0,0,12870,2800,6900,22570,1.927,166950,72207,94743,14.25,NA,1.977,6066,0.518,3.77,31093,2.654,8.274,2.256,119578,72206,47372,NA,NA,6.163,NA,NA,7.321,4203,1863,0.359,0.159,2340,22969,8124,1.961,0.693,2.329,0.824,14845,3.643,9.439,4.094,5.111,-19.927,NA,NA,NA
"CN",2021-04-02,"CN",2175952,4.586,1871033,4.662,232800,98100,35800,366700,16.852,NA,0,0,0,0,23400,5100,12900,41400,1.903,316770,99256,217514,14.558,NA,3.751,1603,0.074,0.509,56303,2.588,-7.419,4.086,208012,99255,108757,NA,NA,4.561,NA,NA,5.305,1438,164,0.066,0.008,1274,42016,14286,1.931,0.657,2.246,0.764,27730,0.696,-2.567,0.151,-19.252,-18.208,NA,NA,NA
"CB",2021-04-02,"CB",582905,1.228,501384,1.249,97845,26200,15300,139345,23.905,NA,0,0,0,0,9360,1400,5600,16360,2.807,117208,28338,88870,20.108,NA,1.388,3128,0.537,2.742,16139,2.769,-3.814,1.171,72772,28337,44435,NA,NA,4.861,NA,NA,5.652,2748,379,0.471,0.065,2369,13897,2241,2.384,0.384,2.772,0.447,11656,3.924,6.458,0.86,-39.839,13.029,NA,NA,NA
"CL",2021-04-02,"CL",2394918,5.047,2092873,5.215,463035,108100,78300,649435,27.117,NA,0,0,0,0,49140,5700,30600,85440,3.568,558448,142772,415676,23.318,NA,6.612,4194,0.175,0.757,81697,3.411,-16.589,5.929,350610,142772,207838,NA,NA,5.961,NA,NA,6.822,3720,474,0.155,0.02,3246,53983,27714,2.254,1.157,2.579,1.324,26269,1.072,-11.375,0.229,-25.164,31.009,NA,NA,NA
"CM",2021-04-02,"CM",2045221,4.31,1719964,4.286,300555,92200,49600,442355,21.629,NA,0,0,0,0,30420,4800,18600,53820,2.632,369186,115425,253761,18.051,NA,4.371,13101,0.641,3.679,64354,3.147,0.086,4.67,242306,115426,126880,NA,NA,5.644,NA,NA,6.711,9075,4026,0.444,0.197,5049,48461,15893,2.369,0.777,2.818,0.924,32568,3.891,4.885,3.277,-12.169,1.415,NA,NA,NA
"CT",2021-04-02,"CT",7780479,16.397,6531658,16.276,1027880,350800,168400,1547080,19.884,NA,0,0,0,0,104130,18300,63000,185430,2.383,1353057,490039,863018,17.39,NA,16.021,0,0,0,257210,3.306,-11.483,18.665,921548,490039,431509,NA,NA,6.298,NA,NA,7.503,0,0,0,0,0,223262,33948,2.87,0.436,3.418,0.52,189314,0,-6.38,0,-34.842,-2.293,NA,NA,NA
"VC",2021-04-02,"VC",5057353,10.658,4269305,10.639,586360,228100,96800,911260,18.019,NA,0,0,0,0,67860,12000,39000,118860,2.35,843056,323648,519408,16.67,NA,9.982,21520,0.426,2.619,206936,4.092,-1.08,15.017,583352,323648,259704,NA,NA,6.4,NA,NA,7.581,18959,2561,0.375,0.051,16398,185431,21505,3.667,0.425,4.343,0.504,163926,3.359,3.183,0.996,-27.067,-6.343,NA,NA,NA
