"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega_janssen","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
"AN",2021-05-06,"AN",8464411,17.838,7062213,17.598,2185650,951000,282000,48650,3467300,40.963,16.439,0,0,0,0,278460,281300,33500,615760,7.275,3142850,1162194,1980656,37.13,90.643,16.998,91144,1.077,2.987,49309,41835,402261,4.752,-1.137,15.296,2178787,990328,1188459,25.741,11.7,30.851,14.023,51828,41835,0.612,0.494,221785,190168,2.62,2.247,3.14,2.693,2.437,-1.27,4.411,-7.684,-4.709,-7.843,-5.8,-2.549,2021-05-12,2021-06-27,2021-08-12,2021-06-21,2021-08-12,2021-10-03,2021-06-09,2021-07-23,2021-09-05
"AR",2021-05-06,"AR",1329391,2.802,1132764,2.823,444915,149400,58700,7600,660615,49.693,3.132,0,0,0,0,51480,44200,6900,106080,7.98,582785,220071,362714,43.838,88.219,3.152,25025,1.882,4.487,8171,16854,81092,6.1,3.522,3.084,409210,181357,227853,30.782,13.642,36.125,16.01,8170,16854,0.615,1.268,44846,39950,3.373,3.005,3.959,3.527,2.037,-9.534,10.245,23.059,12.491,11.777,12.647,13.627,2021-05-12,2021-06-27,2021-08-12,2021-06-21,2021-08-12,2021-10-03,2021-06-09,2021-07-23,2021-09-05
"AS",2021-05-06,"AS",1018784,2.147,901209,2.246,419765,114600,53800,5850,594015,58.306,2.816,0,0,0,0,46800,34000,6200,89700,8.805,533789,167991,365798,52.395,89.861,2.887,13154,1.291,2.527,8840,4314,72708,7.137,0.525,2.765,356508,182899,173609,34.993,17.953,39.559,20.295,8860,4314,0.87,0.423,37226,38815,3.654,3.81,4.131,4.307,2.549,11.119,2.416,-7.923,34.467,31.16,28.058,49.534,2021-05-12,2021-06-27,2021-08-12,2021-06-21,2021-08-12,2021-10-03,2021-06-09,2021-07-23,2021-09-05
"IB",2021-05-06,"IB",1171543,2.469,986279,2.458,240210,131500,32000,6700,410410,35.032,1.946,0,0,0,0,32760,39000,4100,78960,6.74,361244,148352,212892,30.835,88.02,1.954,14635,1.249,4.222,10323,4312,50477,4.309,15.163,1.919,259161,106446,152715,22.121,9.086,26.277,10.793,10785,4312,0.921,0.368,25987,25150,2.218,2.147,2.635,2.55,4.342,36.702,4.222,0.524,-20.859,-21.183,-19.048,-24.321,2021-05-12,2021-06-27,2021-08-12,2021-06-21,2021-08-12,2021-10-03,2021-06-09,2021-07-23,2021-09-05
"CN",2021-05-06,"CN",2175952,4.586,1871033,4.662,486690,244500,62500,12500,806190,37.05,3.822,0,0,0,0,66690,77100,14700,164290,7.55,670357,261979,408378,30.808,83.151,3.626,17480,0.803,2.677,6774,10706,74574,3.427,5.918,2.836,475909,204189,271720,21.871,9.384,25.436,10.913,7341,10706,0.337,0.492,32787,45458,1.507,2.089,1.752,2.43,1.567,4.892,5.533,7.076,-20.933,-16.659,-19.963,-21.839,2021-05-12,2021-06-27,2021-08-12,2021-06-21,2021-08-12,2021-10-03,2021-06-09,2021-07-23,2021-09-05
"CB",2021-05-06,"CB",582905,1.228,501384,1.249,198465,65400,25500,3300,292665,50.208,1.388,0,0,0,0,22230,19400,3000,46130,7.914,251268,90224,161044,43.106,85.855,1.359,7759,1.331,3.186,4352,3407,34163,5.861,2.641,1.299,171848,80522,91326,29.481,13.814,34.275,16.06,4620,3407,0.793,0.584,17661,17272,3.03,2.963,3.522,3.445,2.763,-6.984,4.418,14.963,10.668,13.029,7.886,15.059,2021-05-12,2021-06-27,2021-08-12,2021-06-21,2021-08-12,2021-10-03,2021-06-09,2021-07-23,2021-09-05
"CL",2021-05-06,"CL",2394918,5.047,2092873,5.215,982515,269100,128400,13800,1393815,58.199,6.608,0,0,0,0,105300,79600,14700,206000,8.602,1192445,419405,773040,49.791,85.553,6.449,32114,1.341,2.768,13798,18316,161470,6.742,-0.092,6.14,816851,386520,430331,34.108,16.139,39.03,18.468,14745,18316,0.616,0.765,89463,79435,3.736,3.317,4.275,3.796,1.838,-4.457,4.974,5.35,27.779,30.929,24.819,34.424,2021-05-12,2021-06-27,2021-08-12,2021-06-21,2021-08-12,2021-10-03,2021-06-09,2021-07-23,2021-09-05
"CM",2021-05-06,"CM",2045221,4.31,1719964,4.286,619965,228800,81200,11700,941665,46.042,4.464,0,0,0,0,67860,67000,9300,149560,7.313,801477,309085,492392,39.188,85.113,4.335,25709,1.257,3.314,12632,13077,104196,5.095,2.55,3.962,561280,246196,315084,27.443,12.038,32.633,14.314,13117,13077,0.641,0.639,65835,41241,3.219,2.016,3.828,2.398,2.393,-3.13,5.61,12.156,0.58,3.573,0.428,0.267,2021-05-12,2021-06-27,2021-08-12,2021-06-21,2021-08-12,2021-10-03,2021-06-09,2021-07-23,2021-09-05
"CT",2021-05-06,"CT",7780479,16.397,6531658,16.276,2160440,874100,285700,44700,3364940,43.248,15.953,0,0,0,0,272610,258600,34400,586310,7.536,2930201,1072077,1858124,37.661,87.08,15.848,89362,1.149,3.146,36116,53246,423451,5.442,2.554,16.102,2026562,929062,1097500,26.047,11.941,31.027,14.224,37344,53246,0.48,0.684,232633,204820,2.99,2.632,3.562,3.136,1.877,7.289,6.08,-2.79,-3.348,-2.708,-4.681,-0.541,2021-05-12,2021-06-27,2021-08-12,2021-06-21,2021-08-12,2021-10-03,2021-06-09,2021-07-23,2021-09-05
"VC",2021-05-06,"VC",5057353,10.658,4269305,10.639,1323460,568100,174300,29000,2094860,41.422,9.932,0,0,0,0,187200,168100,22700,391400,7.739,1882334,734570,1147764,37.22,89.855,10.181,75512,1.493,4.179,43095,32417,269099,5.321,12.779,10.233,1332435,573882,758553,26.346,11.347,31.21,13.442,45486,32417,0.899,0.641,149672,135074,2.959,2.671,3.506,3.164,3.534,23.469,5.987,2.159,-4.476,-6.812,-3.586,-5.489,2021-05-12,2021-06-27,2021-08-12,2021-06-21,2021-08-12,2021-10-03,2021-06-09,2021-07-23,2021-09-05
"EX",2021-05-06,"EX",1063987,2.242,911213,2.271,362195,119400,46000,6100,533695,50.16,2.53,0,0,0,0,39780,35400,5200,83180,7.818,482847,162047,320800,45.381,90.472,2.611,15599,1.466,3.338,8279,7320,55340,5.201,0.401,2.104,326353,160400,165953,30.673,15.075,35.815,17.603,8423,7320,0.792,0.688,28497,29800,2.678,2.801,3.127,3.27,2.649,0.618,4.782,-0.792,16.459,12.846,12.248,25.562,2021-05-12,2021-06-27,2021-08-12,2021-06-21,2021-08-12,2021-10-03,2021-06-09,2021-07-23,2021-09-05
"GA",2021-05-06,"GA",2701819,5.694,2362643,5.887,1010995,303700,129800,15550,1460045,54.039,6.922,0,0,0,0,124020,89800,16500,237520,8.791,1289078,415936,873142,47.711,88.29,6.972,45058,1.668,3.622,1326,43732,225864,8.36,9.426,8.589,860812,436571,424241,31.86,16.158,36.434,18.478,1451,43732,0.054,1.619,73060,156554,2.704,5.794,3.092,6.626,0.169,-19.513,11.132,30.329,22.445,21.567,16.592,34.583,2021-05-12,2021-06-27,2021-08-12,2021-06-21,2021-08-12,2021-10-03,2021-06-09,2021-07-23,2021-09-05
"RI",2021-05-06,"RI",319914,0.674,270788,0.675,104195,35700,13200,1900,154995,48.449,0.735,0,0,0,0,11700,10600,1600,24800,7.752,141144,61040,80104,44.119,91.064,0.763,4322,1.351,3.159,2943,1379,21275,6.65,5.772,0.809,102182,40052,62130,31.94,12.52,37.735,14.791,3171,1379,0.991,0.431,12403,9849,3.877,3.079,4.58,3.637,3.203,11.829,3.566,0.173,13.205,9.05,16.885,4.281,2021-05-12,2021-06-27,2021-08-12,2021-06-21,2021-08-12,2021-10-03,2021-06-09,2021-07-23,2021-09-05
"MD",2021-05-06,"MD",6779888,14.288,5695623,14.193,1765455,762000,232200,38900,2798555,41.277,13.268,0,0,0,0,225810,225300,28200,497310,7.335,2411194,1087570,1323624,35.564,86.159,13.041,74600,1.1,3.193,40654,33946,363517,5.362,7.924,13.823,1771335,661812,1109523,26.126,9.761,31.1,11.62,40765,33946,0.601,0.501,232431,152764,3.428,2.253,4.081,2.682,2.356,5.727,5.407,10.15,-8.728,-7.139,-4.391,-18.699,2021-05-12,2021-06-27,2021-08-12,2021-06-21,2021-08-12,2021-10-03,2021-06-09,2021-07-23,2021-09-05
"MC",2021-05-06,"MC",1511251,3.185,1237479,3.084,379805,169800,47900,8650,606155,40.109,2.874,0,0,0,0,44460,50300,5400,104160,6.892,470231,209073,261158,31.115,77.576,2.543,8378,0.554,1.814,5424,2954,40953,2.71,-2.272,1.557,340133,130579,209554,22.507,8.64,27.486,10.552,5606,2954,0.371,0.195,28651,12706,1.896,0.841,2.315,1.027,1.676,-6.155,2.315,8.84,-20.157,-9.765,-17.635,-28.036,2021-05-12,2021-06-27,2021-08-12,2021-06-21,2021-08-12,2021-10-03,2021-06-09,2021-07-23,2021-09-05
