"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_primera","dosis_diarias_pauta_completa","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_primera","dosis_7D_pauta_completa","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-04-09,"AN",8464411,17.838,7062213,17.598,1283580,564800,168000,2016380,23.822,16.812,0,0,0,0,184860,183200,0,368060,4.348,1776739,1240802,1071874,20.991,88.115,17.365,77275,72851,8848,0.913,4.547,283021,265356,35332,3.344,31.274,15.843,1240802,704865,535937,14.659,6.332,8.327,17.57,7.589,9.981,72851,4424,0.861,0.052,265356,17666,3.135,0.209,3.757,0.25,6.238,33.536,0.832,4.65,-2.652,-5.752,-2.85,-2.193
"AR",2021-04-09,"AR",1329391,2.802,1132764,2.823,250695,88700,35300,374695,28.185,3.124,0,0,0,0,40950,28800,0,69750,5.247,303372,201701,203342,22.82,80.965,2.965,12534,10909,3250,0.943,4.31,41112,34650,12923,3.093,28.732,2.301,201701,100030,101671,15.172,7.648,7.524,17.806,8.975,8.831,10909,1625,0.821,0.122,34650,6461,2.606,0.486,3.059,0.57,5.718,35.792,1.624,0.654,5.817,11.492,0.55,18.134
"AS",2021-04-09,"AS",1018784,2.147,901209,2.246,241925,68000,32700,342625,33.631,2.857,0,0,0,0,38610,22000,0,60610,5.949,282854,187055,191598,27.764,82.555,2.764,9878,9160,1436,0.97,3.619,44582,39413,10339,4.376,15.843,2.496,187055,91256,95799,18.361,9.403,8.957,20.756,10.63,10.126,9160,718,0.899,0.07,39413,5169,3.869,0.507,4.373,0.574,5.149,19.404,0.755,-5.624,28.738,33.069,21.685,45.243
"IB",2021-04-09,"IB",1171543,2.469,986279,2.458,140760,78000,18000,236760,20.209,1.974,0,0,0,0,28080,25300,0,53380,4.556,199763,144703,110120,17.051,84.374,1.952,9031,7393,3276,0.771,4.735,32813,25125,15377,2.801,9.934,1.837,144703,89643,55060,12.351,4.7,7.652,14.672,5.583,9.089,7393,1638,0.631,0.14,25125,7688,2.145,0.656,2.547,0.779,5.384,14.543,3.066,-2.843,-20.94,-20.049,-18.146,-27.402
"CN",2021-04-09,"CN",2175952,4.586,1871033,4.662,276090,145200,35800,457090,21.006,3.811,0,0,0,0,43290,47100,0,90390,4.154,368086,253620,228932,16.916,80.528,3.597,12215,11247,1936,0.561,3.432,51316,45608,11418,2.358,26.071,2.873,253620,139154,114466,11.656,5.261,6.395,13.555,6.118,7.437,11247,968,0.517,0.044,45608,5709,2.096,0.262,2.438,0.305,4.64,27.4,0.853,16.391,-21.566,-16.899,-22.752,-18.736
"CB",2021-04-09,"CB",582905,1.228,501384,1.249,115395,38800,15300,169495,29.078,1.413,0,0,0,0,17550,12600,0,30150,5.172,133391,88364,90054,22.884,78.699,1.304,4852,4787,130,0.832,3.775,16183,15592,1184,2.776,11.923,0.906,88364,43337,45027,15.159,7.725,7.435,17.624,8.981,8.643,4787,65,0.821,0.011,15592,592,2.675,0.102,3.11,0.118,5.728,15.045,0.145,-34.658,6.189,15.065,0.464,19.323
"CL",2021-04-09,"CL",2394918,5.047,2092873,5.215,555465,159900,78300,793665,33.14,6.617,0,0,0,0,92430,51800,0,144230,6.022,657130,427344,459572,27.439,82.797,6.422,27658,23074,9168,1.155,4.394,98682,76734,43896,4.12,31.195,5.524,427344,197558,229786,17.844,9.595,8.249,20.419,10.979,9.44,23074,4584,0.963,0.191,76734,21948,3.204,0.916,3.666,1.049,5.708,33.73,2.036,23.041,27.244,31.108,18.258,48.208
"CM",2021-04-09,"CM",2045221,4.31,1719964,4.286,356715,136400,49600,542715,26.536,4.525,0,0,0,0,56160,44200,0,100360,4.907,463487,313551,299872,22.662,85.402,4.53,19233,14796,8874,0.94,4.329,94301,71245,46111,4.611,6.955,5.279,313551,163615,149936,15.331,7.331,8,18.23,8.717,9.513,14796,4437,0.723,0.217,71245,23056,3.483,1.127,4.142,1.34,4.953,8.731,3.05,1.815,5.104,4.988,1.604,13.238
"CT",2021-04-09,"CT",7780479,16.397,6531658,16.276,1220930,519100,168400,1908430,24.528,15.912,0,0,0,0,193050,168300,0,361350,4.644,1664667,1212526,904282,21.395,87.227,16.27,72096,68451,7290,0.927,4.527,311610,290978,41264,4.005,30.101,17.443,1212526,760385,452141,15.584,5.811,9.773,18.564,6.922,11.642,68451,3645,0.88,0.047,290978,20632,3.74,0.265,4.455,0.316,5.983,30.761,0.813,21.458,-0.775,-2.958,3.281,-10.241
"VC",2021-04-09,"VC",5057353,10.658,4269305,10.639,711550,337500,96800,1145850,22.657,9.554,0,0,0,0,125190,109400,0,234590,4.639,1035843,751737,568212,20.482,90.4,10.124,44404,38059,12690,0.878,4.479,192787,168385,48804,3.812,13.469,10.792,751737,467631,284106,14.864,5.618,9.247,17.608,6.655,10.953,38059,6345,0.753,0.125,168385,24402,3.33,0.483,3.944,0.572,5.333,12.794,2.284,18.353,-5.01,-10.358,-1.491,-13.222
