"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,475110,34500,36300,545910,18.729,401714,73.6,159969,17.988,4.996,1.89,2.265,2.325,0.797,2.171,2.392,4.746,0.839
"2","ARAGÓN","AR",1329391,1132764,1107658,2.802,2.823,2.827,81045,5400,6300,92745,3.182,80211,86.5,29343,3.592,13.559,2.207,2.59,2.649,17.723,16.841,16.664,6.034,28.2
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,83975,4200,6300,94475,3.241,75118,79.5,32296,3.364,50.967,3.17,3.584,3.647,69.073,61.642,60.593,7.373,56.664
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,42480,4800,3200,50480,1.732,37685,74.7,14564,1.687,-29.855,1.243,1.477,1.512,-33.697,-33.394,-33.396,3.217,-31.653
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,93570,8900,7000,109470,3.756,86467,79,29967,3.872,-18.105,1.377,1.602,1.641,-26.548,-27.757,-27.753,3.974,-15.568
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,39345,2400,2900,44645,1.532,36320,81.4,14393,1.626,24.73,2.469,2.871,2.934,31.693,29.483,29.202,6.231,32.39
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,177555,9800,13500,200855,6.891,168030,83.7,69345,7.524,36.536,2.896,3.313,3.379,54.43,49.453,48.811,7.016,49.074
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,120375,8300,9200,137875,4.73,109636,79.5,35531,4.909,9.75,1.737,2.066,2.118,-7.344,-6.821,-6.727,5.361,13.899
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,410120,31800,31400,473320,16.239,340729,72,138400,15.257,-0.965,1.779,2.119,2.172,-5.128,-4.425,-4.344,4.379,-6.952
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,207280,20600,15700,243580,8.357,201983,82.9,89522,9.044,-21.591,1.77,2.097,2.149,-5.591,-5.419,-5.372,3.994,-15.141
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,74375,4300,5400,84075,2.884,71334,84.8,28790,3.194,28.656,2.706,3.16,3.234,44.316,42.513,42.417,6.704,42.451
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,128815,11000,9800,149615,5.133,114462,76.5,54604,5.125,-9.852,2.021,2.311,2.355,7.789,4.246,3.712,4.236,-9.986
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,19955,1300,1400,22655,0.777,18970,83.7,7997,0.849,15.319,2.5,2.953,3.023,33.322,33.208,33.148,5.93,25.991
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,333375,27700,25400,386475,13.259,294615,76.2,115535,13.192,-7.2,1.704,2.028,2.078,-9.114,-8.504,-8.484,4.345,-7.671
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,87305,6200,6600,100105,3.434,78988,78.9,27799,3.537,7.831,1.839,2.246,2.311,-1.893,1.327,1.785,5.227,11.053
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,39345,2700,2900,44945,1.542,36677,81.6,13286,1.642,10.695,2.009,2.403,2.465,7.17,8.381,8.547,5.547,17.861
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,107460,9100,7900,124460,4.27,75634,60.8,26299,3.387,-8.761,1.184,1.386,1.417,-36.832,-37.505,-37.608,3.406,-27.628
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,4320,400,400,5120,0.176,2277,44.5,963,0.102,-0.758,1.144,1.456,1.505,-39.002,-34.344,-33.717,2.704,-42.542
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,3150,400,400,3950,0.136,2399,60.7,1080,0.107,-26.349,1.24,1.632,1.691,-33.849,-26.389,-25.514,2.755,-41.462
"20","ESPAÑA","ES",47450795,40129822,39180773,100,84.571,82.571,2528955,193800,192000,2914755,100,2233249,76.619,889683,100,0,1.875,2.217,2.271,0,0,0,4.706,0
