"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
"AN",2021-02-10,"AN",8464411,17.838,7062213,17.598,475110,34500,36300,545910,6.449,18.729,74880,0,19700,94580,74880,34500,19700,129080,1.525,401714,81776,319938,4.746,73.586,17.988,11637,0.137,2.983,3245,8392,72456,0.856,-5.645,15.466,241745,159969,81776,2.856,1.89,3.423,2.265,3245,8392,0.038,0.099,17016,55440,0.201,0.655,0.241,0.785,1.361,6.496,5.536,-8.835,0.841,4.995,0.883,0.8,2024-04-14,2026-08-16,2028-12-16,2021-10-07,2022-03-26,2022-09-12,2021-08-28,2022-01-19,2022-06-12
"AR",2021-02-10,"AR",1329391,2.802,1132764,2.823,81045,5400,6300,92745,6.977,3.182,12870,0,3400,16270,12870,5400,3400,21670,1.63,80211,21525,58686,6.034,86.486,3.592,4625,0.348,6.119,504,4121,19175,1.442,0.372,4.093,50868,29343,21525,3.826,2.207,4.491,2.59,504,4121,0.038,0.31,4989,14186,0.375,1.067,0.44,1.252,1.001,-0.24,16.339,0.589,28.194,13.562,35.147,17.707,2024-04-14,2026-08-16,2028-12-16,2021-10-07,2022-03-26,2022-09-12,2021-08-28,2022-01-19,2022-06-12
"AS",2021-02-10,"AS",1018784,2.147,901209,2.246,83975,4200,6300,94475,9.273,3.241,14040,0,3400,17440,14040,4200,3400,21640,2.124,75118,10526,64592,7.373,79.511,3.364,2331,0.229,3.202,1979,352,13635,1.338,-6.674,2.911,42822,32296,10526,4.203,3.17,4.752,3.584,1979,352,0.194,0.035,3566,10069,0.35,0.988,0.396,1.117,4.845,64.408,1.102,-19.066,56.684,50.955,48.463,69.067,2024-04-14,2026-08-16,2028-12-16,2021-10-07,2022-03-26,2022-09-12,2021-08-28,2022-01-19,2022-06-12
"IB",2021-02-10,"IB",1171543,2.469,986279,2.458,42480,4800,3200,50480,4.309,1.732,7020,0,1700,8720,7020,4800,1700,13520,1.154,37685,8557,29128,3.217,74.653,1.687,1030,0.088,2.81,538,492,11445,0.977,7.043,2.443,23121,14564,8557,1.974,1.243,2.344,1.477,538,492,0.046,0.042,2143,9302,0.183,0.794,0.217,0.943,2.382,30.194,3.496,2.83,-31.673,-29.85,-30.272,-33.707,2024-04-14,2026-08-16,2028-12-16,2021-10-07,2022-03-26,2022-09-12,2021-08-28,2022-01-19,2022-06-12
"CN",2021-02-10,"CN",2175952,4.586,1871033,4.662,93570,8900,7000,109470,5.031,3.756,14040,0,3800,17840,14040,8900,3800,26740,1.229,86467,26533,59934,3.974,78.987,3.872,1217,0.056,1.428,297,920,15673,0.72,-10.271,3.346,56500,29967,26533,2.597,1.377,3.02,1.602,297,920,0.014,0.042,2835,12838,0.13,0.59,0.152,0.686,0.528,-7.564,3.167,-10.847,-15.569,-18.099,-8.266,-26.56,2024-04-14,2026-08-16,2028-12-16,2021-10-07,2022-03-26,2022-09-12,2021-08-28,2022-01-19,2022-06-12
"CB",2021-02-10,"CB",582905,1.228,501384,1.249,39345,2400,2900,44645,7.659,1.532,5850,0,1600,7450,5850,2400,1600,9850,1.69,36320,7534,28786,6.231,81.353,1.626,973,0.167,2.753,50,923,9602,1.647,-6.595,2.05,21927,14393,7534,3.762,2.469,4.373,2.871,50,923,0.009,0.158,1070,8532,0.184,1.464,0.213,1.702,0.229,-0.093,6.852,-7.352,32.41,24.756,32.886,31.68,2024-04-14,2026-08-16,2028-12-16,2021-10-07,2022-03-26,2022-09-12,2021-08-28,2022-01-19,2022-06-12
"CL",2021-02-10,"CL",2394918,5.047,2092873,5.215,177555,9800,13500,200855,8.387,6.891,28080,0,7300,35380,28080,9800,7300,45180,1.886,168030,29340,138690,7.016,83.657,7.524,6249,0.261,3.863,1472,4777,35534,1.484,0.325,7.585,98685,69345,29340,4.121,2.896,4.715,3.313,1472,4777,0.061,0.199,6754,28780,0.282,1.202,0.323,1.375,1.514,14.436,7.398,-2.497,49.079,36.537,45.567,54.453,2024-04-14,2026-08-16,2028-12-16,2021-10-07,2022-03-26,2022-09-12,2021-08-28,2022-01-19,2022-06-12
"CM",2021-02-10,"CM",2045221,4.31,1719964,4.286,120375,8300,9200,137875,6.741,4.73,18720,0,5000,23720,18720,8300,5000,32020,1.566,109636,38574,71062,5.361,79.518,4.909,2990,0.146,2.804,666,2324,16934,0.828,-4.64,3.615,74105,35531,38574,3.623,1.737,4.309,2.066,666,2324,0.033,0.114,5928,11006,0.29,0.538,0.345,0.64,0.907,0.288,6.999,-7.099,13.898,9.745,27.976,-7.36,2024-04-14,2026-08-16,2028-12-16,2021-10-07,2022-03-26,2022-09-12,2021-08-28,2022-01-19,2022-06-12
"CT",2021-02-10,"CT",7780479,16.397,6531658,16.276,410120,31800,31400,473320,6.083,16.239,64350,0,17100,81450,64350,31800,17100,113250,1.456,340729,63929,276800,4.379,71.987,15.257,11940,0.153,3.632,3191,8749,67005,0.861,-0.33,14.303,202329,138400,63929,2.6,1.779,3.098,2.119,3191,8749,0.041,0.112,8992,58013,0.116,0.746,0.138,0.888,1.602,28.329,6.748,-3.665,-6.952,-0.964,-8.16,-5.12,2024-04-14,2026-08-16,2028-12-16,2021-10-07,2022-03-26,2022-09-12,2021-08-28,2022-01-19,2022-06-12
"VC",2021-02-10,"VC",5057353,10.658,4269305,10.639,207280,20600,15700,243580,4.816,8.357,31590,0,8700,40290,31590,20600,8700,60890,1.204,201983,22939,179044,3.994,82.923,9.044,5494,0.109,2.796,3325,2169,39420,0.779,-18.795,8.415,112461,89522,22939,2.224,1.77,2.634,2.097,3325,2169,0.066,0.043,8350,31070,0.165,0.614,0.196,0.728,3.047,35.332,2.483,-26.677,-15.144,-21.589,-21.441,-5.6,2024-04-14,2026-08-16,2028-12-16,2021-10-07,2022-03-26,2022-09-12,2021-08-28,2022-01-19,2022-06-12
