"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
"AN",2021-01-20,"AN",8464411,17.838,7062213,17.598,244620,0,6800,251420,2.97,18.678,35100,0,0,35100,35100,0,6800,41900,0.495,174279,165143,9136,2.059,69.318,16.987,9459,0.112,5.739,6664,2795,64448,0.761,-7.854,14.506,169711,4568,165143,2.005,0.054,2.403,0.065,6664,2795,0.079,0.033,59880,4568,0.707,0.054,0.848,0.065,4.087,-12.158,157.642,157.642,-4.771,4.709,-5.824,63.636,2021-08-24,2022-01-26,2022-06-30,2038-06-16,2050-01-27,2061-09-08,2035-10-11,2045-08-09,2055-06-08
"AR",2021-01-20,"AR",1329391,2.802,1132764,2.823,41265,0,1200,42465,3.194,3.155,5850,0,0,5850,5850,0,1200,7050,0.53,33734,32488,1246,2.538,79.44,3.288,5418,0.408,19.134,5045,373,16691,1.256,2.192,3.757,33111,623,32488,2.491,0.047,2.923,0.055,5045,373,0.379,0.028,16068,623,1.209,0.047,1.418,0.055,17.975,-0.093,149.2,149.2,17.345,12.598,17.003,42.424,2021-08-24,2022-01-26,2022-06-30,2038-06-16,2050-01-27,2061-09-08,2035-10-11,2045-08-09,2055-06-08
"AS",2021-01-20,"AS",1018784,2.147,901209,2.246,44195,0,1200,45395,4.456,3.372,8775,0,0,8775,8775,0,1200,9975,0.979,36054,32680,3374,3.539,79.423,3.514,1761,0.173,5.135,1359,402,10776,1.058,-9.178,2.425,34367,1687,32680,3.373,0.166,3.813,0.187,1359,402,0.133,0.039,9089,1687,0.892,0.166,1.009,0.187,4.117,-14.093,31.284,31.284,63.67,57.056,58.431,403.03,2021-08-24,2022-01-26,2022-06-30,2038-06-16,2050-01-27,2061-09-08,2035-10-11,2045-08-09,2055-06-08
"IB",2021-01-20,"IB",1171543,2.469,986279,2.458,22590,0,600,23190,1.979,1.723,5850,0,0,5850,9750,0,600,10350,0.883,15697,15363,334,1.34,67.689,1.53,1039,0.089,7.088,1036,3,10766,0.919,9.6,2.423,15530,167,15363,1.326,0.014,1.575,0.017,1036,3,0.088,0,10599,167,0.905,0.014,1.075,0.017,7.148,9.732,1.829,1.829,-38.032,-30.215,-37.717,-57.576,2021-08-24,2022-01-26,2022-06-30,2038-06-16,2050-01-27,2061-09-08,2035-10-11,2045-08-09,2055-06-08
"CN",2021-01-20,"CN",2175952,4.586,1871033,4.662,46185,0,1300,47485,2.182,3.528,4875,0,0,4875,4875,0,1300,6175,0.284,43599,42921,678,2.004,91.816,4.25,390,0.018,0.903,390,0,21309,0.979,-23.572,4.796,43260,339,42921,1.988,0.016,2.312,0.018,390,0,0.018,0,20970,339,0.964,0.016,1.121,0.018,0.91,-23.862,0,0,-7.327,-23.07,-6.623,-51.515,2021-08-24,2022-01-26,2022-06-30,2038-06-16,2050-01-27,2061-09-08,2035-10-11,2045-08-09,2055-06-08
"CB",2021-01-20,"CB",582905,1.228,501384,1.249,20625,0,500,21125,3.624,1.569,2925,0,0,2925,2925,0,500,3425,0.588,19473,19473,0,3.341,92.18,1.898,506,0.087,2.668,506,0,8171,1.402,-13.443,1.839,19473,0,19473,3.341,0,3.884,0,506,0,0.087,0,8171,0,1.402,0,1.63,0,2.668,-13.443,NA,NA,54.56,27.769,56.928,-100,2021-08-24,2022-01-26,2022-06-30,2038-06-16,2050-01-27,2061-09-08,2035-10-11,2045-08-09,2055-06-08
"CL",2021-01-20,"CL",2394918,5.047,2092873,5.215,93315,0,2500,95815,4.001,7.118,16575,0,0,16575,16575,0,2500,19075,0.796,74350,73084,1266,3.104,77.597,7.247,3465,0.145,4.888,3264,201,26107,1.09,-11.636,5.876,73717,633,73084,3.078,0.026,3.522,0.03,3264,201,0.136,0.008,25474,633,1.064,0.026,1.217,0.03,4.633,-12.5,46.528,46.528,43.59,41.034,44.575,-21.212,2021-08-24,2022-01-26,2022-06-30,2038-06-16,2050-01-27,2061-09-08,2035-10-11,2045-08-09,2055-06-08
"CM",2021-01-20,"CM",2045221,4.31,1719964,4.286,61875,0,1700,63575,3.108,4.723,8775,0,0,8775,8775,0,1700,10475,0.512,48755,48365,390,2.384,76.689,4.752,5073,0.248,11.613,5067,6,21876,1.07,7.552,4.924,48560,195,48365,2.374,0.01,2.823,0.011,5067,6,0.248,0,21681,195,1.06,0.01,1.261,0.011,11.65,7.593,3.175,3.175,10.255,9.582,11.508,-69.697,2021-08-24,2022-01-26,2022-06-30,2038-06-16,2050-01-27,2061-09-08,2035-10-11,2045-08-09,2055-06-08
"CT",2021-01-20,"CT",7780479,16.397,6531658,16.276,211220,0,5800,217020,2.789,16.122,31200,0,0,31200,31200,0,5800,37000,0.476,162830,161004,1826,2.093,75.03,15.871,6203,0.08,3.96,5722,481,70697,0.909,-4.259,15.912,161917,913,161004,2.081,0.012,2.479,0.014,5722,481,0.074,0.006,69784,913,0.897,0.012,1.068,0.014,3.663,-4.939,111.343,111.343,-3.208,-1.677,-2.255,-63.636,2021-08-24,2022-01-26,2022-06-30,2038-06-16,2050-01-27,2061-09-08,2035-10-11,2045-08-09,2055-06-08
"VC",2021-01-20,"VC",5057353,10.658,4269305,10.639,109000,0,2900,111900,2.213,8.313,17550,0,0,17550,17550,0,2900,20450,0.404,99932,96458,3474,1.976,89.305,9.741,4672,0.092,4.904,3523,1149,29062,0.575,-23.595,6.541,98195,1737,96458,1.942,0.034,2.3,0.041,3523,1149,0.07,0.023,27325,1737,0.54,0.034,0.64,0.041,3.721,-27.034,195.408,195.408,-8.604,-22.002,-8.783,3.03,2021-08-24,2022-01-26,2022-06-30,2038-06-16,2050-01-27,2061-09-08,2035-10-11,2045-08-09,2055-06-08
