"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN","DOSIS_DIARIAS_ENTREGADAS","DOSIS_DIARIAS_ENTREGADAS_PFIZER","DOSIS_DIARIAS_ENTREGADAS_MODERNA","DOSIS_DIARIAS_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_DIARIAS","PORC_PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_100HAB_DIARIAS","DOSIS_7D_ENTREGADAS","DOSIS_7D_ENTREGADAS_PFIZER","DOSIS_7D_ENTREGADAS_MODERNA","DOSIS_7D_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_7D","DOSIS_ADMIN_7D","PORC_PAUTA_COMPLETA_7D","DOSIS_ADMIN_100HAB_7D","DESV_DOSIS_ADMIN_7D","DESV_PORC_PAUTA_COMPLETA_7D"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,662310,144200,36300,842810,18.692,774701,91.9,228829,19.82,4.79,2.703,3.24,3.326,1.271,2.651,2.873,9.152,11.108,0,0,0,0,90,4802,0,0.085,163300,93600,0,69700,12212,148042,0.026,0.312,-80.089342693044,-78.8617886178862
"2","ARAGON","AR",1329391,1132764,1107658,2.802,2.823,2.827,112635,22600,6300,141535,3.139,131441,92.9,46898,3.363,12.029,3.528,4.14,4.234,32.151,31.162,30.963,9.887,20.029,0,0,0,0,76,1319,0,0.006,27280,16380,0,10900,3193,20374,0.007,0.043,-97.2559029993618,-94.3089430894309
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,112055,17400,6300,135755,3.011,118737,87.5,39435,3.038,40.236,3.871,4.376,4.453,45,38.628,37.728,11.655,41.485,0,0,0,0,220,1608,0,0.027,22440,14040,0,8400,1486,19192,0.003,0.04,-97.4473516273133,-97.5609756097561
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,56520,19900,3200,79620,1.766,61659,77.4,22161,1.577,-28.479,1.892,2.247,2.301,-29.14,-28.816,-28.818,5.263,-36.108,0,0,0,0,211,317,0,0.006,16620,7020,0,9600,1601,8858,0.003,0.019,-98.7874920229738,-97.5609756097561
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,129840,37100,7000,173940,3.858,148158,85.2,51479,3.79,-15.88,2.366,2.751,2.818,-11.376,-12.835,-12.83,6.809,-17.342,0,0,0,0,33,2038,0,0.012,36620,18720,0,17900,1553,25854,0.003,0.054,-96.553924696873,-97.5609756097561
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,55725,9900,2900,68525,1.52,59968,87.5,20584,1.534,23.761,3.531,4.105,4.196,32.282,30.063,29.78,10.288,24.89,0,0,0,0,151,824,0,0.001,12990,8190,0,4800,730,11033,0.002,0.023,-98.5322271857052,-98.3739837398374
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,246585,40800,13500,300885,6.673,263681,87.6,90732,6.746,32.221,3.789,4.335,4.421,41.919,37.344,36.755,11.01,33.658,0,0,0,0,786,6202,0.002,0.035,54800,35100,0,19700,4280,40647,0.009,0.086,-94.5118059987237,-92.6829268292683
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,167175,34800,9200,211175,4.684,164826,78.1,69232,4.217,8.668,3.385,4.025,4.127,26.805,27.521,27.649,8.059,-2.165,0,0,0,0,500,1887,0.001,0.009,40200,23400,0,16800,6027,18614,0.013,0.039,-97.5111678366305,-89.4308943089431
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,570410,132700,31400,734510,16.29,657774,89.6,188818,16.828,-0.65,2.427,2.891,2.963,-9.091,-8.417,-8.34,8.454,2.631,0,0,0,0,709,7447,0.001,0.024,144830,80730,0,64100,6983,153504,0.015,0.324,-79.323548181238,-87.8048780487805
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,288010,86200,15700,389910,8.648,323505,83,102016,8.276,-18.862,2.017,2.39,2.449,-24.436,-24.298,-24.261,6.397,-22.346,0,0,0,0,0,0,0,0.018,82650,40950,0,41700,2971,49527,0.006,0.104,-93.3631142310147,-95.1219512195122
