"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,820260,303300,73300,1196860,17.984,1000998,83.6,292741,19.354,0.818,3.458,4.145,4.255,9.168,10.656,10.896,11.826,8.496
"2","ARAGÓN","AR",1329391,1132764,1107658,2.802,2.823,2.827,147735,47600,12600,207935,3.124,166351,80,53228,3.216,11.506,4.004,4.699,4.805,26.386,25.44,25.249,12.513,14.802
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,144815,36600,12700,194115,2.917,145833,75.1,48210,2.82,35.852,4.732,5.349,5.443,49.371,42.806,41.878,14.314,31.326
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,76410,41900,6500,124810,1.875,95435,76.5,26495,1.845,-24.043,2.262,2.686,2.751,-28.614,-28.287,-28.289,8.146,-25.265
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,167280,78000,14300,259580,3.9,194364,74.9,58482,3.758,-14.95,2.688,3.126,3.202,-15.163,-16.56,-16.555,8.932,-18.051
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,70935,20800,5900,97635,1.467,72537,74.3,22624,1.402,19.467,3.881,4.512,4.612,22.513,20.457,20.195,12.444,14.166
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,324975,85800,27300,438075,6.582,339992,77.6,110038,6.574,30.423,4.595,5.258,5.362,45.031,40.357,39.754,14.196,30.243
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,215145,73300,18600,307045,4.614,223931,72.9,76016,4.33,7.044,3.717,4.42,4.531,17.321,17.983,18.102,10.949,0.45
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,735380,278900,63400,1077680,16.193,835931,77.6,218613,16.162,-1.244,2.81,3.347,3.431,-11.309,-10.652,-10.576,10.744,-1.431
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,395650,181300,31700,608650,9.145,448396,73.7,130387,8.67,-14.191,2.578,3.054,3.13,-18.619,-18.471,-18.43,8.866,-18.658
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,129365,38100,10900,178365,2.68,140186,78.6,48662,2.71,19.54,4.574,5.34,5.466,44.366,42.562,42.466,13.176,20.877
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,268045,96900,19900,384845,5.783,299544,77.8,79330,5.792,1.556,2.936,3.358,3.421,-7.319,-10.366,-10.824,11.087,1.714
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,36335,11400,2700,50435,0.758,40431,80.2,12357,0.782,12.438,3.863,4.563,4.672,21.924,21.82,21.765,12.638,15.946
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,598965,243100,51300,893365,13.424,720674,80.7,186482,13.934,-6.05,2.751,3.274,3.354,-13.179,-12.596,-12.578,10.63,-2.48
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,148145,54100,13400,215645,3.24,156345,72.5,52332,3.023,1.735,3.463,4.229,4.351,9.305,12.892,13.403,10.345,-5.087
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,69765,23600,5900,99265,1.492,75059,75.6,24831,1.451,7.074,3.755,4.491,4.607,18.542,19.882,20.066,11.352,4.147
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,208080,79600,16000,303680,4.563,200677,66.1,57875,3.88,-2.499,2.606,3.049,3.118,-17.729,-18.605,-18.739,9.037,-17.087
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,5490,3100,600,9190,0.138,8571,93.3,2533,0.166,-21.984,3.008,3.829,3.959,-5.044,2.208,3.183,10.179,-6.613
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,4320,3100,600,8020,0.121,6851,85.4,2022,0.132,-34.507,2.322,3.055,3.167,-26.702,-18.435,-17.466,7.868,-27.818
"20","ESPAÑA","ES",47450795,40129822,39180773,100,84.571,82.571,4567095,1700500,387600,6655195,100,5172106,77.715,1503258,100,0,3.168,3.746,3.837,0,0,0,10.9,0
