"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega_janssen","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
"AN",2021-04-24,"AN",8464411,17.838,7062213,17.598,1653300,651300,219200,26150,2549950,30.126,16.52,0,0,0,0,184860,61700,0,272710,3.222,2481591,1114632,1366959,29.318,97.319,17.214,23223,0.274,0.945,19583,3640,337424,3.986,-1.263,17.656,1798112,683479,1114633,21.243,8.075,25.461,9.678,19583,3640,0.231,0.043,233437,103987,2.758,1.229,3.305,1.472,1.101,-0.687,0.535,-2.532,-3.498,-7.389,-4.328,-1.524,2021-05-12,2021-06-29,2021-08-16,2021-09-06,2022-01-08,2022-05-12,2021-08-08,2021-11-21,2022-03-06
"AR",2021-04-24,"AR",1329391,2.802,1132764,2.823,332595,102300,45800,4100,484795,36.467,3.141,0,0,0,0,40950,9700,0,54750,4.118,458064,208183,249881,34.457,94.486,3.177,1718,0.129,0.376,176,1542,77079,5.798,-4.427,4.033,334478,124941,209537,25.16,9.398,29.528,11.03,1531,1542,0.115,0.116,62583,15851,4.708,1.192,5.525,1.399,0.46,-3.894,1.25,2.067,13.383,12.099,13.313,14.61,2021-05-12,2021-06-29,2021-08-16,2021-09-06,2022-01-08,2022-05-12,2021-08-08,2021-11-21,2022-03-06
"AS",2021-04-24,"AS",1018784,2.147,901209,2.246,319145,78400,42200,3150,442895,43.473,2.869,0,0,0,0,38610,7400,0,49160,4.825,417948,166209,251739,41.024,94.367,2.899,5357,0.526,1.298,4443,914,65285,6.408,-5.958,3.416,292880,125870,167010,28.748,12.355,32.499,13.967,5060,914,0.497,0.09,51124,14963,5.018,1.469,5.673,1.66,1.758,-5.515,0.731,-3.452,35.026,33.628,29.472,50.671,2021-05-12,2021-06-29,2021-08-16,2021-09-06,2022-01-08,2022-05-12,2021-08-08,2021-11-21,2022-03-06
"IB",2021-04-24,"IB",1171543,2.469,986279,2.458,184050,89900,24300,3600,301850,25.765,1.956,0,0,0,0,21060,8500,0,33160,2.83,287761,143940,143821,24.563,95.332,1.996,4549,0.388,1.606,2949,1600,35992,3.072,1.332,1.883,217077,71910,145167,18.529,6.138,22.01,7.291,4175,1600,0.356,0.137,27630,9588,2.358,0.818,2.801,0.972,1.961,2.986,2.276,10.334,-19.158,-20.778,-16.551,-25.146,2021-05-12,2021-06-29,2021-08-16,2021-09-06,2022-01-08,2022-05-12,2021-08-08,2021-11-21,2022-03-06
"CN",2021-04-24,"CN",2175952,4.586,1871033,4.662,362670,167400,47800,6700,584570,26.865,3.787,0,0,0,0,43290,15800,0,65790,3.024,545433,270218,275215,25.066,93.305,3.783,7625,0.35,1.418,5514,2111,83830,3.853,-2.143,4.386,409436,137607,271829,18.816,6.324,21.883,7.355,6953,2111,0.32,0.097,67111,18329,3.084,0.842,3.587,0.98,1.728,-2.684,1.558,8.616,-17.51,-17.423,-15.259,-22.878,2021-05-12,2021-06-29,2021-08-16,2021-09-06,2022-01-08,2022-05-12,2021-08-08,2021-11-21,2022-03-06
"CB",2021-04-24,"CB",582905,1.228,501384,1.249,150495,44700,19900,1800,216895,37.209,1.405,0,0,0,0,17550,4200,0,23550,4.04,191302,79601,111701,32.819,88.2,1.327,2862,0.491,1.519,2738,124,29690,5.093,1.203,1.554,135452,55851,79601,23.237,9.581,27.016,11.139,2739,124,0.47,0.021,22060,7632,3.784,1.309,4.4,1.522,2.064,2.49,0.223,-2.317,8.062,14.414,4.652,16.841,2021-05-12,2021-06-29,2021-08-16,2021-09-06,2022-01-08,2022-05-12,2021-08-08,2021-11-21,2022-03-06
"CL",2021-04-24,"CL",2394918,5.047,2092873,5.215,740325,184300,100800,7400,1032825,43.126,6.691,0,0,0,0,92430,17400,0,117230,4.895,926363,381796,544567,38.68,89.692,6.426,15615,0.652,1.715,13065,2550,124279,5.189,1.023,6.503,654403,272284,382119,27.325,11.369,31.268,13.01,13389,2550,0.559,0.106,101009,23594,4.218,0.985,4.826,1.127,2.089,0.405,0.945,5.246,27.323,32.574,23.063,38.646,2021-05-12,2021-06-29,2021-08-16,2021-09-06,2022-01-08,2022-05-12,2021-08-08,2021-11-21,2022-03-06
"CM",2021-04-24,"CM",2045221,4.31,1719964,4.286,469035,157300,63800,6300,696435,34.052,4.512,0,0,0,0,56160,14900,0,77360,3.782,639880,262241,377639,31.287,91.879,4.439,6623,0.324,1.046,5348,1275,90362,4.418,0.184,4.728,451701,188819,262882,22.086,9.232,26.262,10.978,5988,1275,0.293,0.062,66969,24033,3.274,1.175,3.894,1.397,1.343,0.701,0.68,1.435,2.993,4.687,-0.531,12.585,2021-05-12,2021-06-29,2021-08-16,2021-09-06,2022-01-08,2022-05-12,2021-08-08,2021-11-21,2022-03-06
"CT",2021-04-24,"CT",7780479,16.397,6531658,16.276,1607030,598600,221100,24000,2450730,31.498,15.877,0,0,0,0,193050,56700,0,273750,3.518,2312307,1068795,1243512,29.719,94.352,16.04,17129,0.22,0.746,13228,3901,287343,3.693,-1.842,15.035,1690886,621756,1069130,21.732,7.991,25.888,9.519,13558,3901,0.174,0.05,152935,134743,1.966,1.732,2.341,2.063,0.808,-2.547,0.631,-0.783,-2.177,-3.171,-2.126,-2.549,2021-05-12,2021-06-29,2021-08-16,2021-09-06,2022-01-08,2022-05-12,2021-08-08,2021-11-21,2022-03-06
"VC",2021-04-24,"VC",5057353,10.658,4269305,10.639,961930,389100,131600,15600,1498230,29.625,9.707,0,0,0,0,125190,36800,0,177590,3.512,1437453,674073,763380,28.423,95.943,9.971,10921,0.216,0.766,6455,4466,189611,3.749,-0.337,9.922,1056651,381690,674961,20.893,7.547,24.75,8.94,7343,4466,0.145,0.088,114724,75775,2.268,1.498,2.687,1.775,0.7,-2.412,1.184,4.24,-6.446,-8.923,-5.904,-7.963,2021-05-12,2021-06-29,2021-08-16,2021-09-06,2022-01-08,2022-05-12,2021-08-08,2021-11-21,2022-03-06
