"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,662310,144200,36300,842810,18.692,724385,85.9,225068,20.09,4.79,2.659,3.187,3.271,1.442,2.824,3.047,8.558,12.625
"2","ARAGÓN","AR",1329391,1132764,1107658,2.802,2.823,2.827,112635,22600,6300,141535,3.139,126328,89.3,45931,3.504,12.029,3.455,4.055,4.147,31.811,30.824,30.626,9.503,25.057
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,112055,17400,6300,135755,3.011,109192,80.4,38716,3.028,40.236,3.8,4.296,4.371,44.98,38.608,37.708,10.718,41.049
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,56520,19900,3200,79620,1.766,57292,72,21124,1.589,-28.479,1.803,2.142,2.194,-31.211,-30.897,-30.898,4.89,-35.643
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,129840,37100,7000,173940,3.858,138557,79.7,51231,3.843,-15.88,2.354,2.738,2.805,-10.178,-11.657,-11.652,6.368,-16.201
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,55725,9900,2900,68525,1.52,56389,82.3,20346,1.564,23.761,3.49,4.058,4.147,33.162,30.928,30.643,9.674,27.309
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,246585,40800,13500,300885,6.673,245671,81.6,88792,6.814,32.221,3.708,4.243,4.327,41.443,36.884,36.297,10.258,34.997
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,167175,34800,9200,211175,4.684,160235,75.9,66945,4.444,8.668,3.273,3.892,3.991,24.875,25.58,25.707,7.835,3.105
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,570410,132700,31400,734510,16.29,614048,83.6,186268,17.03,-0.65,2.394,2.852,2.923,-8.666,-7.989,-7.912,7.892,3.862
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,288010,86200,15700,389910,8.648,313175,80.3,101330,8.686,-18.862,2.004,2.373,2.432,-23.561,-23.422,-23.384,6.192,-18.506
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,102455,18100,5400,125955,2.794,107200,85.1,38608,2.973,24.599,3.629,4.237,4.337,38.433,36.704,36.612,10.075,32.593
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,179125,46100,9800,235025,5.213,200432,85.3,58689,5.559,-8.456,2.172,2.484,2.531,-17.13,-19.854,-20.264,7.418,-2.372
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,28145,5400,1400,34945,0.775,26699,76.4,9205,0.74,14.99,2.877,3.399,3.48,9.771,9.677,9.628,8.346,9.831
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,464415,115600,25400,605415,13.427,417627,69,171781,11.583,-6.024,2.534,3.016,3.09,-3.339,-2.69,-2.67,6.16,-18.936
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,121235,25700,6600,153535,3.405,117831,76.7,49915,3.268,6.914,3.303,4.034,4.15,26.007,30.142,30.731,7.797,2.609
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,55725,11200,2900,69825,1.549,57034,81.7,21274,1.582,11.172,3.217,3.847,3.947,22.749,24.136,24.327,8.626,13.518
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,148410,37900,7900,194210,4.307,122558,63.1,46157,3.399,-7.963,2.079,2.432,2.487,-20.698,-21.542,-21.672,5.519,-27.364
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,4320,1500,400,6220,0.138,6272,100.8,1136,0.174,-22.062,1.349,1.717,1.775,-48.53,-44.599,-44.07,7.449,-1.973
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,3150,1500,400,5050,0.112,4710,93.3,1267,0.131,-39.129,1.455,1.915,1.984,-44.489,-38.229,-37.495,5.409,-28.816
"20","ESPAÑA","ES",47450795,40129822,39180773,100,84.571,82.571,3508245,808600,192000,4508845,100,3605635,79.968,1243783,100,0,2.621,3.099,3.174,0,0,0,7.599,0
