"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_1dosis_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","personas_1dosis_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-01-15,"AN",8464411,17.838,7062213,17.598,209520,0,6800,216320,2.556,18.985,0,0,0,0,69225,0,6800,76025,0.898,139718,139718,0,1.651,64.589,18.17,16259,0.192,13.17,70273,0.83,1.076,14.313,139718,139718,0,1.651,0,1.651,1.978,0,1.978,16259,0,0.192,0,16259,70273,0,0.83,0,0.995,0,70273,13.17,1.076,NA,NA,1.861,6.43,1.851,NA
"AR",2021-01-15,"AR",1329391,2.802,1132764,2.823,35415,0,1200,36615,2.754,3.214,0,0,0,0,11700,0,1200,12900,0.97,23619,23619,0,1.777,64.506,3.072,2765,0.208,13.259,13675,1.029,-6.77,2.785,23619,23619,0,1.777,0,1.777,2.085,0,2.085,2765,0,0.208,0,2765,13675,0,1.029,0,1.207,0,13675,13.259,-6.77,NA,NA,9.636,14.704,9.624,NA
"AS",2021-01-15,"AS",1018784,2.147,901209,2.246,35420,0,1200,36620,3.594,3.214,0,0,0,0,11700,0,1200,12900,1.266,31247,31247,0,3.067,85.328,4.064,2173,0.213,7.474,13404,1.316,-8.617,2.73,31247,31247,0,3.067,0,3.067,3.467,0,3.467,2173,0,0.213,0,2173,13404,0,1.316,0,1.487,0,13404,7.474,-8.617,NA,NA,89.287,49.697,89.204,NA
"IB",2021-01-15,"IB",1171543,2.469,986279,2.458,12840,0,600,13440,1.147,1.18,0,0,0,0,0,0,600,600,0.051,9366,9366,0,0.799,69.688,1.218,1814,0.155,24.02,5109,0.436,17.125,1.041,9366,9366,0,0.799,0,0.799,0.95,0,0.95,1814,0,0.155,0,1814,5109,0,0.436,0,0.518,0,5109,24.02,17.125,NA,NA,-50.668,-52.207,-50.709,NA
"CN",2021-01-15,"CN",2175952,4.586,1871033,4.662,41310,0,1300,42610,1.958,3.74,0,0,0,0,13650,0,1300,14950,0.687,30732,30732,0,1.412,72.124,3.997,5573,0.256,22.151,21160,0.972,18.683,4.31,30732,30732,0,1.412,0,1.412,1.643,0,1.643,5573,0,0.256,0,5573,21160,0,0.972,0,1.131,0,21160,22.151,18.683,NA,NA,-12.843,-18.447,-12.893,NA
"CB",2021-01-15,"CB",582905,1.228,501384,1.249,17700,0,500,18200,3.122,1.597,0,0,0,0,5850,0,500,6350,1.089,14639,14639,0,2.511,80.434,1.904,1860,0.319,14.555,12305,2.111,9.719,2.506,14639,14639,0,2.511,0,2.511,2.92,0,2.92,1860,0,0.319,0,1860,12305,0,2.111,0,2.454,0,12305,14.555,9.719,NA,NA,55.049,30.049,54.904,NA
"CL",2021-01-15,"CL",2394918,5.047,2092873,5.215,76740,0,2500,79240,3.309,6.955,0,0,0,0,25350,0,2500,27850,1.163,59411,59411,0,2.481,74.976,7.726,1442,0.06,2.488,31086,1.298,-13.327,6.331,59411,59411,0,2.481,0,2.481,2.839,0,2.839,1442,0,0.06,0,1442,31086,0,1.298,0,1.485,0,31086,2.488,-13.327,NA,NA,53.081,37.805,53.054,NA
"CM",2021-01-15,"CM",2045221,4.31,1719964,4.286,53100,0,1700,54800,2.679,4.81,0,0,0,0,17550,0,1700,19250,0.941,33809,33809,0,1.653,61.695,4.397,3196,0.156,10.44,21429,1.048,-6.615,4.365,33809,33809,0,1.653,0,1.653,1.966,0,1.966,3196,0,0.156,0,3196,21429,0,1.048,0,1.246,0,21429,10.44,-6.615,NA,NA,2.019,11.601,1.974,NA
"CT",2021-01-15,"CT",7780479,16.397,6531658,16.276,180020,0,5800,185820,2.388,16.309,0,0,0,0,59475,0,5800,65275,0.839,122577,122577,0,1.575,65.965,15.941,16990,0.218,16.091,83751,1.076,3.304,17.058,122577,122577,0,1.575,0,1.575,1.877,0,1.877,16990,0,0.218,0,16990,83751,0,1.076,0,1.282,0,83751,16.091,3.304,NA,NA,-2.781,-0.537,-2.838,NA
"VC",2021-01-15,"VC",5057353,10.658,4269305,10.639,91450,0,2900,94350,1.866,8.281,0,0,0,0,30225,0,2900,33125,0.655,86927,86927,0,1.719,92.132,11.305,6498,0.128,8.079,70962,1.403,3.214,14.453,86927,86927,0,1.719,0,1.719,2.036,0,2.036,6498,0,0.128,0,6498,70962,0,1.403,0,1.662,0,70962,8.079,3.214,NA,NA,6.071,-22.302,6.046,NA
