"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,324180,0,6800,330980,18.709,299792,90.6,78640,18.629,4.885,0.929,1.114,1.143,23.179,24.858,25.129,3.542,4.434
"2","ARAGÓN","AR",1329391,1132764,1107658,2.802,2.823,2.827,55305,0,1200,56505,3.194,55292,97.9,10364,3.436,13.993,0.78,0.915,0.936,3.363,2.59,2.434,4.159,22.638
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,58235,0,1200,59435,3.36,58112,97.8,19475,3.611,56.484,1.912,2.161,2.199,153.447,142.308,140.734,5.704,68.19
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,29610,0,600,30210,1.708,25559,84.6,4782,1.588,-30.835,0.408,0.485,0.497,-45.882,-45.634,-45.636,2.182,-35.672
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,64320,0,1300,65620,3.709,64475,98.3,11501,4.006,-19.116,0.529,0.615,0.63,-29.923,-31.076,-31.072,2.963,-12.631
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,27645,0,500,28145,1.591,23626,83.9,2737,1.468,29.557,0.47,0.546,0.558,-37.746,-38.79,-38.923,4.053,19.511
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,121395,0,2500,123895,7.003,124225,100.3,34446,7.719,38.765,1.438,1.646,1.679,90.695,84.549,83.756,5.187,52.945
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,82935,0,1700,84635,4.784,84605,100,17460,5.257,11.002,0.854,1.015,1.041,13.187,13.826,13.94,4.137,21.976
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,280250,0,5800,286050,16.17,256555,89.7,60676,15.942,-1.387,0.78,0.929,0.952,3.396,4.162,4.25,3.297,-2.772
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,142930,0,2900,145830,8.243,136109,93.3,33395,8.458,-22.655,0.66,0.782,0.802,-12.451,-12.292,-12.248,2.691,-20.644
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,50975,0,1000,51975,2.938,47342,91.1,8646,2.942,31.044,0.813,0.949,0.971,7.738,6.392,6.321,4.449,31.198
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,87865,0,1800,89665,5.069,85718,95.6,27098,5.327,-10.985,1.003,1.147,1.169,32.976,28.604,27.946,3.173,-6.452
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,14105,0,200,14305,0.809,11790,82.4,2490,0.733,19.974,0.778,0.92,0.941,3.195,3.106,3.06,3.685,8.667
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,228075,0,4700,232775,13.158,190943,82,15837,11.865,-7.908,0.234,0.278,0.285,-69.03,-68.822,-68.816,2.816,-16.958
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,59225,0,1200,60425,3.416,58737,97.2,11293,3.65,7.242,0.747,0.913,0.939,-0.925,2.326,2.79,3.887,14.602
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,27645,0,500,28145,1.591,25116,89.2,5281,1.561,14.211,0.799,0.955,0.98,5.895,7.092,7.257,3.799,12.005
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,74700,0,1400,76100,4.302,57262,75.2,12277,3.558,-8.083,0.553,0.647,0.661,-26.695,-27.476,-27.596,2.579,-23.962
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,1980,0,200,2180,0.123,1890,86.7,688,0.117,-30.379,0.817,1.04,1.075,8.332,16.606,17.719,2.245,-33.815
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,1980,0,200,2180,0.123,2113,96.9,806,0.131,-33.027,0.926,1.218,1.262,22.724,36.564,38.187,2.427,-28.449
"20","FUERZAS ARMADAS","FFAA",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","ESPAÑA","ES",47450795,40129822,39180773,100,84.571,82.571,1733355,0,35700,1769055,100,1609261,90.967,357892,100,0,0.754,0.892,0.913,0,0,0,3.391,0
