"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
"AN",2021-03-29,"AN",8464411,17.838,7062213,17.598,999270,361600,111200,1472070,17.391,17.301,0,0,0,0,99450,17800,0,117250,1.385,1375025,371361,1003664,16.245,93.408,18.161,14930,0.176,1.098,10755,4175,190004,2.245,5.285,15.206,873193,501832,371361,10.316,5.929,12.364,7.106,10754,4175,0.127,0.049,108339,81665,1.28,0.965,1.534,1.156,1.247,8.746,0.839,1.018,1.811,-3.01,-1.452,8.036,2021-06-22,2021-09-18,2021-12-15,2021-09-09,2022-01-22,2022-06-06,2021-08-09,2021-12-01,2022-03-25
"AR",2021-03-29,"AR",1329391,2.802,1132764,2.823,187515,56800,21700,266015,20.01,3.126,0,0,0,0,22230,2800,0,25030,1.883,236543,65345,171198,17.793,88.921,3.124,2220,0.167,0.947,1841,379,30055,2.261,-2.174,2.405,150944,85599,65345,11.354,6.439,13.325,7.557,1841,379,0.138,0.029,16474,13581,1.239,1.022,1.454,1.199,1.235,1.397,0.445,-6.183,11.492,11.563,8.464,17.329,2021-06-22,2021-09-18,2021-12-15,2021-09-09,2022-01-22,2022-06-06,2021-08-09,2021-12-01,2022-03-25
"AS",2021-03-29,"AS",1018784,2.147,901209,2.246,182255,43600,20700,246555,24.201,2.898,0,0,0,0,21060,2100,0,23160,2.273,212464,50016,162448,20.855,86.173,2.806,3387,0.332,1.62,2707,680,26137,2.566,4.348,2.092,131240,81224,50016,12.882,7.973,14.563,9.013,2707,680,0.266,0.067,18423,7714,1.808,0.757,2.044,0.856,2.106,10.562,0.844,-8.013,30.694,34.979,23.061,45.281,2021-06-22,2021-09-18,2021-12-15,2021-09-09,2022-01-22,2022-06-06,2021-08-09,2021-12-01,2022-03-25
"IB",2021-03-29,"IB",1171543,2.469,986279,2.458,99810,49900,11100,160810,13.726,1.89,0,0,0,0,12870,2400,0,15270,1.303,150294,63084,87210,12.829,93.461,1.985,4812,0.411,3.308,3360,1452,25757,2.199,12.87,2.061,106689,43605,63084,9.107,3.722,10.817,4.421,3360,1452,0.287,0.124,18015,7742,1.538,0.661,1.827,0.785,3.252,14.192,3.445,9.894,-19.603,-23.451,-13.002,-32.179,2021-06-22,2021-09-18,2021-12-15,2021-09-09,2022-01-22,2022-06-06,2021-08-09,2021-12-01,2022-03-25
"CN",2021-03-29,"CN",2175952,4.586,1871033,4.662,209400,93000,22900,325300,14.95,3.823,0,0,0,0,23400,4600,0,28000,1.287,283444,87702,195742,13.026,87.133,3.744,7659,0.352,2.777,6526,1133,45732,2.102,13.184,3.66,185573,97871,87702,8.528,4.498,9.918,5.231,6526,1133,0.3,0.052,27239,18493,1.252,0.85,1.456,0.988,3.645,26.894,1.171,-2.355,-18.36,-16.638,-18.533,-18.039,2021-06-22,2021-09-18,2021-12-15,2021-09-09,2022-01-22,2022-06-06,2021-08-09,2021-12-01,2022-03-25
"CB",2021-03-29,"CB",582905,1.228,501384,1.249,88485,24800,9700,122985,21.099,1.445,0,0,0,0,9360,1200,0,10560,1.812,107067,21005,86062,18.368,87.057,1.414,1999,0.343,1.903,1720,279,17010,2.918,4.683,1.361,64036,43031,21005,10.986,7.382,12.772,8.582,1720,279,0.295,0.048,10129,6881,1.738,1.18,2.02,1.372,2.76,19.813,0.653,-11.725,15.147,17.671,4.948,34.512,2021-06-22,2021-09-18,2021-12-15,2021-09-09,2022-01-22,2022-06-06,2021-08-09,2021-12-01,2022-03-25
"CL",2021-03-29,"CL",2394918,5.047,2092873,5.215,413895,102400,47700,563995,23.55,6.629,0,0,0,0,49140,5100,0,54240,2.265,507694,130978,376716,21.199,90.017,6.705,10314,0.431,2.074,7569,2745,82382,3.44,1.62,6.593,319336,188358,130978,13.334,7.865,15.258,9,7570,2745,0.316,0.115,46799,35583,1.954,1.486,2.236,1.7,2.428,10.178,1.479,-7.797,32.851,31.345,27.379,43.313,2021-06-22,2021-09-18,2021-12-15,2021-09-09,2022-01-22,2022-06-06,2021-08-09,2021-12-01,2022-03-25
"CM",2021-03-29,"CM",2045221,4.31,1719964,4.286,270135,87400,31000,388535,18.997,4.566,0,0,0,0,30420,4300,0,34720,1.698,332205,102541,229664,16.243,85.502,4.388,9124,0.446,2.824,7842,1282,64263,3.142,9.846,5.143,217373,114832,102541,10.628,5.615,12.638,6.676,7843,1282,0.383,0.063,43121,21142,2.108,1.034,2.507,1.229,3.743,16.961,1.129,-2.274,1.81,5.94,1.528,2.314,2021-06-22,2021-09-18,2021-12-15,2021-09-09,2022-01-22,2022-06-06,2021-08-09,2021-12-01,2022-03-25
"CT",2021-03-29,"CT",7780479,16.397,6531658,16.276,923750,332500,105400,1361650,17.501,16.004,0,0,0,0,104130,16400,0,120530,1.549,1192191,369091,823100,15.323,87.555,15.746,32115,0.413,2.768,27452,4663,186142,2.392,5.322,14.897,780641,411550,369091,10.033,5.29,11.952,6.301,27452,4663,0.353,0.06,116630,69512,1.499,0.893,1.786,1.064,3.645,27.336,1.146,-18.359,-3.97,-2.397,-4.156,-3.608,2021-06-22,2021-09-18,2021-12-15,2021-09-09,2022-01-22,2022-06-06,2021-08-09,2021-12-01,2022-03-25
"VC",2021-03-29,"VC",5057353,10.658,4269305,10.639,518500,216100,57800,792400,15.668,9.313,0,0,0,0,67860,10700,0,78560,1.553,734893,244241,490652,14.531,92.743,9.706,32924,0.651,4.69,30548,2376,174626,3.453,17.069,13.975,489567,245326,244241,9.68,4.851,11.467,5.746,30549,2376,0.604,0.047,127637,46989,2.524,0.929,2.99,1.101,6.655,28.71,0.978,-6.018,-8.932,-12.62,-7.528,-11.607,2021-06-22,2021-09-18,2021-12-15,2021-09-09,2022-01-22,2022-06-06,2021-08-09,2021-12-01,2022-03-25
