"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-01-09,"AN",8464411,17.838,7062213,17.598,140295,0,0,140295,1.657,NA,0,0,0,0,140295,0,0,140295,1.657,73426,73426,0,0.867,NA,22.897,3981,0.047,5.733,3981,0,73426,0.867,5.733,22.897,73426,0,73426,NA,NA,NA,NA,3981,0,0.047,0,73426,0,0.867,0,1.04,0,5.733,5.733,NA,NA,28.361,NA,NA,NA
"AR",2021-01-09,"AR",1329391,2.802,1132764,2.823,23715,0,0,23715,1.784,NA,0,0,0,0,23715,0,0,23715,1.784,10295,10295,0,0.774,NA,3.21,351,0.026,3.53,351,0,10295,0.774,3.53,3.21,10295,0,10295,NA,NA,NA,NA,351,0,0.026,0,10295,0,0.774,0,0.909,0,3.53,3.53,NA,NA,14.561,NA,NA,NA
"AS",2021-01-09,"AS",1018784,2.147,901209,2.246,23720,0,0,23720,2.328,NA,0,0,0,0,23720,0,0,23720,2.328,18210,18210,0,1.787,NA,5.679,367,0.036,2.057,367,0,18210,1.787,2.057,5.679,18210,0,18210,NA,NA,NA,NA,367,0,0.036,0,18210,0,1.787,0,2.021,0,2.057,2.057,NA,NA,164.509,NA,NA,NA
"IB",2021-01-09,"IB",1171543,2.469,986279,2.458,12840,0,0,12840,1.096,NA,0,0,0,0,12840,0,0,12840,1.096,4389,4389,0,0.375,NA,1.369,132,0.011,3.101,132,0,4389,0.375,3.101,1.369,4389,0,4389,NA,NA,NA,NA,132,0,0.011,0,4389,0,0.375,0,0.445,0,3.101,3.101,NA,NA,-44.552,NA,NA,NA
"CN",2021-01-09,"CN",2175952,4.586,1871033,4.662,27660,0,0,27660,1.271,NA,0,0,0,0,27660,0,0,27660,1.271,10917,10917,0,0.502,NA,3.404,1345,0.062,14.051,1345,0,10917,0.502,14.051,3.404,10917,0,10917,NA,NA,NA,NA,1345,0,0.062,0,10917,0,0.502,0,0.583,0,14.051,14.051,NA,NA,-25.774,NA,NA,NA
"CB",2021-01-09,"CB",582905,1.228,501384,1.249,11850,0,0,11850,2.033,NA,0,0,0,0,11850,0,0,11850,2.033,4381,4381,0,0.752,NA,1.366,2047,0.351,87.704,2047,0,4381,0.752,87.704,1.366,4381,0,4381,NA,NA,NA,NA,2047,0,0.351,0,4381,0,0.752,0,0.874,0,87.704,87.704,NA,NA,11.238,NA,NA,NA
"CL",2021-01-09,"CL",2394918,5.047,2092873,5.215,51390,0,0,51390,2.146,NA,0,0,0,0,51390,0,0,51390,2.146,30952,30952,0,1.292,NA,9.652,2627,0.11,9.274,2627,0,30952,1.292,9.274,9.652,30952,0,30952,NA,NA,NA,NA,2627,0,0.11,0,30952,0,1.292,0,1.479,0,9.274,9.274,NA,NA,91.242,NA,NA,NA
"CM",2021-01-09,"CM",2045221,4.31,1719964,4.286,35550,0,0,35550,1.738,NA,0,0,0,0,35550,0,0,35550,1.738,14656,14656,0,0.717,NA,4.57,2276,0.111,18.384,2276,0,14656,0.717,18.384,4.57,14656,0,14656,NA,NA,NA,NA,2276,0,0.111,0,14656,0,0.717,0,0.852,0,18.384,18.384,NA,NA,6.032,NA,NA,NA
"CT",2021-01-09,"CT",7780479,16.397,6531658,16.276,120545,0,0,120545,1.549,NA,0,0,0,0,120545,0,0,120545,1.549,48686,48686,0,0.626,NA,15.182,9860,0.127,25.395,9860,0,48686,0.626,25.395,15.182,48686,0,48686,NA,NA,NA,NA,9860,0,0.127,0,48686,0,0.626,0,0.745,0,25.395,25.395,NA,NA,-7.41,NA,NA,NA
"VC",2021-01-09,"VC",5057353,10.658,4269305,10.639,61225,0,0,61225,1.211,NA,0,0,0,0,61225,0,0,61225,1.211,25868,25868,0,0.511,NA,8.067,9903,0.196,62.029,9903,0,25868,0.511,62.029,8.067,25868,0,25868,NA,NA,NA,NA,9903,0,0.196,0,25868,0,0.511,0,0.606,0,62.029,62.029,NA,NA,-24.31,NA,NA,NA
