"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_1dosis_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","personas_1dosis_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-02-12,"AN",8464411,17.838,7062213,17.598,475110,34500,36300,545910,6.449,18.729,0,0,0,0,74880,34500,19700,129080,1.525,431642,78180,353462,5.099,79.068,17.814,16627,0.196,4.006,68160,0.805,-1.74,15.673,254911,78180,176731,3.012,2.088,0.924,3.61,2.502,1.107,7983,8644,0.094,0.102,-661,23122,45038,0.273,0.532,0.327,0.638,-21916,3.233,20.22,5.143,-10.165,-0.135,4.995,0.467,-0.949
"AR",2021-02-12,"AR",1329391,2.802,1132764,2.823,81045,5400,6300,92745,6.977,3.182,0,0,0,0,12870,5400,3400,21670,1.63,88297,16979,71318,6.642,95.204,3.644,3810,0.287,4.51,15641,1.177,-15.491,3.597,52638,16979,35659,3.96,2.682,1.277,4.647,3.148,1.499,1137,2673,0.086,0.201,-1536,3470,12171,0.261,0.916,0.306,1.074,-8701,2.208,-31.382,8.103,-9.516,30.05,13.562,32.088,27.23
"AS",2021-02-12,"AS",1018784,2.147,901209,2.246,83975,4200,6300,94475,9.273,3.241,0,0,0,0,14040,4200,3400,21640,2.124,78446,12554,65892,7.7,83.034,3.237,1278,0.125,1.656,9820,0.964,-17.25,2.258,45500,12554,32946,4.466,3.234,1.232,5.049,3.656,1.393,1038,240,0.102,0.024,798,5614,4206,0.551,0.413,0.623,0.467,1408,2.335,15.254,0.734,-39.88,50.769,50.955,48.966,53.416
"IB",2021-02-12,"IB",1171543,2.469,986279,2.458,42480,4800,3200,50480,4.309,1.732,0,0,0,0,7020,4800,1700,13520,1.154,40624,7258,33366,3.468,80.475,1.677,1655,0.141,4.247,9128,0.779,-4.946,2.099,23941,7258,16683,2.044,1.424,0.62,2.427,1.692,0.736,548,1107,0.047,0.094,-559,2367,6761,0.202,0.577,0.24,0.686,-4394,2.343,21.012,7.107,-11.586,-32.078,-29.85,-31.821,-32.448
"CN",2021-02-12,"CN",2175952,4.586,1871033,4.662,93570,8900,7000,109470,5.031,3.756,0,0,0,0,14040,8900,3800,26740,1.229,99316,17758,81558,4.564,90.724,4.099,12849,0.591,14.86,19477,0.895,74.948,4.479,58537,17758,40779,2.69,1.874,0.816,3.129,2.179,0.949,2037,10812,0.094,0.497,-8775,2747,16730,0.126,0.769,0.147,0.894,-13983,3.605,92.637,36.08,72.35,-10.619,-18.099,-10.274,-11.101
"CB",2021-02-12,"CB",582905,1.228,501384,1.249,39345,2400,2900,44645,7.659,1.532,0,0,0,0,5850,2400,1600,9850,1.69,39707,4751,34956,6.812,88.939,1.639,1490,0.256,3.899,9843,1.689,-3.764,2.263,22229,4751,17478,3.813,2.998,0.815,4.434,3.486,0.948,271,1219,0.046,0.209,-948,1171,8672,0.201,1.488,0.234,1.73,-7501,1.234,7.333,7.497,-5.089,33.469,24.756,27.185,42.22
"CL",2021-02-12,"CL",2394918,5.047,2092873,5.215,177555,9800,13500,200855,8.387,6.891,0,0,0,0,28080,9800,7300,45180,1.886,178831,27965,150866,7.467,89.035,7.38,6145,0.257,3.558,27823,1.162,-17.756,6.398,103398,27965,75433,4.317,3.15,1.168,4.94,3.604,1.336,3156,2989,0.132,0.125,167,9055,18768,0.378,0.784,0.433,0.897,-9713,3.148,28.113,4.126,-29.871,46.225,36.537,43.996,49.431
"CM",2021-02-12,"CM",2045221,4.31,1719964,4.286,120375,8300,9200,137875,6.741,4.73,0,0,0,0,18720,8300,5000,32020,1.566,117671,34291,83380,5.753,85.346,4.856,4034,0.197,3.55,15638,0.765,-3.967,3.596,75981,34291,41690,3.715,2.038,1.677,4.418,2.424,1.994,535,3499,0.026,0.171,-2964,4293,11345,0.21,0.555,0.25,0.66,-7052,0.709,-25.778,9.162,8.048,12.668,9.745,23.916,-3.321
"CT",2021-02-12,"CT",7780479,16.397,6531658,16.276,410120,31800,31400,473320,6.083,16.239,0,0,0,0,64350,31800,17100,113250,1.456,376519,72337,304182,4.839,79.549,15.539,18644,0.24,5.21,67824,0.872,-5.86,15.596,224428,72337,152091,2.885,1.955,0.93,3.436,2.329,1.107,12632,6012,0.162,0.077,6620,23610,44214,0.303,0.568,0.361,0.677,-20604,5.964,33.458,4.116,-18.657,-5.233,-0.964,-3.769,-7.258
"VC",2021-02-12,"VC",5057353,10.658,4269305,10.639,207280,20600,15700,243580,4.816,8.357,0,0,0,0,31590,20600,8700,60890,1.204,214010,29144,184866,4.232,87.86,8.832,5768,0.114,2.77,31785,0.628,-10.435,7.309,121577,29144,92433,2.404,1.828,0.576,2.848,2.165,0.683,4095,1673,0.081,0.033,2422,14929,16856,0.295,0.333,0.35,0.395,-1927,3.486,18.786,1.843,-26.457,-17.133,-21.589,-19.813,-13.283
