"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"EX",2021-03-24,"EX",1063987,2.242,911213,2.271,160955,45400,17800,224155,21.067,2.635,17550,2200,0,19750,17550,2200,0,19750,1.856,174734,39578,135156,16.423,77.952,2.639,3255,0.306,1.898,1268,1987,17992,1.691,-12.028,2.358,107156,67578,39578,10.071,6.351,11.76,7.416,1268,1987,0.119,0.187,7883,10109,0.741,0.95,0.865,1.109,1.197,-9.318,3.029,-14.032,17.707,17.529,10.017,32.395
"GA",2021-03-24,"GA",2701819,5.694,2362643,5.887,369835,115500,41400,526735,19.496,6.191,56160,5700,0,61860,56160,5700,0,61860,2.29,405300,144624,260676,15.001,76.946,6.122,13166,0.487,3.358,6373,6793,44998,1.665,8.265,5.897,274962,130338,144624,10.177,4.824,11.638,5.517,6373,6793,0.236,0.251,16730,28268,0.619,1.046,0.708,1.196,2.373,20.995,5.498,1.918,7.517,8.728,11.175,0.563
"RI",2021-03-24,"RI",319914,0.674,270788,0.675,45695,13600,4800,64095,20.035,0.753,4680,700,0,5380,4680,700,0,5380,1.682,51877,15177,36700,16.216,80.938,0.784,925,0.289,1.815,124,801,4133,1.292,1.523,0.542,33527,18350,15177,10.48,5.736,12.381,6.777,124,801,0.039,0.25,402,3731,0.126,1.166,0.148,1.378,0.371,-30.69,4.564,6.875,16.32,11.721,14.485,19.575
"MD",2021-03-24,"MD",6779888,14.288,5695623,14.193,753405,289800,85200,1128405,16.643,13.262,85410,14300,0,99710,85410,14300,0,99710,1.471,888776,351226,537550,13.109,78.764,13.425,27748,0.409,3.223,8195,19553,85577,1.262,24.499,11.216,620001,268775,351226,9.145,3.964,10.886,4.719,8195,19553,0.121,0.288,20354,65223,0.3,0.962,0.357,1.145,1.339,9.096,7.846,30.238,-6.04,-7.181,-0.098,-17.365
"MC",2021-03-24,"MC",1511251,3.185,1237479,3.084,179735,64500,19800,264035,17.471,3.103,17550,3200,0,20750,17550,3200,0,20750,1.373,204679,66259,138420,13.544,77.52,3.092,5111,0.338,2.561,2042,3069,19674,1.302,3.996,2.578,135469,69210,66259,8.964,4.58,10.947,5.593,2042,3069,0.135,0.203,9062,10612,0.6,0.702,0.732,0.858,1.53,-15.765,4.64,30.049,-2.92,-2.575,-2.076,-4.524
"NC",2021-03-24,"NC",661197,1.393,552935,1.378,86145,28200,9700,124045,18.761,1.458,9360,1400,0,10760,9360,1400,0,10760,1.627,102407,38359,64048,15.488,82.556,1.547,2361,0.357,2.36,1457,904,14651,2.216,7.926,1.92,70383,32024,38359,10.645,4.843,12.729,5.792,1457,904,0.22,0.137,11443,3208,1.731,0.485,2.07,0.58,2.114,7.104,2.905,10.965,11.055,4.666,16.288,0.959
"PV",2021-03-24,"PV",2220504,4.68,1898123,4.73,275940,94900,30800,401640,18.088,4.72,37440,4700,0,42140,37440,4700,0,42140,1.898,289725,132919,156806,13.048,72.135,4.376,12270,0.553,4.422,9380,2890,40939,1.844,9.777,5.365,211322,78403,132919,9.517,3.531,11.133,4.131,9380,2890,0.422,0.13,30937,10002,1.393,0.45,1.63,0.527,4.645,12.888,3.827,1.153,-6.496,0.855,3.965,-26.391
"CE",2021-03-24,"CE",84202,0.177,66158,0.165,6660,3700,900,11260,13.373,0.132,1170,200,0,1370,1170,200,0,1370,1.627,9457,4325,5132,11.231,83.988,0.143,25,0.03,0.265,1,24,179,0.213,16.234,0.023,6891,2566,4325,8.184,3.047,10.416,3.879,1,24,0.001,0.029,146,33,0.173,0.039,0.221,0.05,0.015,0.69,0.944,266.667,-19.209,-25.424,-10.596,-36.481
"ML",2021-03-24,"ML",87076,0.184,66178,0.165,6660,3700,800,11160,12.816,0.131,2340,200,0,2540,2340,200,0,2540,2.917,9074,4300,4774,10.421,81.308,0.137,137,0.157,1.533,137,0,1389,1.595,10.677,0.182,6687,2387,4300,7.679,2.741,10.105,3.607,137,0,0.157,0,1373,16,1.577,0.018,2.075,0.024,2.092,10.905,0,-5.882,-25.543,-28.804,-16.113,-42.86
"FFAA",2021-03-24,"FFAA",NA,NA,NA,NA,19500,33100,0,52600,NA,0.618,19500,33100,0,52600,19500,33100,0,52600,NA,15777,6461,9316,NA,29.994,0.238,15777,NA,Inf,11119,4658,15777,NA,Inf,2.068,11119,4658,6461,NA,NA,NA,NA,11119,4658,NA,NA,11119,4658,NA,NA,NA,NA,Inf,Inf,Inf,Inf,NA,NA,NA,NA
"ES",2021-03-24,"ES",47450795,100,40129822,100,5797545,2060500,650400,8508445,17.931,100,691080,133100,0,824180,691080,133100,0,824180,1.737,6620093,2067627,4552466,13.951,77.806,100,210897,0.444,3.291,91262,119635,763008,1.608,14.398,100,4343860,2276233,2067627,9.154,4.797,10.825,5.672,91262,119635,0.192,0.252,291390,471618,0.614,0.994,0.726,1.175,2.146,21.963,5.547,10.175,0,0,0,0
