"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-01-23,"AN",8464411,17.838,7062213,17.598,244620,0,6800,251420,2.97,18.678,0,0,0,0,35100,0,0,35100,0.415,215280,170475,44805,2.543,85.626,18.095,5514,0.065,2.629,3957,1557,71667,0.847,2.311,18.97,192878,22403,170475,2.279,0.265,2.731,0.317,3958,1557,0.047,0.018,49442,22225,0.584,0.263,0.7,0.315,2.095,0.488,7.469,6.615,1.441,4.709,-2.98,67.722
"AR",2021-01-23,"AR",1329391,2.802,1132764,2.823,41265,0,1200,42465,3.194,3.155,0,0,0,0,5850,0,0,5850,0.44,41704,37336,4368,3.137,98.208,3.505,417,0.031,1.01,398,19,17580,1.322,-0.498,4.653,39520,2184,37336,2.973,0.164,3.489,0.193,398,19,0.03,0.001,15396,2184,1.158,0.164,1.359,0.193,1.017,-0.69,0.878,0.878,25.089,12.598,26.564,3.797
"AS",2021-01-23,"AS",1018784,2.147,901209,2.246,44195,0,1200,45395,4.456,3.372,0,0,0,0,8775,0,0,8775,0.861,42285,27130,15155,4.151,93.149,3.554,820,0.08,1.978,94,726,10263,1.007,0.44,2.717,34708,7577,27131,3.407,0.744,3.851,0.841,94,726,0.009,0.071,2753,7510,0.27,0.737,0.305,0.833,0.272,-18.236,10.597,9.619,65.533,57.056,45.04,370.886
"IB",2021-01-23,"IB",1171543,2.469,986279,2.458,22590,0,600,23190,1.979,1.723,0,0,0,0,8450,0,0,8450,0.721,21027,15672,5355,1.795,90.673,1.767,528,0.045,2.576,510,18,10200,0.871,-8.38,2.7,18349,2678,15671,1.566,0.229,1.86,0.272,510,18,0.044,0.002,7573,2626,0.646,0.224,0.768,0.266,2.859,-10.622,0.677,-1.278,-28.433,-30.215,-33.333,44.937
"CN",2021-01-23,"CN",2175952,4.586,1871033,4.662,46185,0,1300,47485,2.182,3.528,0,0,0,0,4875,0,0,4875,0.224,48082,41600,6482,2.21,101.257,4.041,1014,0.047,2.154,638,376,13556,0.623,-17.018,3.588,44841,3241,41600,2.061,0.149,2.397,0.173,638,376,0.029,0.017,10424,3132,0.479,0.144,0.557,0.167,1.443,-22.619,13.124,9.319,-11.884,-23.07,-12.261,-5.696
"CB",2021-01-23,"CB",582905,1.228,501384,1.249,20625,0,500,21125,3.624,1.569,0,0,0,0,2925,0,0,2925,0.502,20462,19980,482,3.51,96.862,1.72,0,0,0,0,0,4795,0.823,-17.654,1.269,20221,241,19980,3.469,0.041,4.033,0.048,0,0,0,0,4554,241,0.781,0.041,0.908,0.048,0,-18.416,0,0,40.065,27.769,47.68,-74.051
"CL",2021-01-23,"CL",2394918,5.047,2092873,5.215,93315,0,2500,95815,4.001,7.118,0,0,0,0,16575,0,0,16575,0.692,88932,74457,14475,3.713,92.816,7.475,2562,0.107,2.966,1384,1178,26965,1.126,0.022,7.137,81695,7238,74457,3.411,0.302,3.903,0.346,1385,1178,0.058,0.049,19769,7197,0.825,0.301,0.945,0.344,1.725,-5.407,19.439,18.762,48.108,41.034,45.211,91.139
"CM",2021-01-23,"CM",2045221,4.31,1719964,4.286,61875,0,1700,63575,3.108,4.723,0,0,0,0,8775,0,0,8775,0.429,58483,55020,3463,2.859,91.991,4.916,1452,0.071,2.546,1314,138,23170,1.133,-0.224,6.133,56752,1731,55021,2.775,0.085,3.3,0.101,1314,138,0.064,0.007,21439,1731,1.048,0.085,1.246,0.101,2.37,-0.878,8.663,8.663,14.06,9.582,18.135,-46.203
"CT",2021-01-23,"CT",7780479,16.397,6531658,16.276,211220,0,5800,217020,2.789,16.122,0,0,0,0,31200,0,0,31200,0.401,177024,166575,10449,2.275,81.57,14.879,3877,0.05,2.239,2753,1124,46948,0.603,-7.162,12.427,171799,5225,166574,2.208,0.067,2.63,0.08,2753,1124,0.035,0.014,41779,5169,0.537,0.066,0.64,0.079,1.629,-10.093,27.408,26.042,-9.258,-1.677,-6.003,-57.595
"VC",2021-01-23,"VC",5057353,10.658,4269305,10.639,109000,0,2900,111900,2.213,8.313,0,0,0,0,17550,0,0,17550,0.347,103767,95227,8540,2.052,92.732,8.722,341,0.007,0.33,210,131,14584,0.288,-11.607,3.86,99497,4270,95227,1.967,0.084,2.331,0.1,210,131,0.004,0.003,10365,4219,0.205,0.083,0.243,0.099,0.212,-16.141,3.165,1.933,-18.165,-22.002,-16.262,-46.835
