"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega_janssen","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
"AN",2021-05-04,"AN",8464411,17.838,7062213,17.598,2185650,951000,282000,48650,3467300,40.963,16.439,278460,281300,33500,593260,278460,281300,33500,615760,7.275,2976189,1144925,1831264,35.161,85.836,17.074,105188,1.243,3.664,65521,39667,401897,4.748,17.184,16.497,2083113,915632,1167481,24.61,10.817,29.497,12.965,68084,39667,0.804,0.469,217324,207129,2.568,2.447,3.077,2.933,3.379,22.263,4.528,11.838,-4.283,-7.843,-5.684,-1.341,2021-05-13,2021-07-01,2021-08-18,2021-06-26,2021-08-21,2021-10-16,2021-06-13,2021-07-31,2021-09-16
"AR",2021-05-04,"AR",1329391,2.802,1132764,2.823,444915,149400,58700,7600,660615,49.693,3.132,51480,44200,6900,102580,51480,44200,6900,106080,7.98,545969,225725,320244,41.069,82.646,3.132,9545,0.718,1.779,7540,2005,77490,5.829,3.423,3.181,393630,160122,233508,29.61,12.045,34.75,14.136,8236,2005,0.62,0.151,49928,31271,3.756,2.352,4.408,2.761,2.137,4.334,1.268,3.915,11.777,11.777,13.479,9.86,2021-05-13,2021-07-01,2021-08-18,2021-06-26,2021-08-21,2021-10-16,2021-06-13,2021-07-31,2021-09-16
"AS",2021-05-04,"AS",1018784,2.147,901209,2.246,419765,114600,53800,5850,594015,58.306,2.816,46800,34000,6200,87000,46800,34000,6200,89700,8.805,506039,163067,342972,49.671,85.19,2.903,-16001,-1.571,-3.065,-17828,1827,69347,6.807,-25.734,2.847,340151,171486,168665,33.388,16.832,37.744,19.028,-17747,1827,-1.742,0.179,31915,40767,3.133,4.002,3.541,4.524,-4.959,-41.866,1.077,-2.848,35.212,31.16,27.958,53.521,2021-05-13,2021-07-01,2021-08-18,2021-06-26,2021-08-21,2021-10-16,2021-06-13,2021-07-31,2021-09-16
"IB",2021-05-04,"IB",1171543,2.469,986279,2.458,240210,131500,32000,6700,410410,35.032,1.946,25740,39000,4100,68840,32760,39000,4100,78960,6.74,339804,141650,198154,29.005,82.796,1.949,6923,0.591,2.08,3251,3672,40713,3.475,13.019,1.671,244432,99077,145355,20.864,8.457,24.783,10.046,3270,3672,0.279,0.313,17056,23659,1.456,2.019,1.729,2.399,1.356,8.388,3.849,16.581,-21.061,-21.183,-20.04,-22.866,2021-05-13,2021-07-01,2021-08-18,2021-06-26,2021-08-21,2021-10-16,2021-06-13,2021-07-31,2021-09-16
"CN",2021-05-04,"CN",2175952,4.586,1871033,4.662,486690,244500,62500,12500,806190,37.05,3.822,66690,72400,7800,146890,66690,77100,14700,164290,7.55,636081,273169,362912,29.232,78.9,3.649,18850,0.866,3.054,14445,4405,67553,3.105,19.461,2.773,463233,181456,281777,21.289,8.339,24.758,9.698,15045,4405,0.691,0.202,33788,37076,1.553,1.704,1.806,1.982,3.357,35.984,2.488,5.267,-20.432,-16.659,-18.411,-23.942,2021-05-13,2021-07-01,2021-08-18,2021-06-26,2021-08-21,2021-10-16,2021-06-13,2021-07-31,2021-09-16
"CB",2021-05-04,"CB",582905,1.228,501384,1.249,198465,65400,25500,3300,292665,50.208,1.388,22230,19400,3000,44630,22230,19400,3000,46130,7.914,235771,89215,146556,40.448,80.56,1.353,-8863,-1.52,-3.623,-6521,-2342,33287,5.711,-30.081,1.366,163196,73278,89918,27.997,12.571,32.549,14.615,-6520,-2342,-1.119,-0.402,18090,15889,3.103,2.726,3.608,3.169,-3.842,-37.159,-3.097,-18.61,10.179,13.029,7.297,14.657,2021-05-13,2021-07-01,2021-08-18,2021-06-26,2021-08-21,2021-10-16,2021-06-13,2021-07-31,2021-09-16
"CL",2021-05-04,"CL",2394918,5.047,2092873,5.215,982515,269100,128400,13800,1393815,58.199,6.608,105300,79600,14700,199600,105300,79600,14700,206000,8.602,1133971,421975,711996,47.349,81.357,6.506,30785,1.285,2.791,20785,10000,159082,6.642,9.265,6.53,786796,355998,430798,32.853,14.865,37.594,17.01,21386,10000,0.893,0.418,92985,73389,3.883,3.064,4.443,3.507,2.794,10.395,2.89,6.958,28.908,30.929,25.907,35.58,2021-05-13,2021-07-01,2021-08-18,2021-06-26,2021-08-21,2021-10-16,2021-06-13,2021-07-31,2021-09-16
"CM",2021-05-04,"CM",2045221,4.31,1719964,4.286,619965,228800,81200,11700,941665,46.042,4.464,67860,67000,9300,144160,67860,67000,9300,149560,7.313,759297,305099,454198,37.125,80.633,4.356,3914,0.191,0.518,3398,516,99687,4.874,-2.513,4.092,537563,227099,310464,26.284,11.104,31.254,13.204,3543,516,0.173,0.025,67985,35115,3.324,1.717,3.953,2.042,0.663,-3.352,0.228,-0.278,1.067,3.573,0.732,1.277,2021-05-13,2021-07-01,2021-08-18,2021-06-26,2021-08-21,2021-10-16,2021-06-13,2021-07-31,2021-09-16
"CT",2021-05-04,"CT",7780479,16.397,6531658,16.276,2160440,874100,285700,44700,3364940,43.248,15.953,272610,258600,34400,565610,272610,258600,34400,586310,7.536,2768664,1084484,1684180,35.585,82.28,15.884,40185,0.516,1.473,30074,10111,395910,5.089,3.665,16.252,1948945,842090,1106855,25.049,10.823,29.838,12.892,38081,10111,0.489,0.13,207346,205611,2.665,2.643,3.174,3.148,1.993,7.511,1.215,1.576,-3.129,-2.708,-4.001,-1.286,2021-05-13,2021-07-01,2021-08-18,2021-06-26,2021-08-21,2021-10-16,2021-06-13,2021-07-31,2021-09-16
"VC",2021-05-04,"VC",5057353,10.658,4269305,10.639,1323460,568100,174300,29000,2094860,41.422,9.932,187200,168100,22700,378000,187200,168100,22700,391400,7.739,1723087,688083,1035004,34.071,82.253,9.885,23642,0.467,1.391,13433,10209,215004,4.251,-10.471,8.826,1221939,517502,704437,24.162,10.233,28.621,12.121,19421,10209,0.384,0.202,105750,121197,2.091,2.396,2.477,2.839,1.615,-19.387,2.012,3.879,-7.253,-6.812,-7.4,-6.667,2021-05-13,2021-07-01,2021-08-18,2021-06-26,2021-08-21,2021-10-16,2021-06-13,2021-07-31,2021-09-16
"EX",2021-05-04,"EX",1063987,2.242,911213,2.271,362195,119400,46000,6100,533695,50.16,2.53,39780,35400,5200,80380,39780,35400,5200,83180,7.818,457230,162908,294322,42.973,85.673,2.623,-13399,-1.259,-2.847,-8907,-4492,56716,5.331,-22.532,2.328,313681,147161,166520,29.482,13.831,34.425,16.15,-8625,-4492,-0.811,-0.422,29633,30695,2.785,2.885,3.252,3.369,-2.676,-26.231,-2.962,-15.608,16.994,12.846,12.988,26.149,2021-05-13,2021-07-01,2021-08-18,2021-06-26,2021-08-21,2021-10-16,2021-06-13,2021-07-31,2021-09-16
"GA",2021-05-04,"GA",2701819,5.694,2362643,5.887,1010995,303700,129800,15550,1460045,54.039,6.922,124020,89800,16500,230320,124020,89800,16500,237520,8.791,1200843,420425,780418,44.446,82.247,6.889,18434,0.682,1.559,12213,6221,198783,7.357,1.1,8.16,818614,390209,428405,30.299,14.442,34.648,16.516,14460,6221,0.535,0.23,75822,127697,2.806,4.726,3.209,5.405,1.798,14.812,1.62,-4.493,20.987,21.567,16.119,31.722,2021-05-13,2021-07-01,2021-08-18,2021-06-26,2021-08-21,2021-10-16,2021-06-13,2021-07-31,2021-09-16
