"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega_janssen","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
"AN",2021-03-18,"AN",8464411,17.838,7062213,17.598,899820,343800,111200,0,1354820,16.006,17.631,0,0,0,0,79560,40500,37900,157960,1.866,1163449,349931,813518,13.745,85.875,19.412,27459,0.324,2.417,3906,23553,162451,1.919,-1.125,19.781,756690,406759,349931,8.94,4.806,10.715,5.76,3906,23553,0.046,0.278,48433,114018,0.572,1.347,0.686,1.614,0.519,-13.748,6.146,5.43,8.824,-1.16,3.305,20.875,2021-08-27,2022-01-25,2022-06-26,2021-10-29,2022-04-20,2022-10-10,2021-09-19,2022-02-12,2022-07-09
"AR",2021-03-18,"AR",1329391,2.802,1132764,2.823,165285,54000,21700,0,240985,18.127,3.136,0,0,0,0,17550,6400,9100,33050,2.486,194938,61090,133848,14.664,80.892,3.253,6827,0.514,3.629,2579,4248,28587,2.15,-3.712,3.481,128014,66924,61090,9.63,5.034,11.301,5.908,2579,4248,0.194,0.32,14891,13696,1.12,1.03,1.315,1.209,2.056,-19.499,6.778,22.384,16.096,11.92,11.278,26.61,2021-08-27,2022-01-25,2022-06-26,2021-10-29,2022-04-20,2022-10-10,2021-09-19,2022-02-12,2022-07-09
"AS",2021-03-18,"AS",1018784,2.147,901209,2.246,161195,41500,20700,0,223395,21.928,2.907,0,0,0,0,16380,4900,8000,29280,2.874,177134,40928,136206,17.387,79.292,2.956,5479,0.538,3.192,787,4692,31301,3.072,1.396,3.811,109031,68103,40928,10.702,6.685,12.098,7.557,787,4692,0.077,0.461,11408,19893,1.12,1.953,1.266,2.207,0.727,-14.457,7.399,13.454,37.68,35.398,23.665,68.134,2021-08-27,2022-01-25,2022-06-26,2021-10-29,2022-04-20,2022-10-10,2021-09-19,2022-02-12,2022-07-09
"IB",2021-03-18,"IB",1171543,2.469,986279,2.458,86940,47500,11100,0,145540,12.423,1.894,0,0,0,0,10530,5600,4600,20730,1.769,117035,51345,65690,9.99,80.414,1.953,4146,0.354,3.673,2882,1264,21600,1.844,-9.186,2.63,84190,32845,51345,7.186,2.804,8.536,3.33,2882,1264,0.246,0.108,15250,6350,1.302,0.542,1.546,0.644,3.545,-10.241,4.002,-6.549,-20.899,-23.289,-16.963,-29.477,2021-08-27,2022-01-25,2022-06-26,2021-10-29,2022-04-20,2022-10-10,2021-09-19,2022-02-12,2022-07-09
"CN",2021-03-18,"CN",2175952,4.586,1871033,4.662,186000,88400,22900,0,297300,13.663,3.869,0,0,0,0,18720,10400,8600,37720,1.733,228382,82260,146122,10.496,76.819,3.811,4571,0.21,2.042,844,3727,34018,1.563,-7.91,4.142,155321,73061,82260,7.138,3.358,8.301,3.905,844,3727,0.039,0.171,19439,14579,0.893,0.67,1.039,0.779,0.546,-21.012,5.375,18.24,-16.899,-15.635,-17.518,-15.543,2021-08-27,2022-01-25,2022-06-26,2021-10-29,2022-04-20,2022-10-10,2021-09-19,2022-02-12,2022-07-09
"CB",2021-03-18,"CB",582905,1.228,501384,1.249,79125,23600,9700,0,112425,19.287,1.463,0,0,0,0,8190,2800,3800,14790,2.537,85106,22350,62756,14.6,75.7,1.42,3533,0.606,4.331,220,3313,12569,2.156,10.838,1.53,53728,31378,22350,9.217,5.383,10.716,6.258,220,3313,0.038,0.568,3815,8754,0.654,1.502,0.761,1.746,0.411,-23.023,11.805,37.124,15.635,19.137,6.506,35.387,2021-08-27,2022-01-25,2022-06-26,2021-10-29,2022-04-20,2022-10-10,2021-09-19,2022-02-12,2022-07-09
"CL",2021-03-18,"CL",2394918,5.047,2092873,5.215,364755,97300,47700,0,509755,21.285,6.634,0,0,0,0,39780,11500,20400,71680,2.993,389307,129787,259520,16.256,76.371,6.496,0,0,0,0,0,49315,2.059,-22.959,6.005,259547,129760,129787,10.837,5.418,12.401,6.2,0,0,0,0,29593,19722,1.236,0.823,1.414,0.942,0,-26.38,0,-17.183,28.71,31.444,25.225,36.268,2021-08-27,2022-01-25,2022-06-26,2021-10-29,2022-04-20,2022-10-10,2021-09-19,2022-02-12,2022-07-09
"CM",2021-03-18,"CM",2045221,4.31,1719964,4.286,239715,83100,31000,0,353815,17.3,4.604,0,0,0,0,24570,9800,12400,46770,2.287,254487,81301,173186,12.443,71.927,4.246,9217,0.451,3.758,5187,4030,30556,1.494,-7.51,3.721,167894,86593,81301,8.209,4.234,9.761,5.035,5187,4030,0.254,0.197,19979,10577,0.977,0.517,1.162,0.615,3.188,-18.162,4.881,22.646,-1.485,6.821,-5.142,6.489,2021-08-27,2022-01-25,2022-06-26,2021-10-29,2022-04-20,2022-10-10,2021-09-19,2022-02-12,2022-07-09
"CT",2021-03-18,"CT",7780479,16.397,6531658,16.276,819620,316100,105400,0,1241120,15.952,16.151,0,0,0,0,84240,37200,42000,163440,2.101,915213,393497,521716,11.763,73.741,15.27,0,0,0,0,0,79282,1.019,-24.838,9.654,654355,260858,393497,8.41,3.353,10.018,3.994,0,0,0,0,37037,42245,0.476,0.543,0.567,0.647,0,-35.08,0,-12.773,-6.873,-1.5,-2.82,-15.669,2021-08-27,2022-01-25,2022-06-26,2021-10-29,2022-04-20,2022-10-10,2021-09-19,2022-02-12,2022-07-09
"VC",2021-03-18,"VC",5057353,10.658,4269305,10.639,450640,205400,57800,0,713840,14.115,9.29,0,0,0,0,54990,24100,26100,105190,2.08,530413,176819,353594,10.488,74.304,8.85,43644,0.863,8.966,21579,22065,82017,1.622,64.475,9.987,353616,176797,176819,6.992,3.496,8.283,4.141,21579,22065,0.427,0.436,35607,46410,0.704,0.918,0.834,1.087,6.499,82.806,14.26,52.725,-16.964,-12.835,-19.205,-12.072,2021-08-27,2022-01-25,2022-06-26,2021-10-29,2022-04-20,2022-10-10,2021-09-19,2022-02-12,2022-07-09
"EX",2021-03-18,"EX",1063987,2.242,911213,2.271,143405,43200,17800,0,204405,19.211,2.66,0,0,0,0,14040,5100,6900,26040,2.447,156742,41804,114938,14.732,76.682,2.615,0,0,0,0,0,16556,1.556,-21.431,2.016,99273,57469,41804,9.33,5.401,10.895,6.307,0,0,0,0,7749,8807,0.728,0.828,0.85,0.967,0,-28.6,0,-13.817,16.637,18.644,7.811,35.84,2021-08-27,2022-01-25,2022-06-26,2021-10-29,2022-04-20,2022-10-10,2021-09-19,2022-02-12,2022-07-09
"GA",2021-03-18,"GA",2701819,5.694,2362643,5.887,313675,109800,41400,0,464875,17.206,6.05,0,0,0,0,45630,12900,21500,80030,2.962,370076,153576,216500,13.697,79.608,6.175,9774,0.362,2.713,3594,6180,70532,2.611,-0.716,8.588,261826,108250,153576,9.691,4.007,11.082,4.582,3594,6180,0.133,0.229,41612,28920,1.54,1.07,1.761,1.224,1.392,-9.72,6.055,15.916,8.447,6.252,11.983,0.78,2021-08-27,2022-01-25,2022-06-26,2021-10-29,2022-04-20,2022-10-10,2021-09-19,2022-02-12,2022-07-09
"RI",2021-03-18,"RI",319914,0.674,270788,0.675,41015,12900,4800,0,58715,18.353,0.764,0,0,0,0,4680,1500,2100,8280,2.588,48465,18257,30208,15.149,82.543,0.809,721,0.225,1.51,236,485,8034,2.511,-15.44,0.978,33361,15104,18257,10.428,4.721,12.32,5.578,236,485,0.074,0.152,5287,2747,1.653,0.859,1.952,1.014,0.712,-18.373,3.318,-9.16,20.03,13.353,20.499,18.737,2021-08-27,2022-01-25,2022-06-26,2021-10-29,2022-04-20,2022-10-10,2021-09-19,2022-02-12,2022-07-09
"MD",2021-03-18,"MD",6779888,14.288,5695623,14.193,667995,275500,85200,0,1028695,15.173,13.387,0,0,0,0,69030,32400,33900,135330,1.996,814603,394099,420504,12.015,79.188,13.592,11404,0.168,1.42,4704,6700,93929,1.385,-13.905,11.437,604351,210252,394099,8.914,3.101,10.611,3.691,4704,6700,0.069,0.099,70159,23770,1.035,0.351,1.232,0.417,0.784,-20.96,3.292,16.892,-4.871,-6.306,3.004,-22.007,2021-08-27,2022-01-25,2022-06-26,2021-10-29,2022-04-20,2022-10-10,2021-09-19,2022-02-12,2022-07-09
"MC",2021-03-18,"MC",1511251,3.185,1237479,3.084,162185,61300,19800,0,243285,16.098,3.166,0,0,0,0,14040,7200,6400,27640,1.829,185005,67809,117196,12.242,76.045,3.087,0,0,0,0,0,28660,1.896,-14.591,3.49,126407,58598,67809,8.364,3.877,10.215,4.735,0,0,0,0,22394,6266,1.482,0.415,1.81,0.506,0,-15.784,0,-10.036,-3.077,-0.597,-3.351,-2.49,2021-08-27,2022-01-25,2022-06-26,2021-10-29,2022-04-20,2022-10-10,2021-09-19,2022-02-12,2022-07-09
"NC",2021-03-18,"NC",661197,1.393,552935,1.378,76785,26800,9700,0,113285,17.133,1.474,0,0,0,0,7020,3200,3800,14020,2.12,90919,32281,58638,13.751,80.257,1.517,3163,0.478,3.604,2660,503,15860,2.399,21.878,1.931,61600,29319,32281,9.316,4.434,11.141,5.302,2660,503,0.402,0.076,11372,4488,1.72,0.679,2.057,0.812,4.513,26.327,1.746,11.892,8.902,5.815,7.65,11.519,2021-08-27,2022-01-25,2022-06-26,2021-10-29,2022-04-20,2022-10-10,2021-09-19,2022-02-12,2022-07-09
"PV",2021-03-18,"PV",2220504,4.68,1898123,4.73,238500,90200,30800,0,359500,16.19,4.678,0,0,0,0,30420,10600,14800,55820,2.514,254750,115104,139646,11.473,70.862,4.251,5964,0.269,2.397,4542,1422,54073,2.435,-8.097,6.584,184927,69823,115104,8.328,3.144,9.743,3.679,4542,1422,0.205,0.064,42125,11948,1.897,0.538,2.219,0.629,2.518,-7.839,2.079,-8.995,-9.167,-0.043,-3.767,-20.926,2021-08-27,2022-01-25,2022-06-26,2021-10-29,2022-04-20,2022-10-10,2021-09-19,2022-02-12,2022-07-09
"CE",2021-03-18,"CE",84202,0.177,66158,0.165,5490,3500,900,0,9890,11.746,0.129,0,0,0,0,0,400,300,700,0.831,9424,4342,5082,11.192,95.288,0.157,146,0.173,1.574,138,8,853,1.013,-16.043,0.104,6883,2541,4342,8.174,3.018,10.404,3.841,138,8,0.164,0.01,845,8,1.004,0.01,1.277,0.012,2.046,-8.747,0.316,-91.111,-11.299,-27.119,-5.547,-24.095,2021-08-27,2022-01-25,2022-06-26,2021-10-29,2022-04-20,2022-10-10,2021-09-19,2022-02-12,2022-07-09
"ML",2021-03-18,"ML",87076,0.184,66178,0.165,4320,3500,800,0,8620,9.899,0.112,0,0,0,0,0,400,200,600,0.689,7915,3157,4758,9.09,91.821,0.132,230,0.264,2.993,222,8,1064,1.222,-5.59,0.13,5536,2379,3157,6.358,2.732,8.365,3.595,222,8,0.255,0.009,707,357,0.812,0.41,1.068,0.539,4.178,-0.282,0.337,-14.593,-28.261,-39.13,-26.531,-31.288,2021-08-27,2022-01-25,2022-06-26,2021-10-29,2022-04-20,2022-10-10,2021-09-19,2022-02-12,2022-07-09
"FFAA",2021-03-18,"FFAA",NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-27,2022-01-25,2022-06-26,2021-10-29,2022-04-20,2022-10-10,2021-09-19,2022-02-12,2022-07-09
"ES",2021-03-18,"ES",47450795,100,40129822,100,5106465,1927400,650400,0,7684265,16.194,100,0,0,0,0,539370,226900,262800,1029070,2.169,5993363,2219737,3773626,12.631,77.995,100,136278,0.287,2.327,54080,82198,821257,1.731,-5.339,100,4106550,1886813,2219737,8.654,3.976,10.233,4.702,54080,82198,0.114,0.173,437702,383555,0.922,0.808,1.091,0.956,1.334,-14.311,4.555,7.506,0,0,0,0,2021-08-27,2022-01-25,2022-06-26,2021-10-29,2022-04-20,2022-10-10,2021-09-19,2022-02-12,2022-07-09
