"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN","DOSIS_DIARIAS_ENTREGADAS","DOSIS_DIARIAS_ENTREGADAS_PFIZER","DOSIS_DIARIAS_ENTREGADAS_MODERNA","DOSIS_DIARIAS_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_DIARIAS","PORC_PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_100HAB_DIARIAS","DOSIS_7D_ENTREGADAS","DOSIS_7D_ENTREGADAS_PFIZER","DOSIS_7D_ENTREGADAS_MODERNA","DOSIS_7D_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_7D","DOSIS_ADMIN_7D","PORC_PAUTA_COMPLETA_7D","DOSIS_ADMIN_100HAB_7D","DESV_DOSIS_ADMIN_7D","DESV_PORC_PAUTA_COMPLETA_7D"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,568710,74500,36300,679510,18.76,485673,71.5,198314,18.052,5.167,2.343,2.808,2.882,-0.665,0.688,0.907,5.738,1.196,133600,93600,0,40000,3837,16690,0.008,0.085,133600,93600,0,40000,38345,83959,0.081,0.177,-81.6390041493776,-83.2644628099173
"2","ARAGON","AR",1329391,1132764,1107658,2.802,2.823,2.827,96255,11700,6300,114255,3.154,96987,84.9,39674,3.605,12.574,2.984,3.502,3.582,26.531,25.584,25.393,7.296,28.67,21510,15210,0,6300,2046,3475,0.004,0.006,21510,15210,0,6300,10331,16776,0.022,0.035,-96.3692946058091,-95.4545454545455
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,98015,9000,6300,113315,3.128,83128,73.4,34568,3.09,45.709,3.393,3.836,3.903,43.859,37.536,36.643,8.16,43.907,18840,14040,0,4800,428,1187,0.001,0.027,18840,14040,0,4800,2272,8010,0.005,0.017,-98.2365145228216,-98.9669421487603
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,49500,10300,3200,63000,1.739,45348,72,19361,1.686,-29.555,1.653,1.963,2.011,-29.933,-29.613,-29.614,3.871,-31.732,12520,7020,0,5500,336,775,0.001,0.006,12520,7020,0,5500,4797,7663,0.01,0.016,-98.3402489626556,-97.9338842975207
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,111120,19200,7000,137320,3.791,109051,79.4,45239,4.053,-17.333,2.079,2.418,2.477,-11.853,-13.304,-13.299,5.012,-11.611,27850,17550,0,10300,1119,2304,0.002,0.012,27850,17550,0,10300,15272,22584,0.032,0.048,-95.0207468879668,-93.3884297520661
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,47535,5100,2900,55535,1.533,43913,79.1,19062,1.632,24.853,3.27,3.802,3.886,38.648,36.322,36.025,7.533,32.866,10890,8190,0,2700,62,699,0,0.001,10890,8190,0,2700,4669,7593,0.01,0.016,-98.3402489626556,-97.9338842975207
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,211485,21100,13500,246085,6.794,196196,79.7,81422,7.292,34.612,3.4,3.89,3.968,44.143,39.497,38.898,8.192,44.483,45230,33930,0,11300,1331,5815,0.003,0.035,45230,33930,0,11300,12077,28166,0.025,0.059,-93.8796680497925,-94.8347107438017
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,143775,18000,9200,170975,4.72,132722,77.6,55447,4.933,9.518,2.711,3.224,3.305,14.943,15.592,15.708,6.489,14.451,33100,23400,0,9700,2621,2950,0.006,0.009,33100,23400,0,9700,19916,23086,0.042,0.049,-94.9170124481328,-91.3223140495868
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,489680,68600,31400,589680,16.28,427525,72.5,168254,15.89,-0.715,2.163,2.576,2.641,-8.314,-7.635,-7.556,5.495,-3.089,116360,79560,0,36800,2150,11360,0.005,0.024,116360,79560,0,36800,29854,86796,0.063,0.183,-81.0165975103734,-86.9834710743802
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,247060,44500,15700,307260,8.483,228180,74.3,96040,8.481,-20.409,1.899,2.25,2.305,-19.486,-19.339,-19.299,4.512,-20.426,63680,39780,0,23900,481,3620,0.001,0.018,63680,39780,0,23900,6518,26197,0.014,0.055,-94.2946058091286,-97.1074380165289
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,88415,9300,5400,103115,2.847,82086,79.6,33415,3.051,26.975,3.141,3.667,3.753,33.152,31.489,31.401,7.715,36.066,19040,14040,0,5000,1062,2042,0.002,0.004,19040,14040,0,5000,4625,10752,0.01,0.023,-97.6141078838174,-97.9338842975207
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,153385,23800,9800,186985,5.162,138601,74.1,57397,5.152,-9.339,2.124,2.429,2.475,-9.931,-12.892,-13.338,5.13,-9.525,37370,24570,0,12800,14,945,0,0.025,37370,24570,0,12800,2793,24139,0.006,0.051,-94.7095435684647,-98.7603305785124
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,23465,2800,1400,27665,0.764,22032,79.6,8529,0.819,13.319,2.666,3.15,3.225,13.034,12.937,12.887,6.887,21.461,5010,3510,0,1500,6,356,0,0.001,5010,3510,0,1500,532,3062,0.001,0.006,-99.3775933609959,-99.7933884297521
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,398895,59800,25400,484095,13.365,354258,73.2,160202,13.167,-6.461,2.363,2.813,2.881,0.182,0.854,0.875,5.225,-7.846,97620,65520,0,32100,3520,7850,0.007,0.011,97620,65520,0,32100,44667,59643,0.094,0.126,-86.9294605809129,-80.5785123966942
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,103685,13300,6600,123585,3.412,93705,75.8,39879,3.483,7.124,2.639,3.223,3.316,11.88,15.551,16.074,6.2,9.356,23480,16380,0,7100,909,1178,0.002,0.01,23480,16380,0,7100,12080,14717,0.025,0.031,-96.7842323651452,-94.8347107438017
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,46365,5800,2900,55065,1.52,42492,77.2,16873,1.579,9.133,2.552,3.052,3.13,8.194,9.417,9.586,6.427,13.343,10120,7020,0,3100,811,1257,0.002,0.006,10120,7020,0,3100,3587,5815,0.008,0.012,-98.7551867219917,-98.3471074380165
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,127350,19600,7900,154850,4.275,101147,65.3,43281,3.759,-8.652,1.949,2.28,2.332,-17.36,-18.24,-18.375,4.555,-19.662,30390,19890,0,10500,1523,2858,0.003,0.012,30390,19890,0,10500,16982,25513,0.036,0.054,-94.3983402489627,-92.5619834710744
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,4320,800,400,5520,0.152,4111,74.5,969,0.153,-13.901,1.151,1.465,1.514,-51.208,-47.482,-46.981,4.882,-13.892,400,0,0,400,0,352,0,0.001,400,0,0,400,6,1834,0,0.004,-99.5850622406639,-100
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,3150,800,400,4350,0.12,3302,75.9,1254,0.123,-34.732,1.44,1.895,1.964,-38.942,-32.056,-31.248,3.792,-33.12,400,0,0,400,2,232,0,0.001,400,0,0,400,174,903,0,0.002,-99.7925311203319,-100
"20","FUERZAS ARMADAS","FFAA",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100
"21","ESPAÑA","ES",47450795,40129822,39180773,100,84.571,82.571,3012165,418000,192000,3622165,100,2690457,74.278,1119180,100,0,2.359,2.789,2.856,0,0,0,5.67,0,707410,483210,0,224200,22258,65945,0.047,0.294,707410,483210,0,224200,229497,457208,0.484,0.964,0,0
