"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN","DOSIS_DIARIAS_ENTREGADAS","DOSIS_DIARIAS_ENTREGADAS_PFIZER","DOSIS_DIARIAS_ENTREGADAS_MODERNA","DOSIS_DIARIAS_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_DIARIAS","PORC_PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_100HAB_DIARIAS","DOSIS_7D_ENTREGADAS","DOSIS_7D_ENTREGADAS_PFIZER","DOSIS_7D_ENTREGADAS_MODERNA","DOSIS_7D_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_7D","DOSIS_ADMIN_7D","PORC_PAUTA_COMPLETA_7D","DOSIS_ADMIN_100HAB_7D","DESV_DOSIS_ADMIN_7D","DESV_PORC_PAUTA_COMPLETA_7D"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,244620,0,6800,251420,18.678,226309,90,25516,18.286,4.707,0.301,0.361,0.371,61.267,63.465,63.819,2.674,2.511,0,0,0,0,4670,16543,0.01,0.085,35100,35100,0,0,24983,74905,0.053,0.158,-77.9329608938548,-70.8791208791209
"2","ARAGON","AR",1329391,1132764,1107658,2.802,2.823,2.827,41265,0,1200,42465,3.155,42539,100.2,2222,3.437,12.586,0.167,0.196,0.201,-10.583,-11.252,-11.387,3.2,22.687,0,0,0,0,57,1252,0,0.006,5850,5850,0,0,2222,17406,0.005,0.037,-94.8324022346369,-97.2527472527473
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,44195,0,1200,45395,3.372,43926,96.8,9030,3.549,57.072,0.886,1.002,1.02,374.171,353.331,350.388,4.312,65.312,0,0,0,0,2179,2461,0.005,0.027,8775,8775,0,0,8828,10354,0.019,0.022,-96.927374301676,-89.5604395604396
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,22590,0,600,23190,1.723,22083,95.2,2713,1.784,-30.225,0.232,0.275,0.282,23.886,24.452,24.449,1.885,-27.729,0,0,0,0,53,1584,0,0.006,5850,5850,0,0,2558,8333,0.005,0.018,-97.4860335195531,-97.2527472527473
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,46185,0,1300,47485,3.528,50110,105.5,3993,4.049,-23.079,0.184,0.213,0.219,-1.83,-3.446,-3.44,2.303,-11.704,0,0,0,0,1128,3042,0.002,0.012,4875,4875,0,0,3666,7997,0.008,0.017,-97.6256983240224,-95.6043956043956
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,20625,0,500,21125,1.569,20463,96.9,241,1.653,27.797,0.041,0.048,0.049,-77.882,-78.253,-78.3,3.511,34.598,0,0,0,0,0,1,0,0.001,2925,2925,0,0,241,2739,0.001,0.006,-99.1620111731844,-99.4505494505495
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,93315,0,2500,95815,7.118,94057,98.2,9593,7.6,41.034,0.401,0.458,0.467,114.286,107.379,106.489,3.927,50.58,0,0,0,0,3533,7687,0.007,0.035,16575,16575,0,0,9469,26978,0.02,0.057,-92.0391061452514,-89.010989010989
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,61875,0,1700,63575,4.723,61388,96.6,2008,4.96,9.58,0.098,0.117,0.12,-47.477,-47.18,-47.127,3.002,15.082,0,0,0,0,415,4357,0.001,0.009,8775,8775,0,0,2008,23067,0.004,0.049,-93.1564245810056,-97.8021978021978
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,211220,0,5800,217020,16.122,184778,85.1,7472,14.93,-1.676,0.096,0.114,0.117,-48.624,-48.243,-48.199,2.375,-8.944,0,0,0,0,3371,11631,0.007,0.024,31200,31200,0,0,7305,39705,0.015,0.084,-88.268156424581,-91.7582417582418
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,109000,0,2900,111900,8.313,104449,93.3,4532,8.44,-22.003,0.09,0.106,0.109,-52.06,-51.973,-51.949,2.065,-20.814,0,0,0,0,393,1023,0.001,0.018,17550,17550,0,0,4380,10754,0.009,0.023,-96.7877094972067,-95.0549450549451
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,39275,0,1000,40275,2.992,33125,82.2,638,2.677,33.451,0.06,0.07,0.072,-67.922,-68.322,-68.343,3.113,19.367,0,0,0,0,0,146,0,0.004,6825,6825,0,0,638,5512,0.001,0.012,-98.3240223463687,-99.4505494505495
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,66805,0,1800,68605,5.097,66873,97.5,8602,5.403,-10.492,0.318,0.364,0.371,70.323,64.723,63.881,2.475,-5.101,0,0,0,0,1398,1479,0.003,0.025,10725,10725,0,0,8452,10392,0.018,0.022,-96.927374301676,-90.1098901098901
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,11765,0,200,11965,0.889,9166,76.6,317,0.741,31.879,0.099,0.117,0.12,-46.99,-47.036,-47.059,2.865,9.853,0,0,0,0,0,199,0,0.001,2925,2925,0,0,317,1405,0.001,0.003,-99.5810055865922,-99.4505494505495
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,171915,0,4700,176615,13.12,165514,93.7,2634,13.374,-8.171,0.039,0.046,0.047,-79.216,-79.077,-79.072,2.441,-6.4,0,0,0,0,371,10736,0.001,0.011,24375,24375,0,0,2158,61024,0.005,0.129,-81.9832402234637,-97.2527472527473
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,45185,0,1200,46385,3.446,46444,100.1,4447,3.753,8.191,0.294,0.359,0.37,57.42,62.586,63.322,3.073,17.831,0,0,0,0,2361,4183,0.005,0.01,6825,6825,0,0,4447,12341,0.009,0.026,-96.3687150837989,-95.0549450549451
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,20625,0,500,21125,1.569,17053,80.7,809,1.378,12.66,0.122,0.146,0.15,-34.544,-33.805,-33.703,2.579,-1.114,0,0,0,0,2,743,0,0.006,2925,2925,0,0,809,5219,0.002,0.011,-98.463687150838,-98.9010989010989
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,55980,0,1400,57380,4.263,46124,80.4,3355,3.727,-8.917,0.151,0.177,0.181,-19.17,-20.031,-20.163,2.077,-20.358,0,0,0,0,311,4650,0.001,0.012,8775,8775,0,0,3355,20598,0.007,0.043,-93.9944134078212,-96.1538461538462
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,1980,0,200,2180,0.162,1692,77.6,373,0.137,-8.503,0.443,0.564,0.583,136.982,155.082,157.516,2.009,-22.955,0,0,0,0,0,51,0,0.001,975,975,0,0,344,711,0.001,0.001,-99.8603351955307,-99.4505494505495
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,1980,0,200,2180,0.162,1500,68.8,203,0.121,-11.984,0.233,0.307,0.318,24.717,38.783,40.432,1.723,-33.952,0,0,0,0,0,0,0,0.001,975,975,0,0,203,211,0,0,-100,-100
"20","FUERZAS ARMADAS","FFAA",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100
"21","ESPAÑA","ES",47450795,40129822,39180773,100,84.571,82.571,1310400,0,35700,1346100,100,1237593,91.939,88698,100,0,0.187,0.221,0.226,0,0,0,2.608,0,0,0,0,0,20242,71768,0.043,0.294,202800,202800,0,0,86383,339651,0.182,0.716,0,0
