"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,999270,361600,111200,1472070,17.301,1400384,95.1,504413,18.101,-3.009,5.959,7.142,7.331,6.945,8.402,8.637,16.544,1.471
"2","ARAGÓN","AR",1329391,1132764,1107658,2.802,2.823,2.827,187515,56800,21700,266015,3.126,241002,90.6,85878,3.115,11.58,6.46,7.581,7.753,15.931,15.063,14.888,18.129,11.189
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,182255,43600,20700,246555,2.898,216223,87.7,82779,2.795,34.968,8.125,9.185,9.347,45.817,39.408,38.503,21.224,30.17
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,99810,49900,11100,160810,1.89,154339,96,44332,1.995,-23.451,3.784,4.495,4.604,-32.091,-31.78,-31.782,13.174,-19.2
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,209400,93000,22900,325300,3.823,292317,89.9,100644,3.778,-16.632,4.625,5.379,5.51,-16.994,-18.361,-18.356,13.434,-17.606
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,88485,24800,9700,122985,1.445,109864,89.3,43235,1.42,17.707,7.417,8.623,8.813,33.109,30.875,30.591,18.848,15.598
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,413895,102400,47700,563995,6.629,507762,90,188388,6.563,31.338,7.866,9.001,9.18,41.167,36.617,36.03,21.202,30.036
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,270135,87400,31000,388535,4.566,340556,87.7,117527,4.402,5.95,5.746,6.833,7.006,3.126,3.708,3.812,16.651,2.127
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,923750,332500,105400,1361650,16.004,1219567,89.6,413857,15.764,-2.4,5.319,6.336,6.495,-4.542,-3.834,-3.753,15.675,-3.863
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,518500,216100,57800,792400,9.313,742020,93.6,246023,9.591,-12.619,4.865,5.763,5.905,-12.698,-12.54,-12.496,14.672,-10.012
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,160955,45400,17800,224155,2.635,209542,93.5,73603,2.708,17.507,6.918,8.077,8.268,24.145,22.594,22.512,19.694,20.789
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,369835,115500,41400,526735,6.191,462010,87.7,147802,5.972,8.724,5.47,6.256,6.375,-1.827,-5.054,-5.54,17.1,4.879
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,45695,13600,4800,64095,0.753,61733,96.3,20528,0.798,11.767,6.417,7.581,7.761,15.155,15.056,15.005,19.297,18.352
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,753405,289800,85200,1128405,13.262,1026074,90.9,342872,13.263,-7.18,5.057,6.02,6.167,-9.243,-8.634,-8.615,15.134,-7.178
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,179735,64500,19800,264035,3.103,227530,86.2,83687,2.941,-2.568,5.538,6.763,6.958,-0.622,2.639,3.104,15.056,-7.659
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,86145,28200,9700,124045,1.458,114802,92.5,36342,1.484,4.659,5.496,6.573,6.742,-1.361,-0.247,-0.093,17.363,6.491
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,275940,94900,30800,401640,4.72,361382,90,101299,4.671,0.865,4.562,5.337,5.457,-18.13,-19.002,-19.136,16.275,-0.182
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,6660,3700,900,11260,0.132,11142,99,3600,0.144,-25.232,4.275,5.442,5.626,-23.273,-17.413,-16.625,13.232,-18.842
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,6660,3700,800,11160,0.131,10297,92.3,2419,0.133,-28.715,2.778,3.655,3.788,-50.145,-44.523,-43.863,11.825,-27.472
"20","FUERZAS ARMADAS","FFAA",NA,NA,NA,NA,NA,NA,19500,33100,0,52600,0.618,28065,53.4,4848,0.363,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","ESPAÑA","ES",47450795,40129822,39180773,100,84.571,82.571,5797545,2060500,650400,8508445,100,7736611,90.929,2644076,100,0,5.572,6.589,6.748,0,0,0,16.304,0
