"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,209520,0,6800,216320,18.985,123459,57.1,0,18.258,6.433,0,0,0,NA,NA,NA,1.459,2.354
"2","ARAGÓN","AR",1329391,1132764,1107658,2.802,2.823,2.827,35415,0,1200,36615,3.214,20854,57,0,3.084,14.687,0,0,0,NA,NA,NA,1.569,10.081
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,35420,0,1200,36620,3.214,29074,79.4,0,4.3,49.696,0,0,0,NA,NA,NA,2.854,100.263
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,12840,0,600,13440,1.18,7552,56.2,0,1.117,-52.225,0,0,0,NA,NA,NA,0.645,-54.764
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,41310,0,1300,42610,3.74,25159,59,0,3.721,-18.454,0,0,0,NA,NA,NA,1.156,-18.863
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,17700,0,500,18200,1.597,12779,70.2,0,1.89,30.076,0,0,0,NA,NA,NA,2.192,53.843
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,76740,0,2500,79240,6.955,57969,73.2,0,8.573,37.795,0,0,0,NA,NA,NA,2.421,69.857
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,53100,0,1700,54800,4.81,30613,55.9,0,4.527,11.59,0,0,0,NA,NA,NA,1.497,5.037
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,180020,0,5800,185820,16.309,105587,56.8,0,15.615,-0.539,0,0,0,NA,NA,NA,1.357,-4.768
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,91450,0,2900,94350,8.281,80429,85.2,0,11.895,-22.306,0,0,0,NA,NA,NA,1.59,11.601
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,32450,0,1000,33450,2.936,17862,53.4,0,2.642,30.944,0,0,0,NA,NA,NA,1.679,17.807
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,56080,0,1800,57880,5.08,44014,76,0,6.509,-10.786,0,0,0,NA,NA,NA,1.629,14.317
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,8840,0,200,9040,0.793,5385,59.6,0,0.796,17.715,0,0,0,NA,NA,NA,1.683,18.122
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,147540,0,4700,152240,13.361,63385,41.6,0,9.374,-6.485,0,0,0,NA,NA,NA,0.935,-34.394
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,38360,0,1200,39560,3.472,21739,55,0,3.215,9.011,0,0,0,NA,NA,NA,1.438,0.944
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,17700,0,500,18200,1.597,8314,45.7,0,1.23,14.668,0,0,0,NA,NA,NA,1.257,-11.762
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,47205,0,1400,48605,4.266,20003,41.2,0,2.958,-8.85,0,0,0,NA,NA,NA,0.901,-36.785
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,1005,0,200,1205,0.106,911,75.6,0,0.135,-40.25,0,0,0,NA,NA,NA,1.082,-24.077
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,1005,0,200,1205,0.106,1098,91.1,0,0.162,-42.523,0,0,0,NA,NA,NA,1.261,-11.513
"20","FUERZAS ARMADAS","FFAA",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","ESPAÑA","ES",47450795,40129822,39180773,100,84.571,82.571,1103700,0,35700,1139400,100,676186,59.346,0,100,0,0,0,0,NA,NA,NA,1.425,0
