"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_1dosis_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","personas_1dosis_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-01-13,"AN",8464411,17.838,7062213,17.598,209520,0,0,209520,2.475,18.983,69225,0,0,69225,69225,0,0,69225,0.818,109831,109831,0,1.298,52.42,18.883,14952,0.177,15.759,62733,0.741,14.862,15.364,109831,109831,0,1.298,0,1.298,1.555,0,1.555,14952,0,0.177,0,14952,62733,0,0.741,0,0.888,0,62733,15.759,14.862,NA,NA,5.858,6.419,5.873,NA
"AR",2021-01-13,"AR",1329391,2.802,1132764,2.823,35415,0,0,35415,2.664,3.209,11700,0,0,11700,11700,0,0,11700,0.88,17043,17043,0,1.282,48.124,2.93,5060,0.381,42.226,12457,0.937,38.442,3.051,17043,17043,0,1.282,0,1.282,1.505,0,1.505,5060,0,0.381,0,5060,12457,0,0.937,0,1.1,0,12457,42.226,38.442,NA,NA,4.568,14.525,4.568,NA
"AS",2021-01-13,"AS",1018784,2.147,901209,2.246,35420,0,0,35420,3.477,3.209,11700,0,0,11700,11700,0,0,11700,1.148,25278,25278,0,2.481,71.366,4.346,2850,0.28,12.707,11610,1.14,22.223,2.843,25278,25278,0,2.481,0,2.481,2.805,0,2.805,2850,0,0.28,0,2850,11610,0,1.14,0,1.288,0,11610,12.707,22.223,NA,NA,102.422,49.464,102.365,NA
"IB",2021-01-13,"IB",1171543,2.469,986279,2.458,12840,0,0,12840,1.096,1.163,0,0,0,0,0,0,0,0,0,4931,4931,0,0.421,38.403,0.848,96,0.008,1.986,2008,0.171,-7.848,0.492,4931,4931,0,0.421,0,0.421,0.5,0,0.5,96,0,0.008,0,96,2008,0,0.171,0,0.204,0,2008,1.986,-7.848,NA,NA,-65.654,-52.896,-65.661,NA
"CN",2021-01-13,"CN",2175952,4.586,1871033,4.662,41310,0,0,41310,1.898,3.743,13650,0,0,13650,13650,0,0,13650,0.627,22290,22290,0,1.024,53.958,3.832,6962,0.32,45.42,15696,0.721,65.727,3.844,22290,22290,0,1.024,0,1.024,1.191,0,1.191,6962,0,0.32,0,6962,15696,0,0.721,0,0.839,0,15696,45.42,65.727,NA,NA,-16.441,-18.382,-16.476,NA
"CB",2021-01-13,"CB",582905,1.228,501384,1.249,17700,0,0,17700,3.037,1.604,5850,0,0,5850,5850,0,0,5850,1.004,11302,11302,0,1.939,63.853,1.943,1775,0.305,18.631,10220,1.753,14.497,2.503,11302,11302,0,1.939,0,1.939,2.254,0,2.254,1775,0,0.305,0,1775,10220,0,1.753,0,2.038,0,10220,18.631,14.497,NA,NA,58.225,30.619,58.157,NA
"CL",2021-01-13,"CL",2394918,5.047,2092873,5.215,76740,0,0,76740,3.204,6.953,25350,0,0,25350,25350,0,0,25350,1.058,48243,48243,0,2.014,62.866,8.294,6903,0.288,16.698,28977,1.21,16.327,7.097,48243,48243,0,2.014,0,2.014,2.305,0,2.305,6903,0,0.288,0,6903,28977,0,1.21,0,1.385,0,28977,16.698,16.327,NA,NA,64.335,37.765,64.274,NA
"CM",2021-01-13,"CM",2045221,4.31,1719964,4.286,53100,0,0,53100,2.596,4.811,17550,0,0,17550,17550,0,0,17550,0.858,26879,26879,0,1.314,50.62,4.621,3537,0.173,15.153,21000,1.027,9.091,5.143,26879,26879,0,1.314,0,1.314,1.563,0,1.563,3537,0,0.173,0,3537,21000,0,1.027,0,1.221,0,21000,15.153,9.091,NA,NA,7.216,11.624,7.178,NA
"CT",2021-01-13,"CT",7780479,16.397,6531658,16.276,180020,0,0,180020,2.314,16.311,59475,0,0,59475,59475,0,0,59475,0.764,92133,92133,0,1.184,51.179,15.84,9348,0.12,11.292,74280,0.955,3.752,18.192,92133,92133,0,1.184,0,1.184,1.411,0,1.411,9348,0,0.12,0,9348,74280,0,0.955,0,1.137,0,74280,11.292,3.752,NA,NA,-3.397,-0.524,-3.426,NA
"VC",2021-01-13,"VC",5057353,10.658,4269305,10.639,91450,0,0,91450,1.808,8.286,30225,0,0,30225,30225,0,0,30225,0.598,70870,70870,0,1.401,77.496,12.185,13647,0.27,23.849,60738,1.201,24.88,14.876,70870,70870,0,1.401,0,1.401,1.66,0,1.66,13647,0,0.27,0,13647,60738,0,1.201,0,1.423,0,60738,23.849,24.88,NA,NA,14.327,-22.256,14.274,NA
