"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_1dosis_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","personas_1dosis_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-03-07,"AN",8464411,17.838,7062213,17.598,739530,208600,73300,1021430,12.067,NA,0,0,0,0,77220,64400,37000,178620,2.11,915240,411602,503638,10.813,NA,19.759,18523,0.219,2.066,160512,1.896,2.132,18.3,663421,411602,251819,NA,NA,4.863,NA,NA,5.828,14638,3885,0.173,0.046,10753,136209,24304,1.609,0.287,1.929,0.344,111905,2.256,0.51,1.567,12.3,10.769,NA,NA,NA
"AR",2021-03-07,"AR",1329391,2.802,1132764,2.823,130185,32700,12600,175485,13.2,NA,0,0,0,0,17550,10100,6300,33950,2.554,152340,52399,99941,11.459,NA,3.289,855,0.064,0.564,23483,1.766,-1.712,2.677,102369,52398,49971,NA,NA,3.942,NA,NA,4.626,635,220,0.048,0.017,415,20037,3446,1.507,0.259,1.769,0.304,16591,0.624,-1.63,0.442,-2.186,17.38,NA,NA,NA
"AS",2021-03-07,"AS",1018784,2.147,901209,2.246,128435,25200,12700,166335,16.327,NA,0,0,0,0,16380,7800,6400,30580,3.002,131584,42996,88588,12.916,NA,2.841,1428,0.14,1.097,17101,1.679,-6.644,1.95,87290,42996,44294,NA,NA,4.22,NA,NA,4.771,1126,302,0.111,0.03,824,11855,5245,1.164,0.515,1.315,0.582,6610,1.307,-10.251,0.686,2.642,32.324,NA,NA,NA
"IB",2021-03-07,"IB",1171543,2.469,986279,2.458,65880,28800,6500,101180,8.636,NA,0,0,0,0,9360,8900,3300,21560,1.84,81003,32480,48523,6.914,NA,1.749,3203,0.273,4.117,21011,1.793,9.672,2.395,56741,32480,24261,NA,NA,2.772,NA,NA,3.293,3038,163,0.259,0.014,2875,18424,2586,1.573,0.221,1.868,0.262,15838,5.657,11.932,0.676,-4.187,-29.162,NA,NA,NA
"CN",2021-03-07,"CN",2175952,4.586,1871033,4.662,148560,53700,14300,216560,9.952,NA,0,0,0,0,18720,16600,7300,42620,1.959,172781,63146,109635,7.94,NA,3.73,2489,0.114,1.462,29182,1.341,-0.11,3.327,117964,63146,54818,NA,NA,2.902,NA,NA,3.375,2382,109,0.109,0.005,2273,25739,3444,1.183,0.158,1.376,0.184,22295,2.061,-0.263,0.199,1.116,-18.666,NA,NA,NA
"CB",2021-03-07,"CB",582905,1.228,501384,1.249,62745,14300,5900,82945,14.23,NA,0,0,0,0,7020,4400,3000,14420,2.474,67528,25686,41842,11.585,NA,1.458,487,0.084,0.726,9302,1.596,-4.438,1.061,46607,25686,20921,NA,NA,4.407,NA,NA,5.123,406,81,0.07,0.014,325,8785,517,1.507,0.089,1.752,0.103,8268,0.879,-5.222,0.389,11.183,18.73,NA,NA,NA
"CL",2021-03-07,"CL",2394918,5.047,2092873,5.215,285195,59000,27300,371495,15.512,NA,0,0,0,0,38610,18200,13800,70610,2.948,302109,104058,198051,12.615,NA,6.522,4169,0.174,1.399,48566,2.028,0.482,5.537,203083,104058,99025,NA,NA,4.345,NA,NA,4.972,3542,625,0.148,0.026,2917,39101,9464,1.633,0.395,1.868,0.452,29637,1.775,-0.026,0.635,2.613,29.225,NA,NA,NA
"CM",2021-03-07,"CM",2045221,4.31,1719964,4.286,190575,50400,18600,259575,12.692,NA,0,0,0,0,23400,15600,9400,48400,2.366,199549,54761,144788,9.757,NA,4.308,1916,0.094,0.969,37511,1.834,2.778,4.277,127155,54761,72394,NA,NA,2.678,NA,NA,3.184,1699,217,0.083,0.011,1482,33254,4258,1.626,0.208,1.933,0.248,28996,1.354,4.375,0.301,-8.154,-0.046,NA,NA,NA
"CT",2021-03-07,"CT",7780479,16.397,6531658,16.276,651140,191900,63400,906440,11.65,NA,0,0,0,0,80730,59200,32000,171930,2.21,760949,361685,399264,9.78,NA,16.428,13077,0.168,1.749,122715,1.577,0.808,13.99,561317,361685,199632,NA,NA,4.649,NA,NA,5.537,9753,3324,0.125,0.043,6429,110578,12137,1.421,0.156,1.693,0.186,98441,1.768,-1.538,1.693,28.761,0.189,NA,NA,NA
"VC",2021-03-07,"VC",5057353,10.658,4269305,10.639,340660,124700,31700,497060,9.828,NA,0,0,0,0,52650,38500,16000,107150,2.119,394019,167866,226153,7.791,NA,8.506,1,0,0,73957,1.462,-4.448,8.432,280943,167867,113076,NA,NA,3.319,NA,NA,3.932,1,0,0,0,1,62669,11289,1.239,0.223,1.468,0.264,51380,0,-4.877,0,-1.98,-20.191,NA,NA,NA
"EX",2021-03-07,"EX",1063987,2.242,911213,2.271,115325,26200,10900,152425,14.326,NA,0,0,0,0,12870,8100,5500,26470,2.488,128265,38905,89360,12.055,NA,2.769,1537,0.144,1.213,18528,1.741,1.473,2.112,83585,38905,44680,NA,NA,3.657,NA,NA,4.27,785,752,0.074,0.071,33,12912,5616,1.214,0.528,1.417,0.616,7296,0.948,-1.937,1.712,10.291,23.506,NA,NA,NA
"GA",2021-03-07,"GA",2701819,5.694,2362643,5.887,222415,66700,19900,309015,11.437,NA,0,0,0,0,43290,20600,10100,73990,2.739,265833,119782,146051,9.839,NA,5.739,5110,0.189,1.96,53826,1.992,-1.242,6.137,192807,119782,73025,NA,NA,4.433,NA,NA,5.07,2877,2231,0.106,0.083,646,39623,14201,1.467,0.526,1.677,0.601,25422,1.515,-6.697,3.151,17.968,0.79,NA,NA,NA
"RI",2021-03-07,"RI",319914,0.674,270788,0.675,31655,7800,2700,42155,13.177,NA,0,0,0,0,3510,2400,1300,7210,2.254,34292,12755,21537,10.719,NA,0.74,488,0.153,1.444,7135,2.23,3.767,0.813,23524,12756,10768,NA,NA,3.987,NA,NA,4.711,269,219,0.084,0.068,50,5572,1563,1.742,0.489,2.058,0.577,4009,1.157,0.723,2.076,16.295,9.792,NA,NA,NA
"MD",2021-03-07,"MD",6779888,14.288,5695623,14.193,529935,167200,51300,748435,11.039,NA,0,0,0,0,65520,51600,25900,143020,2.109,628529,270898,357631,9.27,NA,13.569,14896,0.22,2.428,174254,2.57,-1.929,19.866,449713,270898,178815,NA,NA,3.996,NA,NA,4.756,14445,449,0.213,0.007,13996,169502,4751,2.5,0.07,2.976,0.083,164751,3.319,-1.589,0.252,-12.73,-5.032,NA,NA,NA
