"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,739530,208600,73300,1021430,18.292,834477,81.7,238150,19.732,2.546,2.814,3.372,3.461,1.997,3.387,3.611,9.859,10.615
"2","ARAGÓN","AR",1329391,1132764,1107658,2.802,2.823,2.827,130185,32700,12600,175485,3.143,141997,80.9,47837,3.358,12.158,3.598,4.223,4.319,30.45,29.474,29.277,10.681,19.846
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,128435,25200,12700,166335,2.979,124940,75.1,42300,2.954,38.743,4.152,4.694,4.776,50.519,43.903,42.969,12.264,37.599
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,65880,28800,6500,101180,1.812,73188,72.3,23287,1.731,-26.611,1.988,2.361,2.418,-27.941,-27.611,-27.613,6.247,-29.906
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,148560,53700,14300,216560,3.878,162363,75,54121,3.839,-15.433,2.487,2.893,2.963,-9.833,-11.317,-11.312,7.462,-16.279
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,62745,14300,5900,82945,1.485,64535,77.8,20620,1.526,20.962,3.537,4.113,4.203,28.24,26.088,25.814,11.071,24.221
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,285195,59000,27300,371495,6.653,281825,75.9,94983,6.664,31.819,3.966,4.538,4.628,43.777,39.142,38.545,11.768,32.034
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,190575,50400,18600,259575,4.649,176604,68,71181,4.176,7.856,3.48,4.139,4.243,26.17,26.882,27.01,8.635,-3.115
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,651140,191900,63400,906440,16.233,676590,74.6,189899,15.998,-1.001,2.441,2.907,2.98,-11.519,-10.863,-10.788,8.696,-2.43
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,340660,124700,31700,497060,8.902,370712,74.6,109409,8.766,-16.48,2.163,2.563,2.626,-21.574,-21.431,-21.392,7.33,-17.755
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,115325,26200,10900,152425,2.73,121286,79.6,41663,2.868,21.753,3.916,4.572,4.68,41.954,40.18,40.086,11.399,27.9
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,222415,66700,19900,309015,5.534,244212,79,62083,5.775,-2.81,2.298,2.628,2.678,-16.699,-19.438,-19.85,9.039,1.416
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,31655,7800,2700,42155,0.755,30675,72.8,9743,0.725,12.008,3.046,3.598,3.684,10.406,10.311,10.262,9.589,7.584
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,529935,167200,51300,748435,13.403,572673,76.5,176865,13.541,-6.192,2.609,3.105,3.181,-5.43,-4.796,-4.776,8.447,-5.228
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,134105,37200,13400,184705,3.308,130138,70.5,51118,3.077,3.855,3.382,4.131,4.25,22.622,26.646,27.22,8.611,-3.381
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,62745,16200,5900,84845,1.519,66248,78.1,22894,1.566,9.077,3.463,4.14,4.247,25.523,26.942,27.137,10.019,12.419
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,177660,54800,16000,248460,4.45,144966,58.3,50194,3.428,-4.924,2.26,2.644,2.704,-18.053,-18.926,-19.059,6.529,-26.749
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,5490,2200,600,8290,0.148,6435,77.6,1290,0.152,-16.124,1.532,1.95,2.016,-44.461,-40.219,-39.649,7.642,-14.252
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,4320,2200,600,7120,0.128,5228,73.4,1276,0.124,-30.702,1.465,1.928,1.998,-46.877,-40.886,-40.183,6.004,-32.635
"20","ESPAÑA","ES",47450795,40129822,39180773,100,84.571,82.571,4026555,1169800,387600,5583955,100,4229092,75.736,1308913,100,0,2.758,3.262,3.341,0,0,0,8.913,0
