"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN","DOSIS_DIARIAS_ENTREGADAS","DOSIS_DIARIAS_ENTREGADAS_PFIZER","DOSIS_DIARIAS_ENTREGADAS_MODERNA","DOSIS_DIARIAS_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_DIARIAS","PORC_PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_100HAB_DIARIAS","DOSIS_7D_ENTREGADAS","DOSIS_7D_ENTREGADAS_PFIZER","DOSIS_7D_ENTREGADAS_MODERNA","DOSIS_7D_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_7D","DOSIS_ADMIN_7D","PORC_PAUTA_COMPLETA_7D","DOSIS_ADMIN_100HAB_7D","DESV_DOSIS_ADMIN_7D","DESV_PORC_PAUTA_COMPLETA_7D"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,1098720,381600,168000,1648320,17.011,1517023,92,522041,17.35,-4.639,6.167,7.392,7.587,2.584,3.982,4.207,17.922,-2.738,0,0,0,0,131,13456,0,0.085,176250,99450,56800,20000,20209,141998,0.043,0.299,-87.8947368421053,-91.793893129771
"2","ARAGON","AR",1329391,1132764,1107658,2.802,2.823,2.827,209745,59900,35300,304945,3.147,265649,87.1,96812,3.038,12.313,7.282,8.547,8.74,21.129,20.222,20.04,19.983,8.444,0,0,0,0,20,30,0,0.006,38930,22230,13600,3100,11213,29106,0.024,0.061,-97.5303643724696,-95.4198473282443
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,203315,46000,32700,282015,2.91,250132,88.7,92794,2.861,35.555,9.108,10.297,10.478,51.499,44.84,43.9,24.552,33.24,0,0,0,0,1139,8079,0.002,0.027,35460,21060,12000,2400,11570,37668,0.024,0.079,-96.8016194331984,-95.4198473282443
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,112680,52700,18000,183380,1.892,175308,95.6,49354,2.005,-23.351,4.213,5.004,5.125,-29.929,-29.609,-29.611,14.964,-18.793,0,0,0,0,120,2293,0,0.006,22570,12870,6900,2800,5749,25014,0.012,0.053,-97.8542510121458,-97.7099236641221
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,232800,98100,35800,366700,3.784,323880,88.3,109212,3.704,-17.481,5.019,5.837,5.979,-16.518,-17.892,-17.888,14.885,-19.224,0,0,0,0,291,5508,0.001,0.012,41400,23400,12900,5100,11341,40436,0.024,0.085,-96.5587044534413,-95.4198473282443
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,97845,26200,15300,139345,1.438,120751,86.7,44814,1.381,17.103,7.688,8.938,9.135,27.875,25.73,25.456,20.715,12.419,0,0,0,0,0,416,0,0.001,16360,9360,5600,1400,1783,13684,0.004,0.029,-98.8259109311741,-99.236641221374
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,463035,108100,78300,649435,6.702,572774,88.2,208338,6.551,32.794,8.699,9.955,10.152,44.694,40.03,39.429,23.916,29.79,0,0,0,0,26,10131,0,0.035,85440,49140,30600,5700,19980,65080,0.042,0.137,-94.4534412955466,-91.9847328244275
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,300555,92200,49600,442355,4.565,391798,88.6,131200,4.481,5.918,6.415,7.628,7.821,6.7,7.302,7.41,19.157,3.961,0,0,0,0,293,9511,0.001,0.009,53820,30420,18600,4800,16368,59593,0.034,0.126,-94.8987854251012,-93.5114503816794
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,1027880,350800,168400,1547080,15.966,1441264,93.2,439817,16.483,-2.63,5.653,6.734,6.903,-5.976,-5.28,-5.199,18.524,0.528,0,0,0,0,8308,88207,0.018,0.024,185430,104130,63000,18300,28267,249073,0.06,0.525,-78.7449392712551,-88.5496183206107
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,586360,228100,96800,911260,9.404,870686,95.5,262860,9.958,-11.765,5.198,6.157,6.309,-13.549,-13.391,-13.348,17.216,-6.57,0,0,0,0,595,6111,0.001,0.018,118860,67860,39000,12000,17534,135793,0.037,0.286,-88.4210526315789,-92.9389312977099
