"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,568710,74500,36300,679510,18.76,506973,74.6,202631,18.218,5.167,2.394,2.869,2.945,-0.753,0.599,0.817,5.989,2.131
"2","ARAGÓN","AR",1329391,1132764,1107658,2.802,2.823,2.827,96255,11700,6300,114255,3.154,101956,89.2,40945,3.664,12.574,3.08,3.615,3.697,27.689,26.734,26.541,7.669,30.776
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,98015,9000,6300,113315,3.128,85458,75.4,35251,3.071,45.709,3.46,3.912,3.98,43.448,37.144,36.253,8.388,43.034
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,49500,10300,3200,63000,1.739,46824,74.3,19906,1.683,-29.555,1.699,2.018,2.067,-29.558,-29.236,-29.238,3.997,-31.848
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,111120,19200,7000,137320,3.791,111897,81.5,46799,4.021,-17.333,2.151,2.501,2.562,-10.835,-12.303,-12.298,5.142,-12.312
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,47535,5100,2900,55535,1.533,44700,80.5,19118,1.606,24.853,3.28,3.813,3.897,35.973,33.691,33.4,7.668,30.761
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,211485,21100,13500,246085,6.794,202462,82.3,83192,7.276,34.612,3.474,3.975,4.054,44.012,39.37,38.771,8.454,44.152
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,143775,18000,9200,170975,4.72,137438,80.4,58335,4.939,9.518,2.852,3.392,3.477,18.248,18.916,19.036,6.72,14.587
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,489680,68600,31400,589680,16.28,443181,75.2,170429,15.926,-0.715,2.19,2.609,2.675,-9.188,-8.515,-8.437,5.696,-2.872
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,247060,44500,15700,307260,8.483,233828,76.1,96724,8.403,-20.409,1.913,2.266,2.322,-20.71,-20.566,-20.526,4.624,-21.161
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,88415,9300,5400,103115,2.847,85553,83,35477,3.074,26.975,3.334,3.893,3.985,38.235,36.508,36.416,8.041,37.11
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,153385,23800,9800,186985,5.162,142844,76.4,57531,5.133,-9.339,2.129,2.435,2.481,-11.722,-14.624,-15.061,5.287,-9.848
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,23465,2800,1400,27665,0.764,22749,82.2,8812,0.818,13.319,2.754,3.254,3.332,14.195,14.097,14.046,7.111,21.255
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,398895,59800,25400,484095,13.365,364384,75.3,163768,13.094,-6.461,2.415,2.875,2.946,0.141,0.813,0.834,5.374,-8.356
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,103685,13300,6600,123585,3.412,96682,78.2,42022,3.474,7.124,2.781,3.396,3.494,15.278,19.061,19.6,6.397,9.088
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,46365,5800,2900,55065,1.52,43893,79.7,17700,1.577,9.133,2.677,3.201,3.284,10.981,12.235,12.408,6.638,13.197
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,127350,19600,7900,154850,4.275,104091,67.2,43642,3.741,-8.652,1.965,2.299,2.351,-18.518,-19.386,-19.519,4.688,-20.066
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,4320,800,400,5520,0.152,4434,80.3,1019,0.159,-13.901,1.21,1.54,1.593,-49.828,-45.996,-45.481,5.266,-10.207
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,3150,800,400,4350,0.12,3404,78.3,1255,0.122,-34.732,1.441,1.896,1.965,-40.248,-33.509,-32.719,3.909,-33.341
"20","ESPAÑA","ES",47450795,40129822,39180773,100,84.571,82.571,3012165,418000,192000,3622165,100,2782751,76.826,1144556,100,0,2.412,2.852,2.921,0,0,0,5.864,0
