"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
"AN",2021-03-10,"AN",8464411,17.838,7062213,17.598,820260,303300,73300,1196860,14.14,17.984,80730,94700,0,175430,80730,94700,0,175430,2.073,971691,421571,550120,11.48,81.187,19.475,20523,0.242,2.158,8574,11949,174761,2.065,-0.967,18.788,696631,275060,421571,8.23,3.25,9.864,3.895,8574,11949,0.101,0.141,133135,41626,1.573,0.492,1.885,0.589,1.246,-6.365,4.541,21.422,9.177,0.818,10.263,6.522,2021-06-15,2021-09-09,2021-12-05,2022-09-17,2023-11-04,2024-12-21,2022-06-13,2023-05-28,2024-05-11
"AR",2021-03-10,"AR",1329391,2.802,1132764,2.823,147735,47600,12600,207935,15.641,3.124,17550,14900,0,32450,17550,14900,0,32450,2.441,158422,55452,102970,11.917,76.188,3.175,2652,0.199,1.703,1585,1067,24382,1.834,0.218,2.621,106937,51485,55452,8.044,3.873,9.44,4.545,1585,1067,0.119,0.08,20022,4360,1.506,0.328,1.768,0.385,1.504,-3.782,2.116,23.864,13.312,11.492,7.771,26.942,2021-06-15,2021-09-09,2021-12-05,2022-09-17,2023-11-04,2024-12-21,2022-06-13,2023-05-28,2024-05-11
"AS",2021-03-10,"AS",1018784,2.147,901209,2.246,144815,36600,12700,194115,19.054,2.917,16380,11400,0,27780,16380,11400,0,27780,2.727,140785,49031,91754,13.819,72.527,2.822,4508,0.442,3.308,3630,878,19078,1.873,8.769,2.051,94908,45877,49031,9.316,4.503,10.531,5.091,3630,878,0.356,0.086,14397,4681,1.413,0.459,1.598,0.519,3.977,20.215,1.951,-15.87,31.439,35.864,24.812,47.591,2021-06-15,2021-09-09,2021-12-05,2022-09-17,2023-11-04,2024-12-21,2022-06-13,2023-05-28,2024-05-11
"IB",2021-03-10,"IB",1171543,2.469,986279,2.458,76410,41900,6500,124810,10.653,1.875,10530,13100,0,23630,10530,13100,0,23630,2.017,89104,39532,49572,7.606,71.392,1.786,2384,0.203,2.749,2283,101,27071,2.311,8.02,2.91,64318,24786,39532,5.49,2.116,6.521,2.513,2283,101,0.195,0.009,24711,2360,2.109,0.201,2.505,0.239,3.68,9.646,0.409,-6.498,-27.663,-24.058,-26.447,-30.646,2021-06-15,2021-09-09,2021-12-05,2022-09-17,2023-11-04,2024-12-21,2022-06-13,2023-05-28,2024-05-11
"CN",2021-03-10,"CN",2175952,4.586,1871033,4.662,167280,78000,14300,259580,11.929,3.9,18720,24300,0,43020,18720,24300,0,43020,1.977,186871,72863,114008,8.588,71.99,3.745,6841,0.314,3.8,5799,1042,29834,1.371,-6.394,3.207,129867,57004,72863,5.968,2.62,6.941,3.047,5799,1042,0.267,0.048,26412,3422,1.214,0.157,1.412,0.183,4.674,-3.567,1.862,-23.667,-18.338,-14.959,-20.043,-14.127,2021-06-15,2021-09-09,2021-12-05,2022-09-17,2023-11-04,2024-12-21,2022-06-13,2023-05-28,2024-05-11
"CB",2021-03-10,"CB",582905,1.228,501384,1.249,70935,20800,5900,97635,16.75,1.467,8190,6500,0,14690,8190,6500,0,14690,2.52,70233,26871,43362,12.049,71.934,1.408,1721,0.295,2.512,1259,462,7390,1.268,-13.507,0.794,48552,21681,26871,8.329,3.719,9.684,4.324,1259,462,0.216,0.079,6293,1097,1.08,0.188,1.255,0.219,2.662,-20.432,2.177,72.756,14.658,19.463,11.589,21.894,2021-06-15,2021-09-09,2021-12-05,2022-09-17,2023-11-04,2024-12-21,2022-06-13,2023-05-28,2024-05-11
"CL",2021-03-10,"CL",2394918,5.047,2092873,5.215,324975,85800,27300,438075,18.292,6.582,39780,26800,0,66580,39780,26800,0,66580,2.78,325296,113404,211892,13.583,74.256,6.52,10936,0.457,3.479,7329,3607,52744,2.202,4.075,5.67,219350,105946,113404,9.159,4.424,10.481,5.062,7329,3607,0.306,0.151,39822,12922,1.663,0.54,1.903,0.617,3.457,1.92,3.525,11.329,29.186,30.414,22.709,45.002,2021-06-15,2021-09-09,2021-12-05,2022-09-17,2023-11-04,2024-12-21,2022-06-13,2023-05-28,2024-05-11
"CM",2021-03-10,"CM",2045221,4.31,1719964,4.286,215145,73300,18600,307045,15.013,4.614,24570,22900,0,47470,24570,22900,0,47470,2.321,212233,64355,147878,10.377,69.121,4.254,7090,0.347,3.456,6204,886,43067,2.106,6.821,4.63,138294,73939,64355,6.762,3.615,8.041,4.299,6204,886,0.303,0.043,39260,3807,1.92,0.186,2.283,0.221,4.697,7.573,1.213,-0.366,-1.299,7.053,-9.405,18.486,2021-06-15,2021-09-09,2021-12-05,2022-09-17,2023-11-04,2024-12-21,2022-06-13,2023-05-28,2024-05-11
"CT",2021-03-10,"CT",7780479,16.397,6531658,16.276,735380,278900,63400,1077680,13.851,16.193,84240,87000,0,171240,84240,87000,0,171240,2.201,809732,384878,424854,10.407,75.137,16.229,20549,0.264,2.604,15318,5231,133142,1.711,1.319,14.313,597305,212427,384878,7.677,2.73,9.145,3.252,15318,5231,0.197,0.067,110614,22528,1.422,0.29,1.694,0.345,2.632,-2.138,2.525,22.581,-1.025,-1.244,2.854,-10.521,2021-06-15,2021-09-09,2021-12-05,2022-09-17,2023-11-04,2024-12-21,2022-06-13,2023-05-28,2024-05-11
"VC",2021-03-10,"VC",5057353,10.658,4269305,10.639,395650,181300,31700,608650,12.035,9.145,54990,56600,0,111590,54990,56600,0,111590,2.206,436903,188215,248688,8.639,71.782,8.756,10530,0.208,2.47,6595,3935,87511,1.73,-14.929,9.408,312559,124344,188215,6.18,2.459,7.321,2.913,6595,3935,0.13,0.078,68884,18627,1.362,0.368,1.613,0.436,2.155,-18.456,3.268,1.272,-17.846,-14.196,-17.203,-19.403,2021-06-15,2021-09-09,2021-12-05,2022-09-17,2023-11-04,2024-12-21,2022-06-13,2023-05-28,2024-05-11
