"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN","DOSIS_DIARIAS_ENTREGADAS","DOSIS_DIARIAS_ENTREGADAS_PFIZER","DOSIS_DIARIAS_ENTREGADAS_MODERNA","DOSIS_DIARIAS_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_DIARIAS","PORC_PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_100HAB_DIARIAS","DOSIS_7D_ENTREGADAS","DOSIS_7D_ENTREGADAS_PFIZER","DOSIS_7D_ENTREGADAS_MODERNA","DOSIS_7D_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_7D","DOSIS_ADMIN_7D","PORC_PAUTA_COMPLETA_7D","DOSIS_ADMIN_100HAB_7D","DESV_DOSIS_ADMIN_7D","DESV_PORC_PAUTA_COMPLETA_7D"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,899820,343800,111200,1354820,17.631,1202553,88.8,422339,18.763,-1.16,4.99,5.98,6.138,9.784,11.28,11.521,14.207,5.183,0,0,0,0,2172,17532,0.005,0.085,157960,79560,37900,40500,59148,89139,0.125,0.188,-86.6287339971551,-86.1419068736142
"2","ARAGON","AR",1329391,1132764,1107658,2.802,2.823,2.827,165285,54000,21700,240985,3.136,207118,85.9,72085,3.232,11.923,5.422,6.364,6.508,19.307,18.414,18.234,15.58,15.347,0,0,0,0,67,630,0,0.006,33050,17550,9100,6400,13291,24219,0.028,0.051,-96.3726884779516,-96.8957871396896
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,161195,41500,20700,223395,2.907,187429,83.9,74197,2.924,35.406,7.283,8.233,8.378,60.243,53.2,52.205,18.397,36.205,0,0,0,0,687,1102,0.001,0.027,29280,16380,8000,4900,15854,21357,0.033,0.045,-96.7994310099573,-96.3414634146341
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,86940,47500,11100,145540,1.894,124791,85.7,35918,1.947,-23.289,3.066,3.642,3.73,-32.543,-32.234,-32.236,10.652,-21.139,0,0,0,0,55,254,0,0.006,20730,10530,4600,5600,4596,14183,0.01,0.03,-97.8662873399715,-98.8913525498891
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,186000,88400,22900,297300,3.869,241508,81.2,81868,3.768,-15.636,3.762,4.376,4.482,-17.217,-18.58,-18.575,11.099,-17.828,0,0,0,0,2490,3796,0.005,0.012,37720,18720,8600,10400,16210,21914,0.034,0.046,-96.728307254623,-96.2305986696231
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,79125,23600,9700,112425,1.463,91015,81,36503,1.42,19.141,6.262,7.28,7.441,37.786,35.474,35.18,15.614,15.599,0,0,0,0,353,958,0.001,0.001,14790,8190,3800,2800,10606,11732,0.022,0.025,-98.221906116643,-97.5609756097561
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,364755,97300,47700,509755,6.634,431153,84.6,157258,6.727,31.439,6.566,7.514,7.663,44.476,39.82,39.219,18.003,33.285,0,0,0,0,4483,5841,0.009,0.035,71680,39780,20400,11500,32369,50925,0.068,0.107,-92.3897581792319,-92.4611973392461
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,239715,83100,31000,353815,4.604,271647,76.8,94751,4.238,6.831,4.633,5.509,5.648,1.934,2.509,2.612,13.282,-1.666,0,0,0,0,1061,3705,0.002,0.009,46770,24570,12400,9800,14637,32562,0.031,0.069,-95.0924608819346,-96.5631929046563
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,819620,316100,105400,1241120,16.151,1011890,81.5,346521,15.788,-1.498,4.454,5.305,5.438,-2.006,-1.28,-1.197,13.005,-3.713,0,0,0,0,4483,5841,0.009,0.024,163440,84240,42000,37200,100503,112635,0.212,0.237,-83.1436699857752,-76.4966740576497
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,450640,205400,57800,713840,9.29,569061,79.7,201548,8.879,-12.839,3.985,4.721,4.838,-12.314,-12.155,-12.111,11.252,-16.694,0,0,0,0,3211,8794,0.007,0.018,105190,54990,26100,24100,46816,82294,0.099,0.173,-87.6955903271693,-89.0243902439024
