"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN","DOSIS_DIARIAS_ENTREGADAS","DOSIS_DIARIAS_ENTREGADAS_PFIZER","DOSIS_DIARIAS_ENTREGADAS_MODERNA","DOSIS_DIARIAS_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_DIARIAS","PORC_PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_100HAB_DIARIAS","DOSIS_7D_ENTREGADAS","DOSIS_7D_ENTREGADAS_PFIZER","DOSIS_7D_ENTREGADAS_MODERNA","DOSIS_7D_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_7D","DOSIS_ADMIN_7D","PORC_PAUTA_COMPLETA_7D","DOSIS_ADMIN_100HAB_7D","DESV_DOSIS_ADMIN_7D","DESV_PORC_PAUTA_COMPLETA_7D"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,209520,0,6800,216320,18.985,139718,64.6,0,18.17,6.433,0,0,0,NA,NA,NA,1.651,1.859,0,0,0,0,0,16259,0,0.085,76025,69225,6800,0,0,70273,0,0.148,-85.7004830917874,NA
"2","ARAGON","AR",1329391,1132764,1107658,2.802,2.823,2.827,35415,0,1200,36615,3.214,23619,64.5,0,3.072,14.687,0,0,0,NA,NA,NA,1.777,9.636,0,0,0,0,0,2765,0,0.006,12900,11700,1200,0,0,13675,0,0.029,-97.1980676328502,NA
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,35420,0,1200,36620,3.214,31247,85.3,0,4.064,49.696,0,0,0,NA,NA,NA,3.067,89.266,0,0,0,0,0,2173,0,0.027,12900,11700,1200,0,0,13404,0,0.028,-97.2946859903382,NA
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,12840,0,600,13440,1.18,9366,69.7,0,1.218,-52.225,0,0,0,NA,NA,NA,0.799,-50.667,0,0,0,0,0,1814,0,0.006,600,0,600,0,0,5109,0,0.011,-98.9371980676328,NA
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,41310,0,1300,42610,3.74,30732,72.1,0,3.997,-18.454,0,0,0,NA,NA,NA,1.412,-12.846,0,0,0,0,0,5573,0,0.012,14950,13650,1300,0,0,21160,0,0.045,-95.6521739130435,NA
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,17700,0,500,18200,1.597,14639,80.4,0,1.904,30.076,0,0,0,NA,NA,NA,2.511,54.974,0,0,0,0,0,1860,0,0.001,6350,5850,500,0,0,12305,0,0.026,-97.487922705314,NA
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,76740,0,2500,79240,6.955,59411,75,0,7.726,37.795,0,0,0,NA,NA,NA,2.481,53.081,0,0,0,0,0,1442,0,0.035,27850,25350,2500,0,0,31086,0,0.066,-93.6231884057971,NA
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,53100,0,1700,54800,4.81,33809,61.7,0,4.397,11.59,0,0,0,NA,NA,NA,1.653,2.009,0,0,0,0,0,3196,0,0.009,19250,17550,1700,0,0,21429,0,0.045,-95.6521739130435,NA
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,180020,0,5800,185820,16.309,122577,66,0,15.941,-0.539,0,0,0,NA,NA,NA,1.575,-2.782,0,0,0,0,0,16990,0,0.024,65275,59475,5800,0,0,83751,0,0.177,-82.8985507246377,NA
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,91450,0,2900,94350,8.281,86927,92.1,0,11.305,-22.306,0,0,0,NA,NA,NA,1.719,6.066,0,0,0,0,0,6498,0,0.018,33125,30225,2900,0,0,70962,0,0.15,-85.5072463768116,NA
