"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"EX",2021-01-30,"EX",1063987,2.242,911213,2.271,50975,0,1000,51975,4.885,NA,0,0,0,0,11700,0,0,11700,1.1,43755,32044,11711,4.112,NA,2.88,1794,0.169,4.275,399,1395,10727,1.008,19.428,3.256,37899,5855,32044,3.562,0.55,NA,NA,398,1395,0.037,0.131,5509,5217,0.518,0.49,0.605,0.573,1.061,6.764,31.278,36.499,28.457,NA,37.211,-9.091
"GA",2021-01-30,"GA",2701819,5.694,2362643,5.887,87865,0,1800,89665,3.319,NA,0,0,0,0,21060,0,0,21060,0.779,81087,35998,45089,3.001,NA,5.337,2315,0.086,2.939,38,2277,15200,0.563,13.619,4.614,58543,22545,35998,2.167,0.834,NA,NA,39,2277,0.001,0.084,326,14875,0.012,0.551,0.014,0.63,0.067,3.822,11.234,13.863,-6.27,NA,-16.525,37.851
"RI",2021-01-30,"RI",319914,0.674,270788,0.675,14105,0,200,14305,4.472,NA,0,0,0,0,2340,0,0,2340,0.731,11143,7360,3783,3.483,NA,0.733,323,0.101,2.985,24,299,2110,0.66,13.869,0.64,9252,1891,7361,2.892,0.591,NA,NA,24,299,0.008,0.093,536,1574,0.168,0.492,0.198,0.581,0.26,-7.266,18.781,23.451,8.754,NA,11.402,-2.314
"MD",2021-01-30,"MD",6779888,14.288,5695623,14.193,228075,0,4700,232775,3.433,NA,0,0,0,0,56160,0,0,56160,0.828,185953,161268,24685,2.743,NA,12.24,2495,0.037,1.36,748,1747,27596,0.407,-3.78,8.376,173611,12342,161269,2.561,0.182,NA,NA,748,1747,0.011,0.026,17641,9955,0.26,0.147,0.31,0.175,0.433,-13.304,16.489,19.479,-14.334,NA,-1.348,-69.917
"MC",2021-01-30,"MC",1511251,3.185,1237479,3.084,59225,0,1200,60425,3.998,NA,0,0,0,0,14040,0,0,14040,0.929,56300,36419,19881,3.725,NA,3.706,1218,0.081,2.211,542,676,12645,0.837,-1.373,3.838,46360,9940,36420,3.068,0.658,NA,NA,542,676,0.036,0.045,5578,7067,0.369,0.468,0.451,0.571,1.183,-1.152,7.297,-1.546,16.358,NA,18.182,8.76
"NC",2021-01-30,"NC",661197,1.393,552935,1.378,27645,0,500,28145,4.257,NA,0,0,0,0,7020,0,0,7020,1.062,23325,15091,8234,3.528,NA,1.535,895,0.135,3.99,313,582,6767,1.023,10.572,2.054,19208,4117,15091,2.905,0.623,NA,NA,313,582,0.047,0.088,3458,3309,0.523,0.5,0.625,0.598,1.657,1.946,16.464,21.298,10.194,NA,11.903,2.975
"PV",2021-01-30,"PV",2220504,4.68,1898123,4.73,74700,0,1400,76100,3.427,NA,0,0,0,0,18720,0,0,18720,0.843,54980,34726,20254,2.476,NA,3.619,1141,0.051,2.119,66,1075,11956,0.538,-3.308,3.629,44853,10127,34726,2.02,0.456,NA,NA,66,1075,0.003,0.048,4977,6979,0.224,0.314,0.262,0.368,0.147,-21.708,11.876,16.162,-22.671,NA,-22.188,-24.628
"CE",2021-01-30,"CE",84202,0.177,66158,0.165,1980,0,200,2180,2.589,NA,0,0,0,0,0,0,0,0,0,1849,553,1296,2.196,NA,0.122,21,0.025,1.149,1,20,191,0.227,2.139,0.058,1201,648,553,1.426,0.77,NA,NA,1,20,0.001,0.024,-84,275,-0.1,0.327,-0.127,0.416,0.083,23.529,3.185,7.843,-31.073,NA,-45.069,27.273
"ML",2021-01-30,"ML",87076,0.184,66178,0.165,1980,0,200,2180,2.504,NA,0,0,0,0,0,0,0,0,0,1994,615,1379,2.29,NA,0.131,60,0.069,3.102,2,58,494,0.567,13.825,0.15,1304,689,615,1.498,0.791,NA,NA,1,58,0.001,0.067,7,486,0.008,0.558,0.011,0.734,0.077,16.667,9.192,13.551,-28.804,NA,-42.296,30.744
"FFAA",2021-01-30,"FFAA",NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES",2021-01-30,"ES",47450795,100,40129822,100,1733355,0,35700,1769055,3.728,NA,0,0,0,0,422955,0,0,422955,0.891,1519213,944797,574416,3.202,NA,100,45024,0.095,3.054,9682,35342,329465,0.694,6.843,100,1232005,287208,944797,2.596,0.605,NA,NA,9682,35342,0.02,0.074,117461,212005,0.248,0.447,0.293,0.528,0.792,-5.997,14.032,15.591,0,NA,0,0
