"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,662310,144200,36300,842810,18.692,653919,77.6,218967,19.908,4.79,2.587,3.101,3.183,0.518,1.888,2.109,7.726,11.604
"2","ARAGÓN","AR",1329391,1132764,1107658,2.802,2.823,2.827,112635,22600,6300,141535,3.139,115419,81.5,44195,3.514,12.029,3.324,3.902,3.99,29.176,28.209,28.015,8.682,25.422
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,112055,17400,6300,135755,3.011,104014,76.6,38423,3.167,40.236,3.771,4.263,4.338,46.545,40.105,39.195,10.21,47.489
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,56520,19900,3200,79620,1.766,54156,68,20576,1.649,-28.479,1.756,2.086,2.137,-31.756,-31.444,-31.445,4.623,-33.221
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,129840,37100,7000,173940,3.858,127794,73.5,50067,3.891,-15.88,2.301,2.676,2.741,-10.594,-12.066,-12.061,5.873,-15.158
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,55725,9900,2900,68525,1.52,51298,74.9,19963,1.562,23.761,3.425,3.982,4.069,33.073,30.84,30.556,8.8,27.132
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,246585,40800,13500,300885,6.673,229483,76.3,87344,6.986,32.221,3.647,4.173,4.256,41.712,37.144,36.555,9.582,38.424
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,167175,34800,9200,211175,4.684,150359,71.2,64920,4.578,8.668,3.174,3.774,3.87,23.339,24.035,24.16,7.352,6.204
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,570410,132700,31400,734510,16.29,531016,72.3,183354,16.166,-0.65,2.357,2.807,2.878,-8.431,-7.753,-7.675,6.825,-1.406
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,288010,86200,15700,389910,8.648,286962,73.6,100209,8.736,-18.862,1.981,2.347,2.405,-23.008,-22.868,-22.829,5.674,-18.031
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,102455,18100,5400,125955,2.794,98839,78.5,38366,3.009,24.599,3.606,4.21,4.31,40.111,38.361,38.268,9.289,34.197
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,179125,46100,9800,235025,5.213,179141,76.2,58239,5.454,-8.456,2.156,2.465,2.512,-16.243,-18.997,-19.411,6.63,-4.217
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,28145,5400,1400,34945,0.775,25411,72.7,9193,0.774,14.99,2.874,3.395,3.476,11.657,11.561,11.512,7.943,14.746
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,464415,115600,25400,605415,13.427,385692,63.7,170589,11.742,-6.024,2.516,2.995,3.068,-2.233,-1.577,-1.556,5.689,-17.819
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,121235,25700,6600,153535,3.405,110564,72,48528,3.366,6.914,3.211,3.922,4.035,24.772,28.867,29.45,7.316,5.689
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,55725,11200,2900,69825,1.549,53145,76.1,20422,1.618,11.172,3.089,3.693,3.789,20.014,21.37,21.557,8.038,16.113
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,148410,37900,7900,194210,4.307,117427,60.5,45475,3.575,-7.963,2.048,2.396,2.45,-20.424,-21.271,-21.401,5.288,-23.605
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,4320,1500,400,6220,0.138,5705,91.7,1087,0.174,-22.062,1.291,1.643,1.699,-49.839,-46.007,-45.492,6.775,-2.122
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,3150,1500,400,5050,0.112,4334,85.8,1266,0.132,-39.129,1.454,1.913,1.983,-43.507,-37.135,-36.388,4.977,-28.098
"20","FUERZAS ARMADAS","FFAA",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","ESPAÑA","ES",47450795,40129822,39180773,100,84.571,82.571,3508245,808600,192000,4508845,100,3284678,72.85,1221183,100,0,2.574,3.043,3.117,0,0,0,6.922,0
