"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-03-25,"AN",8464411,17.838,7062213,17.598,999270,361600,111200,1472070,17.391,17.301,0,0,0,0,99450,17800,0,117250,1.385,1293949,349397,944552,15.287,87.9,18.918,35574,0.42,2.827,18666,16908,130500,1.542,6.631,15.419,821673,472276,349397,9.707,5.58,11.635,6.687,18666,16908,0.221,0.2,64983,65517,0.768,0.774,0.92,0.928,2.325,29.389,3.713,-9.208,6.054,-3.01,3.563,10.692
"AR",2021-03-25,"AR",1329391,2.802,1132764,2.823,187515,56800,21700,266015,20.01,3.126,0,0,0,0,22230,2800,0,25030,1.883,220730,61170,159560,16.604,82.977,3.227,9304,0.7,4.401,3887,5417,25792,1.94,10.624,3.047,140950,79780,61170,10.603,6.001,12.443,7.043,3887,5417,0.292,0.407,12936,12856,0.973,0.967,1.142,1.135,2.836,11.249,7.285,10.003,15.168,11.563,13.123,19.044
"AS",2021-03-25,"AS",1018784,2.147,901209,2.246,182255,43600,20700,246555,24.201,2.898,0,0,0,0,21060,2100,0,23160,2.273,197725,42199,155526,19.408,80.195,2.891,4988,0.49,2.588,3275,1713,20591,2.021,-2.329,2.433,119962,77763,42199,11.775,7.633,13.311,8.629,3275,1713,0.321,0.168,10931,9660,1.073,0.948,1.213,1.072,2.807,29.468,2.252,-23.57,34.653,34.979,25.627,51.418
"IB",2021-03-25,"IB",1171543,2.469,986279,2.458,99810,49900,11100,160810,13.726,1.89,0,0,0,0,12870,2400,0,15270,1.303,132167,56607,75560,11.281,82.188,1.932,6615,0.565,5.269,4895,1720,15132,1.292,19.498,1.788,94387,37780,56607,8.057,3.225,9.57,3.831,4895,1720,0.418,0.147,10197,4935,0.87,0.421,1.034,0.5,5.47,24.597,4.77,10.181,-21.75,-23.451,-14.04,-36.025
"CN",2021-03-25,"CN",2175952,4.586,1871033,4.662,209400,93000,22900,325300,14.95,3.823,0,0,0,0,23400,4600,0,28000,1.287,254352,72550,181802,11.689,78.19,3.719,6251,0.287,2.52,2276,3975,25970,1.194,6.916,3.068,163451,90901,72550,7.512,4.178,8.736,4.858,2276,3975,0.105,0.183,8130,17840,0.374,0.82,0.435,0.953,1.412,21.38,4.573,1.41,-18.905,-16.638,-19.855,-17.12
"CB",2021-03-25,"CB",582905,1.228,501384,1.249,88485,24800,9700,122985,21.099,1.445,0,0,0,0,9360,1200,0,10560,1.812,97301,16639,80662,16.692,79.116,1.423,3148,0.54,3.343,1827,1321,12195,2.092,-3.06,1.441,56970,40331,16639,9.773,6.919,11.363,8.044,1827,1321,0.313,0.227,3242,8953,0.556,1.536,0.647,1.786,3.313,98.287,3.386,-18.2,15.879,17.671,4.268,37.255
"CL",2021-03-25,"CL",2394918,5.047,2092873,5.215,413895,102400,47700,563995,23.55,6.629,0,0,0,0,49140,5100,0,54240,2.265,456309,115647,340662,19.053,80.907,6.671,14750,0.616,3.34,8414,6336,67002,2.798,28.229,7.916,285978,170331,115647,11.941,7.112,13.664,8.139,8414,6336,0.351,0.265,26431,40571,1.104,1.694,1.263,1.939,3.031,46.7,3.864,18.507,32.178,31.345,27.398,41.083
"CM",2021-03-25,"CM",2045221,4.31,1719964,4.286,270135,87400,31000,388535,18.997,4.566,0,0,0,0,30420,4300,0,34720,1.698,291786,82268,209518,14.267,75.099,4.266,13167,0.644,4.726,6764,6403,37299,1.824,11.844,4.407,187027,104759,82268,9.145,5.122,10.874,6.091,6764,6403,0.331,0.313,19133,18166,0.935,0.888,1.112,1.056,3.752,8.983,6.51,15.026,-1.021,5.94,-2.433,1.607
"CT",2021-03-25,"CT",7780479,16.397,6531658,16.276,923750,332500,105400,1361650,17.501,16.004,0,0,0,0,104130,16400,0,120530,1.549,1062479,303663,758816,13.656,78.029,15.534,35109,0.451,3.417,12467,22642,147266,1.893,31.303,17.4,683071,379408,303663,8.779,4.876,10.458,5.809,12467,22642,0.16,0.291,28716,118550,0.369,1.524,0.44,1.815,1.859,76.725,6.346,23.608,-5.263,-2.397,-6.337,-3.273
"VC",2021-03-25,"VC",5057353,10.658,4269305,10.639,518500,216100,57800,792400,15.668,9.313,0,0,0,0,67860,10700,0,78560,1.553,612340,157026,455314,12.108,77.277,8.953,21945,0.434,3.717,9338,12607,81927,1.62,-20.94,9.68,384683,227657,157026,7.606,4.502,9.01,5.332,9338,12607,0.185,0.249,31067,50860,0.614,1.006,0.728,1.191,2.488,-28.265,5.862,-15.68,-15.997,-12.62,-18.852,-10.692
