"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_1dosis_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","personas_1dosis_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-01-19,"AN",8464411,17.838,7062213,17.598,209520,0,6800,216320,2.556,18.921,0,0,0,0,69225,0,6800,76025,0.898,164820,161274,3546,1.947,76.193,17.06,13416,0.158,8.861,69941,0.826,-0.109,14.63,163047,161274,1773,1.926,0.021,1.905,2.309,0.025,2.284,12176,1240,0.144,0.015,10936,68168,1773,0.805,0.021,0.965,0.025,66395,8.07,-1.894,232.645,232.645,-4.361,6.071,-4.464,5
"AR",2021-01-19,"AR",1329391,2.802,1132764,2.823,35415,0,1200,36615,2.754,3.203,0,0,0,0,11700,0,1200,12900,0.97,28316,27816,500,2.13,77.334,2.931,3183,0.239,12.665,16333,1.229,15.55,3.417,28066,27816,250,2.111,0.019,2.092,2.478,0.022,2.456,2933,250,0.221,0.019,2683,16083,250,1.21,0.019,1.42,0.022,15833,11.67,13.781,Inf,Inf,4.604,14.311,4.712,-5
"AS",2021-01-19,"AS",1018784,2.147,901209,2.246,35420,0,1200,36620,3.594,3.203,0,0,0,0,11700,0,1200,12900,1.266,34293,31723,2570,3.366,93.646,3.55,721,0.071,2.148,11865,1.165,-18.894,2.482,33008,31723,1285,3.24,0.126,3.114,3.663,0.143,3.52,-362,1083,-0.036,0.106,-1445,10580,1285,1.038,0.126,1.174,0.143,9295,-1.085,-26.665,536.139,536.139,65.347,49.185,60.714,530
"IB",2021-01-19,"IB",1171543,2.469,986279,2.458,16740,0,600,17340,1.48,1.517,0,0,0,0,3900,0,600,4500,0.384,14658,14330,328,1.251,84.533,1.517,908,0.078,6.604,9823,0.838,7.969,2.055,14494,14330,164,1.237,0.014,1.223,1.47,0.017,1.453,899,9,0.077,0.001,890,9659,164,0.824,0.014,0.979,0.017,9495,6.613,8.006,5.806,5.806,-38.558,-38.558,-38.641,-30
"CN",2021-01-19,"CN",2175952,4.586,1871033,4.662,41310,0,1300,42610,1.958,3.727,0,0,0,0,13650,0,1300,14950,0.687,43209,42531,678,1.986,101.406,4.473,1096,0.05,2.603,27881,1.281,-2.193,5.832,42870,42531,339,1.97,0.016,1.955,2.291,0.018,2.273,1084,12,0.05,0.001,1072,27542,339,1.266,0.016,1.472,0.018,27203,2.594,-2.261,3.67,3.67,-2.464,-18.731,-2.282,-20
"CB",2021-01-19,"CB",582905,1.228,501384,1.249,17700,0,500,18200,3.122,1.592,0,0,0,0,5850,0,500,6350,1.089,18967,18967,0,3.254,104.214,1.963,1243,0.213,7.013,9440,1.619,2.054,1.975,18967,18967,0,3.254,0,3.254,3.783,0,3.783,1243,0,0.213,0,1243,9440,0,1.619,0,1.883,0,9440,7.013,2.054,NA,NA,59.853,29.642,61.409,-100
"CL",2021-01-19,"CL",2394918,5.047,2092873,5.215,76740,0,2500,79240,3.309,6.931,0,0,0,0,25350,0,2500,27850,1.163,70885,70021,864,2.96,89.456,7.337,3806,0.159,5.674,29545,1.234,-4.305,6.18,70453,70021,432,2.942,0.018,2.924,3.366,0.021,3.346,3498,308,0.146,0.013,3190,29113,432,1.216,0.018,1.391,0.021,28681,5.224,-5.324,248.387,248.387,45.373,37.329,45.933,-10
"CM",2021-01-19,"CM",2045221,4.31,1719964,4.286,53100,0,1700,54800,2.679,4.793,0,0,0,0,17550,0,1700,19250,0.941,43682,43304,378,2.136,79.712,4.521,5361,0.262,13.99,20340,0.995,6.425,4.255,43493,43304,189,2.127,0.009,2.117,2.529,0.011,2.518,5172,189,0.253,0.009,4983,20151,189,0.985,0.009,1.172,0.011,19962,13.497,5.436,Inf,Inf,4.896,11.206,5.506,-55
"CT",2021-01-19,"CT",7780479,16.397,6531658,16.276,180020,0,5800,185820,2.388,16.253,0,0,0,0,59475,0,5800,65275,0.839,156627,155763,864,2.013,84.29,16.212,11554,0.148,7.964,73842,0.949,-3.686,15.446,156195,155763,432,2.008,0.006,2.002,2.391,0.007,2.385,11289,265,0.145,0.003,11024,73410,432,0.944,0.006,1.124,0.007,72978,7.791,-4.04,158.683,158.683,-1.128,-0.878,-0.397,-70
"VC",2021-01-19,"VC",5057353,10.658,4269305,10.639,91450,0,2900,94350,1.866,8.252,0,0,0,0,30225,0,2900,33125,0.655,95260,94084,1176,1.884,100.964,9.86,1565,0.031,1.67,38037,0.752,-20.791,7.957,94672,94084,588,1.872,0.012,1.86,2.218,0.014,2.204,1129,436,0.022,0.009,693,37449,588,0.74,0.012,0.877,0.014,36861,1.207,-21.768,286.842,286.842,-7.487,-22.575,-7.143,-40
"EX",2021-01-19,"EX",1063987,2.242,911213,2.271,32450,0,1000,33450,3.144,2.926,0,0,0,0,10725,0,1000,11725,1.102,29125,28617,508,2.737,87.07,3.015,1512,0.142,5.476,17779,1.671,-2.9,3.719,28871,28617,254,2.713,0.024,2.69,3.168,0.028,3.141,1258,254,0.118,0.024,1004,17525,254,1.647,0.024,1.923,0.028,17271,4.556,-4.287,Inf,Inf,34.478,30.508,34.573,20
"GA",2021-01-19,"GA",2701819,5.694,2362643,5.887,56080,0,1800,57880,2.142,5.063,0,0,0,0,18525,0,1800,20325,0.752,57871,55489,2382,2.142,99.984,5.99,1390,0.051,2.461,24525,0.908,-5.901,5.13,56680,55489,1191,2.098,0.044,2.054,2.399,0.05,2.349,349,1041,0.013,0.039,-692,23334,1191,0.864,0.044,0.988,0.05,22143,0.62,-9.953,694,694,5.198,-11.082,4.067,120
"RI",2021-01-19,"RI",319914,0.674,270788,0.675,8840,0,200,9040,2.826,0.791,0,0,0,0,2925,0,200,3125,0.977,8049,7961,88,2.516,89.038,0.833,288,0.09,3.711,4223,1.32,-1.882,0.883,8005,7961,44,2.502,0.014,2.488,2.956,0.016,2.94,244,44,0.076,0.014,200,4179,44,1.306,0.014,1.543,0.016,4135,3.144,-2.904,Inf,Inf,23.591,17.359,24.107,-30
"MD",2021-01-19,"MD",6779888,14.288,5695623,14.193,147540,0,4700,152240,2.245,13.316,0,0,0,0,48750,0,4700,53450,0.788,120168,118730,1438,1.772,78.933,12.439,15678,0.231,15.004,84219,1.242,5.812,17.617,119449,118730,719,1.762,0.011,1.751,2.097,0.013,2.085,15435,243,0.228,0.004,15192,83500,719,1.232,0.011,1.466,0.013,82781,14.839,5.54,51.05,51.05,-12.941,-6.803,-12.599,-45
"MC",2021-01-19,"MC",1511251,3.185,1237479,3.084,38360,0,1200,39560,2.618,3.46,0,0,0,0,12675,0,1200,13875,0.918,36730,34862,1868,2.43,92.846,3.802,2627,0.174,7.703,20539,1.359,-13.491,4.296,35796,34862,934,2.369,0.062,2.307,2.893,0.075,2.817,1693,934,0.112,0.062,759,19605,934,1.297,0.062,1.584,0.075,18671,4.964,-17.425,Inf,Inf,19.372,8.634,17.51,210
"NC",2021-01-19,"NC",661197,1.393,552935,1.378,17700,0,500,18200,2.753,1.592,0,0,0,0,5850,0,500,6350,0.96,12991,12393,598,1.965,71.379,1.345,1157,0.175,9.777,6434,0.973,1.068,1.346,12692,12393,299,1.92,0.045,1.874,2.295,0.054,2.241,858,299,0.13,0.045,559,6135,299,0.928,0.045,1.11,0.054,5836,7.25,-3.629,Inf,Inf,-3.446,14.286,-4.762,125
"PV",2021-01-19,"PV",2220504,4.68,1898123,4.73,47205,0,1400,48605,2.189,4.251,0,0,0,0,15600,0,1400,17000,0.766,28069,27289,780,1.264,57.749,2.905,2543,0.115,9.962,12676,0.571,2.037,2.652,27679,27289,390,1.247,0.018,1.229,1.458,0.021,1.438,2153,390,0.097,0.018,1763,12286,390,0.553,0.018,0.647,0.021,11896,8.435,-1.103,Inf,Inf,-37.927,-9.167,-38.145,-10
"CE",2021-01-19,"CE",84202,0.177,66158,0.165,1005,0,200,1205,1.431,0.105,0,0,0,0,0,0,200,200,0.238,1080,1022,58,1.283,89.627,0.112,99,0.118,10.092,322,0.382,13.781,0.067,1051,1022,29,1.248,0.034,1.214,1.589,0.044,1.545,99,0,0.118,0,99,293,29,0.348,0.034,0.443,0.044,264,10.399,15.354,0,0,-36.723,-40.678,-38.095,70
"ML",2021-01-19,"ML",87076,0.184,66178,0.165,1005,0,200,1205,1.384,0.105,0,0,0,0,0,0,200,200,0.23,1297,1239,58,1.49,107.635,0.134,8,0.009,0.621,292,0.335,-36.105,0.061,1268,1239,29,1.456,0.033,1.423,1.916,0.044,1.872,-21,29,-0.024,0.033,-50,263,29,0.302,0.033,0.397,0.044,234,-1.629,-42.451,Inf,Inf,-27.174,-42.935,-27.778,65
