"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
"AN",2021-04-15,"AN",8464411,17.838,7062213,17.598,1468440,564800,219200,2252440,26.611,16.572,0,0,0,0,184860,0,51200,236060,2.789,2041844,921830,1120014,24.123,90.65,17.18,71661,0.847,3.637,62628,9033,342380,4.045,-1.613,16.512,1481837,560007,921830,17.507,6.616,20.983,7.93,62628,9033,0.74,0.107,313886,28494,3.708,0.337,4.445,0.403,4.413,-3.623,1.639,27.73,-3.689,-7.097,-3.76,-3.515,2021-05-06,2021-06-11,2021-07-17,2022-03-10,2022-12-21,2023-10-02,2022-01-03,2022-09-01,2023-04-30
"AR",2021-04-15,"AR",1329391,2.802,1132764,2.823,291645,88700,45800,426145,32.056,3.135,0,0,0,0,40950,0,10500,51450,3.87,347963,139031,208932,26.175,81.654,2.928,16544,1.244,4.992,14950,1594,57125,4.297,4.127,2.755,243497,104466,139031,18.316,7.858,21.496,9.222,14950,1594,1.125,0.12,52705,4420,3.965,0.332,4.653,0.39,6.541,5.666,1.549,-11.281,4.497,11.884,0.687,14.598,2021-05-06,2021-06-11,2021-07-17,2022-03-10,2022-12-21,2023-10-02,2022-01-03,2022-09-01,2023-04-30
"AS",2021-04-15,"AS",1018784,2.147,901209,2.246,280535,68000,42200,390735,38.353,2.875,0,0,0,0,38610,0,9500,48110,4.722,330038,120388,209650,32.395,84.466,2.777,13019,1.278,4.107,9207,3812,57062,5.601,8.646,2.752,225213,104825,120388,22.106,10.289,24.99,11.632,9207,3812,0.904,0.374,47318,9744,4.645,0.956,5.251,1.081,4.262,2.23,3.774,56.279,29.343,33.908,21.522,50.051,2021-05-06,2021-06-11,2021-07-17,2022-03-10,2022-12-21,2023-10-02,2022-01-03,2022-09-01,2023-04-30
"IB",2021-04-15,"IB",1171543,2.469,986279,2.458,158310,81400,24300,264010,22.535,1.942,0,0,0,0,17550,3400,6300,27250,2.326,240488,121062,119426,20.527,91.09,2.023,7446,0.636,3.195,5315,2131,49756,4.247,-3.574,2.4,180775,59713,121062,15.431,5.097,18.329,6.054,5315,2131,0.454,0.182,43465,6291,3.71,0.537,4.407,0.638,3.029,-3.327,3.701,-5.242,-18.064,-21.345,-15.172,-25.667,2021-05-06,2021-06-11,2021-07-17,2022-03-10,2022-12-21,2023-10-02,2022-01-03,2022-09-01,2023-04-30
"CN",2021-04-15,"CN",2175952,4.586,1871033,4.662,319380,145200,47800,512380,23.547,3.77,0,0,0,0,43290,0,12000,55290,2.541,435235,201475,233760,20.002,84.944,3.662,16392,0.753,3.914,15585,807,79364,3.647,-0.211,3.827,318355,116880,201475,14.631,5.371,17.015,6.247,15585,807,0.716,0.037,75982,3382,3.492,0.155,4.061,0.181,5.147,3.115,0.695,-42.139,-20.148,-17.793,-19.57,-21.671,2021-05-06,2021-06-11,2021-07-17,2022-03-10,2022-12-21,2023-10-02,2022-01-03,2022-09-01,2023-04-30
"CB",2021-04-15,"CB",582905,1.228,501384,1.249,132945,40500,19900,193345,33.169,1.423,0,0,0,0,17550,1700,4600,23850,4.092,153430,59092,94338,26.322,79.356,1.291,5470,0.938,3.697,4460,1010,24891,4.27,20.421,1.2,106261,47169,59092,18.23,8.092,21.194,9.408,4460,1010,0.765,0.173,22684,2207,3.892,0.379,4.524,0.44,4.381,16.495,2.188,84.224,5.13,15.879,0.214,18.011,2021-05-06,2021-06-11,2021-07-17,2022-03-10,2022-12-21,2023-10-02,2022-01-03,2022-09-01,2023-04-30
"CL",2021-04-15,"CL",2394918,5.047,2092873,5.215,647895,166900,100800,915595,38.231,6.736,0,0,0,0,92430,7000,22500,121930,5.091,754667,270165,484502,31.511,82.424,6.35,24325,1.016,3.331,20106,4219,125195,5.228,4.53,6.038,512416,242251,270165,21.396,10.115,24.484,11.575,20106,4219,0.84,0.176,108146,17049,4.516,0.712,5.167,0.815,4.084,6.007,1.772,-3.955,25.817,33.465,17.619,47.513,2021-05-06,2021-06-11,2021-07-17,2022-03-10,2022-12-21,2023-10-02,2022-01-03,2022-09-01,2023-04-30
"CM",2021-04-15,"CM",2045221,4.31,1719964,4.286,412875,142400,63800,619075,30.269,4.555,0,0,0,0,56160,6000,14200,76360,3.734,519478,199778,319700,25.4,83.912,4.371,19897,0.973,3.983,15287,4610,75224,3.678,-1.361,3.628,359628,159850,199778,17.584,7.816,20.909,9.294,15287,4610,0.747,0.225,60873,14351,2.976,0.702,3.539,0.834,4.439,2.073,2.97,-13.678,1.415,5.684,-3.337,13.986,2021-05-06,2021-06-11,2021-07-17,2022-03-10,2022-12-21,2023-10-02,2022-01-03,2022-09-01,2023-04-30
"CT",2021-04-15,"CT",7780479,16.397,6531658,16.276,1413980,519100,221100,2154180,27.687,15.849,0,0,0,0,193050,0,52700,245750,3.159,1922213,982015,940198,24.706,89.232,16.173,79008,1.015,4.286,71049,7959,329642,4.237,-2.62,15.897,1452114,470099,982015,18.664,6.042,22.232,7.197,71049,7959,0.913,0.102,308039,21603,3.959,0.278,4.716,0.331,5.145,-3.393,1.722,9.928,-1.366,-3.342,2.6,-11.886,2021-05-06,2021-06-11,2021-07-17,2022-03-10,2022-12-21,2023-10-02,2022-01-03,2022-09-01,2023-04-30
"VC",2021-04-15,"VC",5057353,10.658,4269305,10.639,836740,352300,131600,1320640,26.113,9.716,0,0,0,0,125190,14800,34800,174790,3.456,1194050,599376,594674,23.61,90.414,10.047,68773,1.36,6.112,61350,7423,202611,4.006,1.712,9.771,896713,297337,599376,17.731,5.879,21.004,6.965,61350,7423,1.213,0.147,183035,19576,3.619,0.387,4.287,0.459,7.344,6.325,2.56,-27.641,-5.733,-8.838,-2.529,-14.263,2021-05-06,2021-06-11,2021-07-17,2022-03-10,2022-12-21,2023-10-02,2022-01-03,2022-09-01,2023-04-30
