"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
"AN",2021-04-19,"AN",8464411,17.838,7062213,17.598,1468440,589600,219200,2277240,26.904,16.618,0,0,0,0,184860,24800,51200,260860,3.082,2199243,1014897,1184346,25.982,96.575,17.11,27538,0.325,1.268,21197,6341,334043,3.946,-0.58,16.148,1607070,592173,1014897,18.986,6.996,22.756,8.385,21197,6341,0.25,0.075,282034,52009,3.332,0.614,3.994,0.736,1.337,-2.382,1.082,10.476,-4.081,-6.839,-4.583,-2.698,2021-05-08,2021-06-14,2021-07-22,2021-12-24,2022-07-31,2023-03-06,2021-11-04,2022-05-08,2022-11-09
"AR",2021-04-19,"AR",1329391,2.802,1132764,2.823,291645,92600,45800,430045,32.349,3.138,0,0,0,0,40950,3900,10500,55350,4.164,391560,168498,223062,29.454,91.051,3.046,5288,0.398,1.369,4067,1221,79016,5.944,2.906,3.82,280029,111531,168498,21.064,8.39,24.721,9.846,4067,1221,0.306,0.092,69637,9379,5.238,0.706,6.148,0.828,1.474,1.709,1.107,12.755,8.708,11.991,5.86,16.69,2021-05-08,2021-06-14,2021-07-22,2021-12-24,2022-07-31,2023-03-06,2021-11-04,2022-05-08,2022-11-09
"AS",2021-04-19,"AS",1018784,2.147,901209,2.246,280535,71000,42200,393735,38.648,2.873,0,0,0,0,38610,3000,9500,51110,5.017,371649,144037,227612,36.48,94.391,2.891,9493,0.932,2.621,8044,1449,69972,6.868,4.822,3.383,257843,113806,144037,25.309,11.171,28.611,12.628,8044,1449,0.79,0.142,53389,16583,5.24,1.628,5.924,1.84,3.22,4.388,1.29,6.24,34.653,33.815,27.194,55.369,2021-05-08,2021-06-14,2021-07-22,2021-12-24,2022-07-31,2023-03-06,2021-11-04,2022-05-08,2022-11-09
"IB",2021-04-19,"IB",1171543,2.469,986279,2.458,162990,81400,24300,268690,22.935,1.961,0,0,0,0,22230,3400,6300,31930,2.725,259921,132471,127450,22.186,96.736,2.022,4076,0.348,1.593,3374,702,41568,3.548,-4.855,2.009,196196,63725,132471,16.747,5.439,19.893,6.461,3374,702,0.288,0.06,34754,6814,2.967,0.582,3.524,0.691,1.75,-5.969,1.114,1.263,-18.104,-20.575,-15.836,-24.353,2021-05-08,2021-06-14,2021-07-22,2021-12-24,2022-07-31,2023-03-06,2021-11-04,2022-05-08,2022-11-09
"CN",2021-04-19,"CN",2175952,4.586,1871033,4.662,319380,151600,47800,518780,23.842,3.786,0,0,0,0,43290,6400,12000,61690,2.835,480524,239340,241184,22.083,92.626,3.738,9461,0.435,2.008,8804,657,92914,4.27,3.283,4.492,359932,120592,239340,16.541,5.542,19.237,6.445,8804,657,0.405,0.03,87676,5238,4.029,0.241,4.686,0.28,2.507,3.046,0.548,7.402,-18.491,-17.444,-16.871,-22.921,2021-05-08,2021-06-14,2021-07-22,2021-12-24,2022-07-31,2023-03-06,2021-11-04,2022-05-08,2022-11-09
"CB",2021-04-19,"CB",582905,1.228,501384,1.249,132945,40500,19900,193345,33.169,1.411,0,0,0,0,17550,1700,4600,23850,4.092,166629,68969,97660,28.586,86.182,1.296,2509,0.43,1.529,2204,305,25668,4.403,-0.055,1.241,117799,48830,68969,20.209,8.377,23.495,9.739,2203,305,0.378,0.052,22184,3484,3.806,0.598,4.425,0.695,1.906,-0.955,0.629,6.058,5.537,14.902,1.563,16.509,2021-05-08,2021-06-14,2021-07-22,2021-12-24,2022-07-31,2023-03-06,2021-11-04,2022-05-08,2022-11-09
"CL",2021-04-19,"CL",2394918,5.047,2092873,5.215,647895,166900,100800,915595,38.231,6.682,0,0,0,0,92430,7000,22500,121930,5.091,830796,327922,502874,34.69,90.738,6.464,14356,0.599,1.758,12982,1374,135670,5.665,1.262,6.559,579359,251437,327922,24.191,10.499,27.682,12.014,12982,1374,0.542,0.057,117473,18197,4.905,0.76,5.613,0.869,2.292,1.265,0.549,1.241,28.076,32.395,21.575,46.022,2021-05-08,2021-06-14,2021-07-22,2021-12-24,2022-07-31,2023-03-06,2021-11-04,2022-05-08,2022-11-09
"CM",2021-04-19,"CM",2045221,4.31,1719964,4.286,412875,142400,63800,619075,30.269,4.518,0,0,0,0,56160,6000,14200,76360,3.734,562432,229122,333310,27.5,90.85,4.376,6457,0.316,1.161,5522,935,79113,3.868,-0.194,3.824,395777,166655,229122,19.351,8.149,23.011,9.689,5522,935,0.27,0.046,64668,14445,3.162,0.706,3.76,0.84,1.415,-0.509,0.564,1.241,1.531,4.826,-2.749,13.338,2021-05-08,2021-06-14,2021-07-22,2021-12-24,2022-07-31,2023-03-06,2021-11-04,2022-05-08,2022-11-09
"CT",2021-04-19,"CT",7780479,16.397,6531658,16.276,1413980,541900,221100,2176980,27.98,15.887,0,0,0,0,193050,22800,52700,268550,3.452,2070003,1076117,993886,26.605,95.086,16.104,22520,0.289,1.1,17555,4965,336119,4.32,-0.164,16.249,1573060,496943,1076117,20.218,6.387,24.084,7.608,17555,4965,0.226,0.064,297092,39027,3.818,0.502,4.548,0.598,1.129,-1.195,1.009,8.447,-1.787,-3.11,1.608,-11.168,2021-05-08,2021-06-14,2021-07-22,2021-12-24,2022-07-31,2023-03-06,2021-11-04,2022-05-08,2022-11-09
"VC",2021-04-19,"VC",5057353,10.658,4269305,10.639,836740,352300,131600,1320640,26.113,9.638,0,0,0,0,125190,14800,34800,174790,3.456,1270968,653600,617368,25.131,96.239,9.888,11563,0.229,0.918,10179,1384,235126,4.649,5.172,11.366,962284,308684,653600,19.027,6.104,22.54,7.23,10179,1384,0.201,0.027,210549,24577,4.163,0.486,4.932,0.576,1.069,5.081,0.45,5.967,-7.225,-9.57,-4.377,-15.104,2021-05-08,2021-06-14,2021-07-22,2021-12-24,2022-07-31,2023-03-06,2021-11-04,2022-05-08,2022-11-09
