"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN","DOSIS_DIARIAS_ENTREGADAS","DOSIS_DIARIAS_ENTREGADAS_PFIZER","DOSIS_DIARIAS_ENTREGADAS_MODERNA","DOSIS_DIARIAS_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_DIARIAS","PORC_PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_100HAB_DIARIAS","DOSIS_7D_ENTREGADAS","DOSIS_7D_ENTREGADAS_PFIZER","DOSIS_7D_ENTREGADAS_MODERNA","DOSIS_7D_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_7D","DOSIS_ADMIN_7D","PORC_PAUTA_COMPLETA_7D","DOSIS_ADMIN_100HAB_7D","DESV_DOSIS_ADMIN_7D","DESV_PORC_PAUTA_COMPLETA_7D"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,820260,303300,73300,1196860,17.984,1000998,83.6,292741,19.354,0.818,3.458,4.145,4.255,9.168,10.656,10.896,11.826,8.496,0,0,0,0,17681,29307,0.037,0.085,175430,80730,0,94700,54591,166521,0.115,0.351,-82.3351786612984,-71.9512195121951
"2","ARAGON","AR",1329391,1132764,1107658,2.802,2.823,2.827,147735,47600,12600,207935,3.124,166351,80,53228,3.216,11.506,4.004,4.699,4.805,26.386,25.44,25.249,12.513,14.802,0,0,0,0,1743,7929,0.004,0.006,32450,17550,0,14900,5391,24354,0.011,0.051,-97.4333165576246,-97.3170731707317
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,144815,36600,12700,194115,2.917,145833,75.1,48210,2.82,35.852,4.732,5.349,5.443,49.371,42.806,41.878,14.314,31.326,0,0,0,0,2333,5048,0.005,0.027,27780,16380,0,11400,5910,20893,0.012,0.044,-97.7856064418722,-97.0731707317073
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,76410,41900,6500,124810,1.875,95435,76.5,26495,1.845,-24.043,2.262,2.686,2.751,-28.614,-28.287,-28.289,8.146,-25.265,0,0,0,0,1709,6331,0.004,0.006,23630,10530,0,13100,3208,22247,0.007,0.047,-97.6346250629089,-98.2926829268293
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,167280,78000,14300,259580,3.9,194364,74.9,58482,3.758,-14.95,2.688,3.126,3.202,-15.163,-16.56,-16.555,8.932,-18.051,0,0,0,0,1478,7493,0.003,0.012,43020,18720,0,24300,4361,32001,0.009,0.067,-96.6280825364872,-97.8048780487805
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,70935,20800,5900,97635,1.467,72537,74.3,22624,1.402,19.467,3.881,4.512,4.612,22.513,20.457,20.195,12.444,14.166,0,0,0,0,943,2304,0.002,0.001,14690,8190,0,6500,2004,8002,0.004,0.017,-99.1444388525415,-99.0243902439024
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,324975,85800,27300,438075,6.582,339992,77.6,110038,6.574,30.423,4.595,5.258,5.362,45.031,40.357,39.754,14.196,30.243,0,0,0,0,4092,14696,0.009,0.035,66580,39780,0,26800,15055,58167,0.032,0.123,-93.8097634625063,-92.1951219512195
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,215145,73300,18600,307045,4.614,223931,72.9,76016,4.33,7.044,3.717,4.42,4.531,17.321,17.983,18.102,10.949,0.45,0,0,0,0,2077,11698,0.004,0.009,47470,24570,0,22900,4835,47327,0.01,0.1,-94.9672873678913,-97.5609756097561
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,735380,278900,63400,1077680,16.193,835931,77.6,218613,16.162,-1.244,2.81,3.347,3.431,-11.309,-10.652,-10.576,10.744,-1.431,0,0,0,0,6186,26199,0.013,0.024,171240,84240,0,87000,28714,159341,0.061,0.336,-83.0900855561147,-85.1219512195122
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,395650,181300,31700,608650,9.145,448396,73.7,130387,8.67,-14.191,2.578,3.054,3.13,-18.619,-18.471,-18.43,8.866,-18.658,0,0,0,0,6043,11493,0.013,0.018,111590,54990,0,56600,20978,77684,0.044,0.164,-91.7463512833417,-89.2682926829268
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,129365,38100,10900,178365,2.68,140186,78.6,48662,2.71,19.54,4.574,5.34,5.466,44.366,42.562,42.466,13.176,20.877,0,0,0,0,1412,4516,0.003,0.004,25940,14040,0,11900,6999,18900,0.015,0.04,-97.9869149471565,-96.3414634146341
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,268045,96900,19900,384845,5.783,299544,77.8,79330,5.792,1.556,2.936,3.358,3.421,-7.319,-10.366,-10.824,11.087,1.714,0,0,0,0,2209,10283,0.005,0.025,75830,45630,0,30200,17247,55332,0.036,0.117,-94.1117262204328,-91.219512195122
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,36335,11400,2700,50435,0.758,40431,80.2,12357,0.782,12.438,3.863,4.563,4.672,21.924,21.82,21.765,12.638,15.946,0,0,0,0,762,2188,0.002,0.001,8280,4680,0,3600,2614,9756,0.006,0.021,-98.9431303472572,-98.5365853658537
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,598965,243100,51300,893365,13.424,720674,80.7,186482,13.934,-6.05,2.751,3.274,3.354,-13.179,-12.596,-12.578,10.63,-2.48,0,0,0,0,3265,26574,0.007,0.011,144930,69030,0,75900,9617,148001,0.02,0.312,-84.2979365878208,-95.1219512195122
