"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN","DOSIS_DIARIAS_ENTREGADAS","DOSIS_DIARIAS_ENTREGADAS_PFIZER","DOSIS_DIARIAS_ENTREGADAS_MODERNA","DOSIS_DIARIAS_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_DIARIAS","PORC_PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_100HAB_DIARIAS","DOSIS_7D_ENTREGADAS","DOSIS_7D_ENTREGADAS_PFIZER","DOSIS_7D_ENTREGADAS_MODERNA","DOSIS_7D_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_7D","DOSIS_ADMIN_7D","PORC_PAUTA_COMPLETA_7D","DOSIS_ADMIN_100HAB_7D","DESV_DOSIS_ADMIN_7D","DESV_PORC_PAUTA_COMPLETA_7D"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,739530,208600,73300,1021430,18.292,951168,93.1,263111,19.617,2.546,3.108,3.726,3.824,4.443,5.866,6.096,11.237,9.972,0,0,0,0,7407,17405,0.016,0.085,178620,77220,37000,64400,34282,176467,0.072,0.372,-81.2216052498738,-76.5472312703583
"2","ARAGON","AR",1329391,1132764,1107658,2.802,2.823,2.827,130185,32700,12600,175485,3.143,155770,88.8,50418,3.213,12.158,3.793,4.451,4.552,27.429,26.475,26.283,11.717,14.671,0,0,0,0,228,2576,0,0.006,33950,17550,6300,10100,3520,24329,0.007,0.051,-97.4255426552246,-97.7198697068404
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,128435,25200,12700,166335,2.979,136277,81.9,44999,2.811,38.743,4.417,4.993,5.081,48.408,41.885,40.964,13.376,30.907,0,0,0,0,403,3266,0.001,0.027,30580,16380,6400,7800,5564,17540,0.012,0.037,-98.1322564361434,-96.0912052117264
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,65880,28800,6500,101180,1.812,86720,85.7,24685,1.789,-26.611,2.107,2.503,2.563,-29.204,-28.88,-28.882,7.402,-27.559,0,0,0,0,260,2515,0.001,0.006,21560,9360,3300,8900,2524,25061,0.005,0.053,-97.3245835436648,-98.371335504886
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,148560,53700,14300,216560,3.878,180030,83.1,55962,3.713,-15.433,2.572,2.991,3.064,-13.587,-15.009,-15.004,8.274,-19.031,0,0,0,0,1036,4759,0.002,0.012,42620,18720,7300,16600,4483,31872,0.009,0.067,-96.6178697627461,-97.0684039087948
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,62745,14300,5900,82945,1.485,68512,82.6,21219,1.413,20.962,3.64,4.232,4.325,22.31,20.258,19.997,11.754,15.025,0,0,0,0,217,498,0,0.001,14420,7020,3000,4400,635,8544,0.001,0.018,-99.0913679959616,-99.6742671009772
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,285195,59000,27300,371495,6.653,314360,84.6,102339,6.483,31.819,4.273,4.89,4.987,43.578,38.95,38.353,13.126,28.458,0,0,0,0,2688,8083,0.006,0.035,70610,38610,13800,18200,11607,50679,0.024,0.107,-94.5986875315497,-92.1824104234528
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,190575,50400,18600,259575,4.649,205143,79,73053,4.231,7.856,3.572,4.247,4.355,20.015,20.692,20.813,10.03,-1.839,0,0,0,0,442,3677,0.001,0.009,48400,23400,9400,15600,3821,40317,0.008,0.085,-95.7092377587077,-97.3941368078176
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,651140,191900,63400,906440,16.233,789183,87.1,207196,16.276,-1.001,2.663,3.172,3.252,-10.523,-9.86,-9.784,10.143,-0.735,0,0,0,0,4240,15156,0.009,0.024,171930,80730,32000,59200,18378,131409,0.039,0.277,-86.0171630489652,-87.2964169381107
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,340660,124700,31700,497060,8.902,426373,85.8,120409,8.794,-16.48,2.381,2.82,2.89,-20.003,-19.858,-19.818,8.431,-17.493,0,0,0,0,7332,32352,0.015,0.018,107150,52650,16000,38500,18393,102868,0.039,0.217,-89.0459363957597,-87.2964169381107
