"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,568710,74500,36300,679510,18.76,561803,82.7,208721,19.135,5.167,2.466,2.955,3.034,-0.081,1.281,1.5,6.637,7.269
"2","ARAGÓN","AR",1329391,1132764,1107658,2.802,2.823,2.827,96255,11700,6300,114255,3.154,106629,93.3,42429,3.632,12.574,3.192,3.746,3.831,29.326,28.358,28.163,8.021,29.631
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,98015,9000,6300,113315,3.128,90123,79.5,36392,3.07,45.709,3.572,4.038,4.109,44.744,38.382,37.484,8.846,42.968
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,49500,10300,3200,63000,1.739,50921,80.8,20499,1.734,-29.555,1.75,2.078,2.129,-29.099,-28.775,-28.777,4.346,-29.754
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,111120,19200,7000,137320,3.791,115542,84.1,48759,3.935,-17.333,2.241,2.606,2.669,-9.201,-10.695,-10.69,5.31,-14.182
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,47535,5100,2900,55535,1.533,45835,82.5,19376,1.561,24.853,3.324,3.865,3.95,34.692,32.432,32.145,7.863,27.082
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,211485,21100,13500,246085,6.794,208907,84.9,84052,7.115,34.612,3.51,4.016,4.096,42.211,37.628,37.037,8.723,40.977
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,143775,18000,9200,170975,4.72,140140,82,59845,4.773,9.518,2.926,3.479,3.567,18.567,19.236,19.356,6.852,10.741
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,489680,68600,31400,589680,16.28,465569,79,176286,15.857,-0.715,2.266,2.699,2.767,-8.19,-7.51,-7.432,5.984,-3.292
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,247060,44500,15700,307260,8.483,254502,82.8,97384,8.668,-20.409,1.926,2.281,2.337,-21.974,-21.832,-21.793,5.032,-18.669
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,88415,9300,5400,103115,2.847,89067,86.4,36485,3.034,26.975,3.429,4.004,4.098,38.949,37.213,37.121,8.371,35.29
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,153385,23800,9800,186985,5.162,149893,80.2,57611,5.105,-9.339,2.132,2.438,2.485,-13.598,-16.438,-16.866,5.548,-10.337
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,23465,2800,1400,27665,0.764,23349,84.4,8848,0.795,13.319,2.766,3.268,3.345,12.07,11.974,11.924,7.299,17.956
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,398895,59800,25400,484095,13.365,372775,77,166475,12.697,-6.461,2.455,2.923,2.994,-0.504,0.163,0.184,5.498,-11.139
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,103685,13300,6600,123585,3.412,99781,80.7,43159,3.399,7.124,2.856,3.488,3.588,15.721,19.518,20.059,6.603,6.708
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,46365,5800,2900,55065,1.52,45364,82.4,18445,1.545,9.133,2.79,3.336,3.422,13.038,14.316,14.491,6.861,10.883
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,127350,19600,7900,154850,4.275,107391,69.4,43919,3.658,-8.652,1.978,2.314,2.366,-19.855,-20.708,-20.839,4.836,-21.837
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,4320,800,400,5520,0.152,4695,85.1,1086,0.16,-13.901,1.29,1.642,1.697,-47.738,-43.747,-43.21,5.576,-9.885
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,3150,800,400,4350,0.12,3725,85.6,1255,0.127,-34.732,1.441,1.896,1.965,-41.599,-35.012,-34.24,4.278,-30.863
"20","FUERZAS ARMADAS","FFAA",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","ESPAÑA","ES",47450795,40129822,39180773,100,84.571,82.571,3012165,418000,192000,3622165,100,2936011,81.057,1171026,100,0,2.468,2.918,2.989,0,0,0,6.187,0
