"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN","DOSIS_DIARIAS_ENTREGADAS","DOSIS_DIARIAS_ENTREGADAS_PFIZER","DOSIS_DIARIAS_ENTREGADAS_MODERNA","DOSIS_DIARIAS_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_DIARIAS","PORC_PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_100HAB_DIARIAS","DOSIS_7D_ENTREGADAS","DOSIS_7D_ENTREGADAS_PFIZER","DOSIS_7D_ENTREGADAS_MODERNA","DOSIS_7D_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_7D","DOSIS_ADMIN_7D","PORC_PAUTA_COMPLETA_7D","DOSIS_ADMIN_100HAB_7D","DESV_DOSIS_ADMIN_7D","DESV_PORC_PAUTA_COMPLETA_7D"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,209520,0,6800,216320,18.921,151404,70,533,16.861,6.069,0.006,0.008,0.008,29.069,30.829,31.112,1.789,-5.477,0,0,0,0,533,11686,0.001,0.085,76025,69225,6800,0,533,70017,0.001,0.148,-85.7280617164899,-80
"2","ARAGON","AR",1329391,1132764,1107658,2.802,2.823,2.827,35415,0,1200,36615,3.203,25133,68.6,0,2.799,14.296,0,0,0,-100,-100,-100,1.891,-0.095,0,0,0,0,0,1514,0,0.006,12900,11700,1200,0,0,14135,0,0.03,-97.1070395371263,-100
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,35420,0,1200,36620,3.203,33572,91.7,202,3.739,49.185,0.02,0.022,0.023,306.408,288.546,286.023,3.295,74.137,0,0,0,0,202,2325,0,0.027,12900,11700,1200,0,202,14629,0,0.031,-97.0106075216972,-100
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,16740,0,600,17340,1.517,13750,79.3,155,1.531,-38.572,0.013,0.016,0.016,171.185,172.426,172.419,1.174,-37.979,3900,3900,0,0,155,4384,0,0.006,4500,3900,600,0,155,9098,0,0.019,-98.1677917068467,-100
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,41310,0,1300,42610,3.727,42113,98.8,327,4.69,-18.732,0.015,0.017,0.018,208.029,202.958,202.975,1.935,2.273,0,0,0,0,327,11381,0.001,0.012,14950,13650,1300,0,327,28506,0.001,0.06,-94.2140790742527,-80
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,17700,0,500,18200,1.592,17724,97.4,0,1.974,29.632,0,0,0,-100,-100,-100,3.041,60.679,0,0,0,0,0,3085,0,0.001,6350,5850,500,0,0,9250,0,0.019,-98.1677917068467,-100
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,76740,0,2500,79240,6.931,67079,84.7,124,7.47,37.325,0.005,0.006,0.006,6.126,2.706,2.265,2.801,48.01,0,0,0,0,124,7668,0,0.035,27850,25350,2500,0,124,30874,0,0.065,-93.731918997107,-100
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,53100,0,1700,54800,4.793,38321,69.9,0,4.268,11.21,0,0,0,-100,-100,-100,1.874,-0.987,0,0,0,0,0,4512,0,0.009,19250,17550,1700,0,0,19112,0,0.04,-96.1427193828351,-100
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,180020,0,5800,185820,16.253,145073,78.1,167,16.156,-0.879,0.002,0.003,0.003,-56.005,-55.679,-55.642,1.865,-1.468,0,0,0,0,167,22496,0,0.024,65275,59475,5800,0,167,76668,0,0.162,-84.3780135004822,-100
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,91450,0,2900,94350,8.252,93695,99.3,152,10.434,-22.571,0.003,0.004,0.004,-38.395,-38.283,-38.252,1.853,-2.099,0,0,0,0,152,6768,0,0.018,33125,30225,2900,0,152,48021,0,0.101,-90.2603664416586,-100
