"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_1dosis_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","personas_1dosis_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-03-12,"AN",8464411,17.838,7062213,17.598,820260,303300,73300,1196860,14.14,17.984,0,0,0,0,80730,94700,0,175430,2.073,1046334,401096,645238,12.362,87.423,19.548,45336,0.536,4.529,168140,1.986,0.972,19.081,723715,401096,322619,8.55,3.811,4.739,10.248,4.568,5.679,15458,29878,0.183,0.353,-14420,89570,78570,1.058,0.928,1.268,1.113,11000,2.183,-19.977,10.206,43.925,9.586,0.818,7.628,14.204
"AR",2021-03-12,"AR",1329391,2.802,1132764,2.823,147735,47600,12600,207935,15.641,3.124,0,0,0,0,17550,14900,0,32450,2.441,173511,62095,111416,13.052,83.445,3.242,7160,0.539,4.304,22880,1.721,-6.052,2.596,117803,62095,55708,8.861,4.19,4.671,10.4,4.918,5.482,4680,2480,0.352,0.187,2200,16704,6176,1.257,0.465,1.475,0.545,10528,4.137,-11.913,4.659,14.561,15.703,11.492,11.543,25.562
"AS",2021-03-12,"AS",1018784,2.147,901209,2.246,144815,36600,12700,194115,19.054,2.917,0,0,0,0,16380,11400,0,27780,2.727,150737,48275,102462,14.796,77.653,2.816,4904,0.481,3.363,22008,2.16,5.337,2.498,99506,48275,51231,9.767,5.029,4.738,11.041,5.685,5.357,1883,3021,0.185,0.297,-1138,14467,7541,1.42,0.74,1.605,0.837,6926,1.929,-3.444,6.266,27.597,31.16,35.864,22.948,50.704
"IB",2021-03-12,"IB",1171543,2.469,986279,2.458,76410,41900,6500,124810,10.653,1.875,0,0,0,0,10530,13100,0,23630,2.017,101587,44069,57518,8.671,81.393,1.898,6152,0.525,6.446,26989,2.304,21.315,3.063,72828,44069,28759,6.216,2.455,3.762,7.384,2.916,4.468,3888,2264,0.332,0.193,1624,22164,4825,1.892,0.412,2.247,0.489,17339,5.64,16.414,8.545,50.405,-23.127,-24.058,-21.752,-26.431
"CN",2021-03-12,"CN",2175952,4.586,1871033,4.662,167280,78000,14300,259580,11.929,3.9,0,0,0,0,18720,24300,0,43020,1.977,200954,79924,121030,9.235,77.415,3.754,6590,0.303,3.391,33152,1.524,3.597,3.762,140439,79924,60515,6.454,2.781,3.673,7.506,3.234,4.272,4557,2033,0.209,0.093,2524,27238,5914,1.252,0.272,1.456,0.316,21324,3.354,-1.454,3.476,35.611,-18.142,-14.959,-18.756,-16.662
"CB",2021-03-12,"CB",582905,1.228,501384,1.249,70935,20800,5900,97635,16.75,1.467,0,0,0,0,8190,6500,0,14690,2.52,74747,27605,47142,12.823,76.558,1.396,2210,0.379,3.047,8192,1.405,2.374,0.93,51176,27605,23571,8.779,4.044,4.736,10.207,4.701,5.506,1263,947,0.217,0.162,316,5380,2812,0.923,0.482,1.073,0.561,2568,2.53,-10.303,4.186,40.319,13.681,19.463,10.511,21.187
"CL",2021-03-12,"CL",2394918,5.047,2092873,5.215,324975,85800,27300,438075,18.292,6.582,0,0,0,0,39780,26800,0,66580,2.78,353400,123486,229914,14.756,80.671,6.602,13408,0.56,3.944,59628,2.49,2.512,6.767,238443,123486,114957,9.956,4.8,5.156,11.393,5.493,5.9,8489,4919,0.354,0.205,3570,42445,17183,1.772,0.717,2.028,0.821,25262,3.692,-1.547,4.47,14.135,30.81,30.414,25.327,43.842
"CM",2021-03-12,"CM",2045221,4.31,1719964,4.286,215145,73300,18600,307045,15.013,4.614,0,0,0,0,24570,22900,0,47470,2.321,231247,74803,156444,11.307,75.314,4.32,7316,0.358,3.267,35531,1.737,-24.924,4.032,153025,74803,78222,7.482,3.825,3.657,8.897,4.548,4.349,5110,2206,0.25,0.108,2904,29269,6262,1.431,0.306,1.702,0.364,23007,3.455,-31.119,2.902,29.514,0.232,7.053,-5.816,14.624
"CT",2021-03-12,"CT",7780479,16.397,6531658,16.276,735380,278900,63400,1077680,13.851,16.193,0,0,0,0,84240,87000,0,171240,2.201,857036,402680,454356,11.015,79.526,16.011,21105,0.271,2.525,122242,1.571,-23.283,13.872,629858,402680,227178,8.095,2.92,5.176,9.643,3.478,6.165,12540,8565,0.161,0.11,3975,88048,34194,1.132,0.439,1.348,0.524,53854,2.031,-32.596,3.918,19.085,-2.354,-1.244,1.901,-12.496
"VC",2021-03-12,"VC",5057353,10.658,4269305,10.639,395650,181300,31700,608650,12.035,9.145,0,0,0,0,54990,56600,0,111590,2.206,465589,179379,286210,9.206,76.495,8.698,17193,0.34,3.834,71573,1.415,-7.866,8.122,322484,179379,143105,6.377,2.83,3.547,7.554,3.352,4.202,4475,12718,0.088,0.251,-8243,41543,30030,0.821,0.594,0.973,0.703,11513,1.407,-26.74,9.754,43.15,-18.39,-14.196,-19.726,-15.193
