"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,820260,303300,73300,1196860,17.984,1046334,87.4,322619,19.548,0.818,3.811,4.568,4.689,14.232,15.789,16.04,12.362,9.582
"2","ARAGÓN","AR",1329391,1132764,1107658,2.802,2.823,2.827,147735,47600,12600,207935,3.124,173511,83.4,55708,3.242,11.506,4.19,4.918,5.029,25.592,24.652,24.462,13.052,15.702
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,144815,36600,12700,194115,2.917,150737,77.7,51231,2.816,35.852,5.029,5.685,5.785,50.711,44.088,43.152,14.796,31.16
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,76410,41900,6500,124810,1.875,101587,81.4,28759,1.898,-24.043,2.455,2.916,2.986,-26.428,-26.092,-26.094,8.671,-23.132
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,167280,78000,14300,259580,3.9,200954,77.4,60515,3.754,-14.95,2.781,3.234,3.313,-16.649,-18.021,-18.017,9.235,-18.132
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,70935,20800,5900,97635,1.467,74747,76.6,23571,1.396,19.467,4.044,4.701,4.805,21.193,19.159,18.9,12.823,13.674
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,324975,85800,27300,438075,6.582,353400,80.7,114957,6.602,30.423,4.8,5.493,5.602,43.86,39.223,38.626,14.756,30.81
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,215145,73300,18600,307045,4.614,231247,75.3,78222,4.32,7.044,3.825,4.548,4.663,14.626,15.273,15.389,11.307,0.231
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,735380,278900,63400,1077680,16.193,857036,79.5,227178,16.011,-1.244,2.92,3.478,3.565,-12.49,-11.842,-11.767,11.015,-2.353
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,395650,181300,31700,608650,9.145,465589,76.5,143105,8.698,-14.191,2.83,3.352,3.435,-15.194,-15.04,-14.997,9.206,-18.39
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,129365,38100,10900,178365,2.68,144537,81,50636,2.7,19.54,4.759,5.557,5.688,42.633,40.851,40.756,13.584,20.423
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,268045,96900,19900,384845,5.783,311089,80.8,81598,5.812,1.556,3.02,3.454,3.519,-9.485,-12.461,-12.909,11.514,2.069
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,36335,11400,2700,50435,0.758,42025,83.3,12638,0.785,12.438,3.95,4.667,4.778,18.397,18.296,18.243,13.136,16.45
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,598965,243100,51300,893365,13.424,743606,83.2,190518,13.892,-6.05,2.81,3.345,3.427,-15.781,-15.216,-15.198,10.968,-2.773
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,148145,54100,13400,215645,3.24,164066,76.1,54658,3.065,1.735,3.617,4.417,4.544,8.396,11.953,12.46,10.856,-3.762
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,69765,23600,5900,99265,1.492,75449,76,24831,1.41,7.074,3.755,4.491,4.607,12.553,13.825,14.001,11.411,1.155
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,208080,79600,16000,303680,4.563,200677,66.1,57875,3.749,-2.499,2.606,3.049,3.118,-21.885,-22.717,-22.844,9.037,-19.885
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,5490,3100,600,9190,0.138,8998,97.9,2533,0.168,-21.984,3.008,3.829,3.959,-9.841,-2.955,-2.029,10.686,-5.27
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,4320,3100,600,8020,0.121,7178,89.5,2092,0.134,-34.507,2.402,3.161,3.276,-27.996,-19.875,-18.923,8.243,-26.925
"20","FUERZAS ARMADAS","FFAA",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","ESPAÑA","ES",47450795,40129822,39180773,100,84.571,82.571,4567095,1700500,387600,6655195,100,5352767,80.43,1583244,100,0,3.337,3.945,4.041,0,0,0,11.281,0
