"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega_janssen","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
"AN",2021-04-30,"AN",8464411,17.838,7062213,17.598,1907190,669700,248500,48650,2874040,33.954,16.32,0,0,0,22500,253890,18400,29300,324090,3.829,2831912,1138934,1692978,33.457,98.534,17.305,91323,1.079,3.332,44994,46329,373544,4.413,5.618,17.802,2004070,846489,1157581,23.676,10.001,28.377,11.986,47068,46329,0.556,0.547,225541,166650,2.665,1.969,3.194,2.36,2.405,-5.257,5.79,26.069,-2.988,-8.51,-4.498,1.194,2021-05-12,2021-06-30,2021-08-18,2021-07-19,2021-10-08,2021-12-27,2021-07-01,2021-09-07,2021-11-14
"AR",2021-04-30,"AR",1329391,2.802,1132764,2.823,393435,105200,51800,7600,558035,41.977,3.169,0,0,0,3500,60840,2900,6000,73240,5.509,524214,222668,301546,39.433,93.939,3.203,22521,1.694,4.489,13155,9366,67868,5.105,3.451,3.234,377520,150773,226747,28.398,11.342,33.327,13.31,13156,9366,0.99,0.705,44573,27374,3.353,2.059,3.935,2.417,3.611,-7.223,6.623,26.503,14.311,13.098,14.55,14.763,2021-05-12,2021-06-30,2021-08-18,2021-07-19,2021-10-08,2021-12-27,2021-07-01,2021-09-07,2021-11-14
"AS",2021-04-30,"AS",1018784,2.147,901209,2.246,372965,80600,47600,5850,507015,49.767,2.879,0,0,0,2700,53820,2200,5400,64120,6.294,474656,170474,304182,46.59,93.618,2.901,13575,1.332,2.944,5568,8007,62065,6.092,6.828,2.958,324880,152091,172789,31.889,14.929,36.049,16.876,5598,8007,0.549,0.786,37060,27135,3.638,2.663,4.112,3.011,1.753,-4.745,5.557,26.344,35.119,34.094,28.631,51.057,2021-05-12,2021-06-30,2021-08-18,2021-07-19,2021-10-08,2021-12-27,2021-07-01,2021-09-07,2021-11-14
"IB",2021-04-30,"IB",1171543,2.469,986279,2.458,214470,92500,27900,6700,341570,29.156,1.94,7020,0,0,10120,30420,2600,3600,39720,3.39,319347,146463,172884,27.259,93.494,1.951,8580,0.732,2.761,3434,5146,36135,3.084,6.474,1.722,236608,86442,150166,20.196,7.378,23.99,8.764,3434,5146,0.293,0.439,23706,16132,2.023,1.377,2.404,1.636,1.473,-6.5,6.33,31.293,-20.98,-21.426,-18.535,-25.347,2021-05-12,2021-06-30,2021-08-18,2021-07-19,2021-10-08,2021-12-27,2021-07-01,2021-09-07,2021-11-14
"CN",2021-04-30,"CN",2175952,4.586,1871033,4.662,420000,172100,54700,12500,659300,30.299,3.744,0,4700,6900,17400,57330,4700,6900,74730,3.434,608346,276530,331816,27.958,92.272,3.717,12563,0.577,2.109,5386,7177,70538,3.242,-2.775,3.362,448628,165908,282720,20.618,7.625,23.978,8.867,5506,7177,0.253,0.33,46145,30412,2.121,1.398,2.466,1.625,1.243,-12.457,4.521,17.376,-18.949,-18.36,-16.833,-22.847,2021-05-12,2021-06-30,2021-08-18,2021-07-19,2021-10-08,2021-12-27,2021-07-01,2021-09-07,2021-11-14
"CB",2021-04-30,"CB",582905,1.228,501384,1.249,176235,46000,22500,3300,248035,42.552,1.408,0,0,0,1500,25740,1300,2600,31140,5.342,224037,88061,135976,38.435,90.325,1.369,6932,1.189,3.193,2194,4738,35597,6.107,3.249,1.696,156532,67988,88544,26.854,11.664,31.22,13.56,2345,4738,0.402,0.813,23819,12261,4.086,2.103,4.751,2.445,1.521,-11.651,7.491,56.211,11.482,14.658,8.322,18.021,2021-05-12,2021-06-30,2021-08-18,2021-07-19,2021-10-08,2021-12-27,2021-07-01,2021-09-07,2021-11-14
"CL",2021-04-30,"CL",2394918,5.047,2092873,5.215,877215,189500,113700,13800,1194215,49.865,6.781,0,0,0,6400,136890,5200,12900,161390,6.739,1067062,410846,656216,44.555,89.353,6.521,36087,1.507,3.5,15064,21023,156314,6.527,30.016,7.449,744217,328108,416109,31.075,13.7,35.56,15.677,16829,21023,0.703,0.878,103203,58374,4.309,2.437,4.931,2.789,2.314,19.484,6.846,56.285,29.205,34.357,25.348,38.622,2021-05-12,2021-06-30,2021-08-18,2021-07-19,2021-10-08,2021-12-27,2021-07-01,2021-09-07,2021-11-14
"CM",2021-04-30,"CM",2045221,4.31,1719964,4.286,552105,161800,71900,11700,797505,38.994,4.529,0,0,0,5400,83070,4500,8100,101070,4.942,725719,293333,432386,35.484,90.999,4.435,28438,1.39,4.078,17200,11238,92462,4.521,4.556,4.406,513927,216193,297734,25.128,10.571,29.88,12.57,18482,11238,0.904,0.549,68214,28649,3.335,1.401,3.966,1.666,3.73,-3.507,5.483,37.346,2.9,5.081,1.359,6.961,2021-05-12,2021-06-30,2021-08-18,2021-07-19,2021-10-08,2021-12-27,2021-07-01,2021-09-07,2021-11-14
"CT",2021-04-30,"CT",7780479,16.397,6531658,16.276,1887830,615500,251300,44700,2799330,35.979,15.896,0,0,0,20700,280800,16900,30200,348600,4.48,2590635,1023935,1566700,33.297,92.545,15.831,83885,1.078,3.346,24777,59108,295457,3.797,2.29,14.08,1820712,783350,1037362,23.401,10.068,27.875,11.993,26783,59108,0.344,0.76,143384,165495,1.843,2.127,2.195,2.534,1.493,-7.285,8.161,13.654,-3.452,-3.055,-5.607,1.872,2021-05-12,2021-06-30,2021-08-18,2021-07-19,2021-10-08,2021-12-27,2021-07-01,2021-09-07,2021-11-14
"VC",2021-04-30,"VC",5057353,10.658,4269305,10.639,1136260,4e+05,151600,29000,1716860,33.948,9.749,0,0,0,13400,174330,10900,20000,218630,4.323,1666527,709973,956554,32.953,97.068,10.184,53292,1.054,3.303,13823,39469,239995,4.745,8.307,11.437,1197668,478277,719391,23.682,9.457,28.053,11.203,14905,39469,0.295,0.78,148360,101053,2.934,1.998,3.475,2.367,1.26,0.357,8.995,23.099,-4.447,-8.529,-4.473,-4.31,2021-05-12,2021-06-30,2021-08-18,2021-07-19,2021-10-08,2021-12-27,2021-07-01,2021-09-07,2021-11-14
